1, -5.0000 -5.0000; -4.9826 -4.9015; -4.9653 -4.8030; -4.9479 -4.7046; -4.9305 -4.6061; -4.9132 -4.5076; -4.8958 -4.4091; -4.8784 -4.3106; -4.8611 -4.2122; -4.8437 -4.1137; -4.8264 -4.0152; -4.8090 -3.9167; -4.7916 -3.8182; -4.7743 -3.7197; -4.7569 -3.6213; -4.7395 -3.5228; -4.7222 -3.4243; -4.7048 -3.3258; -4.6874 -3.2273; -4.6701 -3.1289; -4.6527 -3.0304; -4.6353 -2.9319; -4.6180 -2.8334; -4.6006 -2.7349; -4.5832 -2.6365; -4.5659 -2.5380; -4.5485 -2.4395; -4.5311 -2.3410; -4.5138 -2.2425; -4.4964 -2.1441; -4.4791 -2.0456; -4.4617 -1.9471; -4.4443 -1.8486; -4.4270 -1.7501; -4.4096 -1.6517; -4.3922 -1.5532; -4.3749 -1.4547; -4.3575 -1.3562; -4.3401 -1.2577; -4.3228 -1.1592; -4.3054 -1.0608; -4.2880 -0.9623; -4.2707 -0.8638; -4.2533 -0.7653; -4.2359 -0.6668; -4.2186 -0.5684; -4.2012 -0.4699; -4.1839 -0.3714; -4.1665 -0.2729; -4.1491 -0.1744; -4.1318 -0.0760; -4.1144 0.0225; -4.0970 0.1210; -4.0797 0.2195; -4.0623 0.3180; -4.0449 0.4164; -4.0276 0.5149; -4.0102 0.6134; -3.9928 0.7119; -3.9755 0.8104; -3.9581 0.9088; -3.9407 1.0073; -3.9234 1.1058; -3.9060 1.2043; -3.8887 1.3028; -3.8713 1.4013; -3.8539 1.4997; -3.8366 1.5982; -3.8192 1.6967; -3.8018 1.7952; -3.7845 1.8937; -3.7671 1.9921; -3.7497 2.0906; -3.7324 2.1891; -3.7150 2.2876; -3.6976 2.3861; -3.6803 2.4845; -3.6629 2.5830; -3.6455 2.6815; -3.6282 2.7800; -3.6108 2.8785; -3.5934 2.9769; -3.5761 3.0754; -3.5587 3.1739; -3.5414 3.2724; -3.5240 3.3709; -3.5066 3.4693; -3.4893 3.5678; -3.4719 3.6663; -3.4545 3.7648; -3.4372 3.8633; -3.4198 3.9618; -3.4024 4.0602; -3.3851 4.1587; -3.3677 4.2572; -3.3503 4.3557; -3.3330 4.4542; -3.3156 4.5526; -3.2982 4.6511; -3.2809 4.7496; -3.2635 4.8481; -3.1695 4.8823; -3.1522 4.9808; -3.1348 5.0792; -3.0409 5.1134; -3.0235 5.2119; -3.0061 5.3104; -2.9122 5.3446; -2.8948 5.4431; -2.8774 5.5416; -2.7835 5.5758; -2.7661 5.6743; -2.7487 5.7727; -2.6548 5.8069; -2.6374 5.9054; -2.6200 6.0039; -2.5261 6.0381; -2.5087 6.1366; -2.4913 6.2351; -2.3974 6.2693; -2.3800 6.3677; -2.3626 6.4662; -2.2687 6.5004; -2.2513 6.5989; -2.2339 6.6974; -2.1400 6.7316; -2.1226 6.8301; -2.1052 6.9285; -2.0113 6.9628; -1.9939 7.0612; -1.9765 7.1597; -1.8826 7.1939; -1.8652 7.2924; -1.8478 7.3909; -1.7539 7.4251; -1.7365 7.5236; -1.7191 7.6220; -1.6252 7.6562; -1.6078 7.7547; -1.5904 7.8532; -1.4965 7.8874; -1.4791 7.9859; -1.4617 8.0844; -1.3678 8.1186; -1.3504 8.2171; -1.3330 8.3155; -1.2391 8.3497; -1.2217 8.4482; -1.2043 8.5467; -1.1104 8.5809; -1.0930 8.6794; -1.0756 8.7779; -0.9817 8.8121; -0.9643 8.9105; -0.9469 9.0090; -0.8530 9.0432; -0.8356 9.1417; -0.8182 9.2402; -0.8009 9.3387; -0.7069 9.3729; -0.6895 9.4713; -0.6722 9.5698; -0.5782 9.6040; -0.5608 9.7025; -0.5435 9.8010; -0.4495 9.8352; -0.4321 9.9337; -0.4148 10.0322; -0.3208 10.0664; -0.3034 10.1648; -0.2861 10.2633; -0.2687 10.3618; -0.1747 10.3960; -0.1574 10.4945; -0.1400 10.5930; -0.1227 10.6914; -0.1053 10.7899; -0.0113 10.8241; 0.0060 10.9226; 0.0234 11.0211; 0.0408 11.1196; 0.1347 11.1538; 0.1521 11.2523; 0.1695 11.3507; 0.2634 11.3849; 0.2808 11.4834; 0.2982 11.5819; 0.3155 11.6804; 0.4095 11.7146; 0.4269 11.8131; 0.4442 11.9115; 0.5382 11.9457; 0.5556 12.0442; 0.5729 12.1427; 0.6669 12.1769; 0.6843 12.2754; 0.7016 12.3739; 0.7956 12.4081; 0.8130 12.5066; 0.8303 12.6050; 0.9243 12.6392; 0.9417 12.7377; 0.9590 12.8362; 1.0530 12.8704; 1.0704 12.9689; 1.0877 13.0674; 1.1051 13.1658; 1.1991 13.2000; 1.2164 13.2985; 1.2338 13.3970; 1.2512 13.4955; 1.3451 13.5297; 1.3625 13.6282; 1.3799 13.7266; 1.3972 13.8251; 1.4912 13.8593; 1.5086 13.9578; 1.5259 14.0563; 1.6199 14.0905; 1.6373 14.1890; 1.6546 14.2875; 1.6720 14.3859; 1.7660 14.4201; 1.7833 14.5186; 1.8007 14.6171; 1.8181 14.7156; 1.9120 14.7498; 1.9294 14.8483; 1.9468 14.9467; 1.9641 15.0452; 2.0581 15.0794; 2.0755 15.1779; 2.0928 15.2764; 2.1102 15.3749; 2.2041 15.4091; 2.2215 15.5076; 2.2389 15.6060; 2.2562 15.7045; 2.2736 15.8030; 2.3676 15.8372; 2.3849 15.9357; 2.4023 16.0342; 2.4197 16.1326; 2.5136 16.1668; 2.5310 16.2653; 2.5484 16.3638; 2.5657 16.4623; 2.6597 16.4965; 2.6771 16.5950; 2.6944 16.6934; 2.7884 16.7276; 2.8058 16.8261; 2.8231 16.9246; 2.9171 16.9588; 2.9345 17.0573; 2.9518 17.1558; 3.0458 17.1900; 3.0632 17.2885; 3.0805 17.3869; 3.1745 17.4211; 3.1919 17.5196; 3.2858 17.5538; 3.3032 17.6523; 3.3972 17.6865; 3.4145 17.7850; 3.4319 17.8835; 3.5259 17.9177; 3.5432 18.0161; 3.6372 18.0504; 3.6546 18.1488; 3.6719 18.2473; 3.7659 18.2815; 3.7833 18.3800; 3.8772 18.4142; 3.8946 18.5127; 3.9120 18.6112; 4.0059 18.6454; 4.0233 18.7438; 4.1173 18.7780; 4.1346 18.8765; 4.1520 18.9750; 4.2460 19.0092; 4.2633 19.1077; 4.3573 19.1419; 4.3747 19.2404; 4.3920 19.3389; 4.4860 19.3731; 4.5034 19.4715; 4.5973 19.5057; 4.6147 19.6042; 4.6321 19.7027; 4.7260 19.7369; 4.7434 19.8354; 4.8374 19.8696; 4.8547 19.9681; 4.9487 20.0023; 4.9661 20.1007; 4.9834 20.1992; 5.0774 20.2334; 5.0948 20.3319; 5.1887 20.3661; 5.2061 20.4646; 5.2235 20.5631; 5.3174 20.5973; 5.3348 20.6958; 5.3522 20.7942; 5.4461 20.8284; 5.4635 20.9269; 5.5575 20.9611; 5.5748 21.0596; 5.5922 21.1581; 5.6862 21.1923; 5.7035 21.2908; 5.7209 21.3892; 5.8149 21.4235; 5.8322 21.5219; 5.9262 21.5561; 5.9436 21.6546; 5.9609 21.7531; 6.0549 21.7873; 6.0723 21.8858; 6.0896 21.9843; 6.1836 22.0185; 6.2010 22.1169; 6.2183 22.2154; 6.2357 22.3139; 6.3297 22.3481; 6.3470 22.4466; 6.4410 22.4808; 6.4584 22.5793; 6.4757 22.6777; 6.4931 22.7762; 6.5871 22.8104; 6.6044 22.9089; 6.6218 23.0074; 6.7158 23.0416; 6.7331 23.1401; 6.8271 23.1743; 6.8445 23.2728; 6.9384 23.3070; 6.9558 23.4054; 6.9732 23.5039; 7.0671 23.5381; 7.0845 23.6366; 7.1785 23.6708; 7.1958 23.7693; 7.2898 23.8035; 7.3072 23.9020; 7.4011 23.9362; 7.4185 24.0347
2, -5.0000 -5.0000; -4.9826 -4.9015; -4.9653 -4.8030; -4.9479 -4.7046; -4.9305 -4.6061; -4.9132 -4.5076; -4.8958 -4.4091; -4.8784 -4.3106; -4.8611 -4.2122; -4.8437 -4.1137; -4.8264 -4.0152; -4.8090 -3.9167; -4.7916 -3.8182; -4.7743 -3.7197; -4.7569 -3.6213; -4.7395 -3.5228; -4.7222 -3.4243; -4.7048 -3.3258; -4.6874 -3.2273; -4.6701 -3.1289; -4.6527 -3.0304; -4.6353 -2.9319; -4.6180 -2.8334; -4.6006 -2.7349; -4.5832 -2.6365; -4.5659 -2.5380; -4.5485 -2.4395; -4.5311 -2.3410; -4.5138 -2.2425; -4.4964 -2.1441; -4.4791 -2.0456; -4.4617 -1.9471; -4.4443 -1.8486; -4.4270 -1.7501; -4.4096 -1.6517; -4.3922 -1.5532; -4.3749 -1.4547; -4.3575 -1.3562; -4.3401 -1.2577; -4.3228 -1.1592; -4.3054 -1.0608; -4.2880 -0.9623; -4.2707 -0.8638; -4.2533 -0.7653; -4.2359 -0.6668; -4.2186 -0.5684; -4.2012 -0.4699; -4.1839 -0.3714; -4.1665 -0.2729; -4.1491 -0.1744; -4.1318 -0.0760; -4.1144 0.0225; -4.0970 0.1210; -4.0797 0.2195; -4.0623 0.3180; -4.0449 0.4164; -4.0276 0.5149; -4.0102 0.6134; -3.9928 0.7119; -3.9755 0.8104; -3.9581 0.9088; -3.9407 1.0073; -3.9234 1.1058; -3.9060 1.2043; -3.8887 1.3028; -3.8713 1.4013; -3.8539 1.4997; -3.8366 1.5982; -3.8192 1.6967; -3.8018 1.7952; -3.7845 1.8937; -3.7671 1.9921; -3.7497 2.0906; -3.7324 2.1891; -3.7150 2.2876; -3.6976 2.3861; -3.6803 2.4845; -3.6629 2.5830; -3.6455 2.6815; -3.6282 2.7800; -3.6108 2.8785; -3.5934 2.9769; -3.5761 3.0754; -3.5587 3.1739; -3.5414 3.2724; -3.5240 3.3709; -3.5066 3.4693; -3.4893 3.5678; -3.4719 3.6663; -3.4545 3.7648; -3.4372 3.8633; -3.4198 3.9618; -3.4024 4.0602; -3.3851 4.1587; -3.3677 4.2572; -3.3503 4.3557; -3.3330 4.4542; -3.3156 4.5526; -3.2216 4.5868; -3.2043 4.6853; -3.1869 4.7838; -3.0929 4.8180; -3.0756 4.9165; -3.0582 5.0150; -3.0409 5.1134; -2.9469 5.1476; -2.9295 5.2461; -2.9122 5.3446; -2.8182 5.3788; -2.8008 5.4773; -2.7835 5.5758; -2.6895 5.6100; -2.6721 5.7085; -2.6548 5.8069; -2.5608 5.8411; -2.5434 5.9396; -2.5261 6.0381; -2.4321 6.0723; -2.4147 6.1708; -2.3974 6.2693; -2.3034 6.3035; -2.2860 6.4019; -2.2687 6.5004; -2.1747 6.5346; -2.1573 6.6331; -2.1400 6.7316; -2.0460 6.7658; -2.0286 6.8643; -2.0113 6.9628; -1.9173 6.9970; -1.8999 7.0954; -1.8826 7.1939; -1.7886 7.2281; -1.7712 7.3266; -1.7539 7.4251; -1.6599 7.4593; -1.6425 7.5578; -1.6252 7.6562; -1.6078 7.7547; -1.5138 7.7889; -1.4965 7.8874; -1.4025 7.9216; -1.3851 8.0201; -1.3678 8.1186; -1.2738 8.1528; -1.2564 8.2513; -1.2391 8.3497; -1.1451 8.3839; -1.1277 8.4824; -1.1104 8.5809; -1.0164 8.6151; -0.9990 8.7136; -0.9817 8.8121; -0.8877 8.8463; -0.8703 8.9447; -0.8530 9.0432; -0.8356 9.1417; -0.7416 9.1759; -0.7243 9.2744; -0.7069 9.3729; -0.6129 9.4071; -0.5956 9.5056; -0.5782 9.6040; -0.5608 9.7025; -0.4669 9.7367; -0.4495 9.8352; -0.4321 9.9337; -0.3382 9.9679; -0.3208 10.0664; -0.3034 10.1648; -0.2095 10.1990; -0.1921 10.2975; -0.1747 10.3960; -0.0808 10.4302; -0.0634 10.5287; -0.0460 10.6272; -0.0287 10.7256; 0.0653 10.7598; 0.0827 10.8583; 0.1000 10.9568; 0.1940 10.9910; 0.2114 11.0895; 0.2287 11.1880; 0.3227 11.2222; 0.3401 11.3207; 0.3574 11.4191; 0.4514 11.4533; 0.4687 11.5518; 0.4861 11.6503; 0.5801 11.6845; 0.5974 11.7830; 0.6148 11.8815; 0.6322 11.9799; 0.7261 12.0141; 0.7435 12.1126; 0.7609 12.2111; 0.8548 12.2453; 0.8722 12.3438; 0.8896 12.4423; 0.9069 12.5408; 1.0009 12.5750; 1.0183 12.6734; 1.0356 12.7719; 1.1296 12.8061; 1.1470 12.9046; 1.1643 13.0031; 1.2583 13.0373; 1.2757 13.1358; 1.2930 13.2342; 1.3104 13.3327; 1.4044 13.3669; 1.4217 13.4654; 1.4391 13.5639; 1.4565 13.6624; 1.5504 13.6966; 1.5678 13.7951; 1.5852 13.8935; 1.6791 13.9277; 1.6965 14.0262; 1.7139 14.1247; 1.7312 14.2232; 1.8252 14.2574; 1.8426 14.3559; 1.8599 14.4543; 1.8773 14.5528; 1.9713 14.5870; 1.9886 14.6855; 2.0060 14.7840; 2.0234 14.8825; 2.0407 14.9809; 2.1347 15.0151; 2.1521 15.1136; 2.1694 15.2121; 2.2634 15.2463; 2.2808 15.3448; 2.2981 15.4433; 2.3921 15.4775; 2.4095 15.5760; 2.5034 15.6102; 2.5208 15.7086; 2.5382 15.8071; 2.6321 15.8413; 2.6495 15.9398; 2.6669 16.0383; 2.7608 16.0725; 2.7782 16.1710; 2.8722 16.2052; 2.8895 16.3036; 2.9069 16.4021; 3.0009 16.4363; 3.0182 16.5348; 3.0356 16.6333; 3.1296 16.6675; 3.1469 16.7660; 3.2409 16.8002; 3.2583 16.8987; 3.2756 16.9971; 3.3696 17.0313; 3.3869 17.1298; 3.4043 17.2283; 3.4983 17.2625; 3.5156 17.3610; 3.5330 17.4595; 3.6270 17.4937; 3.6443 17.5921; 3.7383 17.6264; 3.7557 17.7248; 3.7730 17.8233; 3.8670 17.8575; 3.8844 17.9560; 3.9017 18.0545; 3.9957 18.0887; 4.0131 18.1872; 4.1070 18.2214; 4.1244 18.3198; 4.2184 18.3540; 4.2357 18.4525; 4.2531 18.5510; 4.3471 18.5852; 4.3644 18.6837; 4.3818 18.7822; 4.4758 18.8164; 4.5697 18.8506; 4.5871 18.9491; 4.6045 19.0475; 4.6984 19.0817; 4.7924 19.1159; 4.8098 19.2144; 4.9038 19.2486; 4.9211 19.3471; 5.0151 19.3813; 5.0325 19.4798; 5.1264 19.5140; 5.1438 19.6125; 5.1611 19.7109; 5.2551 19.7452; 5.2725 19.8436; 5.3665 19.8778; 5.3838 19.9763; 5.4778 20.0105; 5.4952 20.1090; 5.5891 20.1432; 5.6065 20.2417; 5.6239 20.3402; 5.6412 20.4386; 5.7352 20.4728; 5.7525 20.5713; 5.8465 20.6055; 5.8639 20.7040; 5.8812 20.8025; 5.9752 20.8367; 5.9926 20.9352; 6.0866 20.9694; 6.1039 21.0679; 6.1213 21.1663; 6.2153 21.2005; 6.2326 21.2990; 6.3266 21.3332; 6.3439 21.4317; 6.3613 21.5302; 6.4553 21.5644; 6.4726 21.6629; 6.4900 21.7613; 6.5840 21.7955; 6.6013 21.8940; 6.6187 21.9925; 6.7127 22.0267; 6.7300 22.1252; 6.8240 22.1594; 6.8414 22.2579; 6.9353 22.2921; 6.9527 22.3906; 7.0467 22.4248; 7.0640 22.5232; 7.0814 22.6217; 7.1754 22.6559; 7.1927 22.7544; 7.2101 22.8529; 7.3041 22.8871; 7.3214 22.9856; 7.4154 23.0198; 7.4328 23.1182; 7.4501 23.2167; 7.5441 23.2509; 7.5615 23.3494; 7.6554 23.3836; 7.6728 23.4821; 7.6902 23.5806; 7.7841 23.6148; 7.8015 23.7133
3, -5.0000 -5.0000; -4.9826 -4.9015; -4.9653 -4.8030; -4.9479 -4.7046; -4.9305 -4.6061; -4.9132 -4.5076; -4.8958 -4.4091; -4.8784 -4.3106; -4.8611 -4.2122; -4.8437 -4.1137; -4.8264 -4.0152; -4.8090 -3.9167; -4.7916 -3.8182; -4.7743 -3.7197; -4.7569 -3.6213; -4.7395 -3.5228; -4.7222 -3.4243; -4.7048 -3.3258; -4.6874 -3.2273; -4.6701 -3.1289; -4.6527 -3.0304; -4.6353 -2.9319; -4.6180 -2.8334; -4.6006 -2.7349; -4.5832 -2.6365; -4.5659 -2.5380; -4.5485 -2.4395; -4.5311 -2.3410; -4.5138 -2.2425; -4.4964 -2.1441; -4.4791 -2.0456; -4.4617 -1.9471; -4.4443 -1.8486; -4.4270 -1.7501; -4.4096 -1.6517; -4.3922 -1.5532; -4.3749 -1.4547; -4.3575 -1.3562; -4.3401 -1.2577; -4.3228 -1.1592; -4.3054 -1.0608; -4.2880 -0.9623; -4.2707 -0.8638; -4.2533 -0.7653; -4.2359 -0.6668; -4.2186 -0.5684; -4.2012 -0.4699; -4.1839 -0.3714; -4.1665 -0.2729; -4.1491 -0.1744; -4.1318 -0.0760; -4.1144 0.0225; -4.0970 0.1210; -4.0797 0.2195; -4.0623 0.3180; -4.0449 0.4164; -4.0276 0.5149; -4.0102 0.6134; -3.9928 0.7119; -3.9755 0.8104; -3.9581 0.9088; -3.9407 1.0073; -3.9234 1.1058; -3.9060 1.2043; -3.8887 1.3028; -3.8713 1.4013; -3.8539 1.4997; -3.8366 1.5982; -3.8192 1.6967; -3.8018 1.7952; -3.7845 1.8937; -3.7671 1.9921; -3.7497 2.0906; -3.7324 2.1891; -3.7150 2.2876; -3.6976 2.3861; -3.6803 2.4845; -3.6629 2.5830; -3.6455 2.6815; -3.6282 2.7800; -3.6108 2.8785; -3.5934 2.9769; -3.5761 3.0754; -3.5587 3.1739; -3.5414 3.2724; -3.5240 3.3709; -3.5066 3.4693; -3.4893 3.5678; -3.4719 3.6663; -3.4545 3.7648; -3.4372 3.8633; -3.4198 3.9618; -3.4024 4.0602; -3.3851 4.1587; -3.3677 4.2572; -3.3503 4.3557; -3.2564 4.3899; -3.2390 4.4884; -3.2216 4.5868; -3.1277 4.6210; -3.1103 4.7195; -3.0929 4.8180; -3.0756 4.9165; -2.9816 4.9507; -2.9642 5.0492; -2.9469 5.1476; -2.8529 5.1818; -2.8355 5.2803; -2.8182 5.3788; -2.7242 5.4130; -2.7068 5.5115; -2.6895 5.6100; -2.5955 5.6442; -2.5781 5.7427; -2.5608 5.8411; -2.4668 5.8753; -2.4495 5.9738; -2.4321 6.0723; -2.3381 6.1065; -2.3208 6.2050; -2.3034 6.3035; -2.2860 6.4019; -2.1921 6.4361; -2.1747 6.5346; -2.0807 6.5688; -2.0634 6.6673; -2.0460 6.7658; -2.0286 6.8643; -1.9347 6.8985; -1.9173 6.9970; -1.8999 7.0954; -1.8060 7.1296; -1.7886 7.2281; -1.7712 7.3266; -1.6773 7.3608; -1.6599 7.4593; -1.6425 7.5578; -1.5486 7.5920; -1.5312 7.6904; -1.5138 7.7889; -1.4199 7.8231; -1.4025 7.9216; -1.3851 8.0201; -1.2912 8.0543; -1.2738 8.1528; -1.1798 8.1870; -1.1625 8.2855; -1.1451 8.3839; -1.0511 8.4181; -1.0338 8.5166; -1.0164 8.6151; -0.9224 8.6493; -0.9051 8.7478; -0.8877 8.8463; -0.7937 8.8805; -0.7764 8.9789; -0.7590 9.0774; -0.7416 9.1759; -0.6477 9.2101; -0.6303 9.3086; -0.5363 9.3428; -0.5190 9.4413; -0.5016 9.5398; -0.4076 9.5740; -0.3903 9.6724; -0.3729 9.7709; -0.2789 9.8051; -0.2616 9.9036; -0.2442 10.0021; -0.1502 10.0363; -0.1329 10.1348; -0.1155 10.2332; -0.0215 10.2674; -0.0042 10.3659; 0.0132 10.4644; 0.1072 10.4986; 0.1245 10.5971; 0.1419 10.6956; 0.2359 10.7298; 0.2532 10.8283; 0.2706 10.9267; 0.3646 10.9609; 0.3819 11.0594; 0.3993 11.1579; 0.4167 11.2564; 0.5106 11.2906; 0.5280 11.3891; 0.5454 11.4875; 0.6393 11.5217; 0.6567 11.6202; 0.6741 11.7187; 0.6914 11.8172; 0.7854 11.8514; 0.8028 11.9499; 0.8201 12.0484; 0.9141 12.0826; 0.9315 12.1810; 1.0254 12.2152; 1.0428 12.3137; 1.0601 12.4122; 1.1541 12.4464; 1.1715 12.5449; 1.1888 12.6434; 1.2828 12.6776; 1.3002 12.7760; 1.3175 12.8745; 1.3349 12.9730; 1.4289 13.0072; 1.4462 13.1057; 1.4636 13.2042; 1.4810 13.3026; 1.5749 13.3369; 1.5923 13.4353; 1.6097 13.5338; 1.6270 13.6323; 1.7210 13.6665; 1.7384 13.7650; 1.7557 13.8635; 1.7731 13.9619; 1.7905 14.0604; 1.8078 14.1589; 1.9018 14.1931; 1.9192 14.2916; 1.9365 14.3901; 1.9539 14.4885; 1.9713 14.5870; 2.0652 14.6212; 2.0826 14.7197; 2.1766 14.7539; 2.1939 14.8524; 2.2113 14.9509; 2.2287 15.0494; 2.2460 15.1478; 2.2634 15.2463; 2.3574 15.2805; 2.3747 15.3790; 2.3921 15.4775; 2.4861 15.5117; 2.5034 15.6102; 2.5208 15.7086; 2.6148 15.7428; 2.6321 15.8413; 2.6495 15.9398; 2.7435 15.9740; 2.7608 16.0725; 2.7782 16.1710; 2.8722 16.2052; 2.8895 16.3036; 2.9835 16.3379; 3.0009 16.4363; 3.0182 16.5348; 3.0356 16.6333; 3.1296 16.6675; 3.1469 16.7660; 3.2409 16.8002; 3.2583 16.8987; 3.2756 16.9971; 3.2930 17.0956; 3.3869 17.1298; 3.4043 17.2283; 3.4217 17.3268; 3.5156 17.3610; 3.5330 17.4595; 3.5504 17.5579; 3.5677 17.6564; 3.6617 17.6906; 3.6791 17.7891; 3.6964 17.8876; 3.7138 17.9861; 3.7312 18.0846; 3.8251 18.1188; 3.8425 18.2172; 3.8599 18.3157; 3.8772 18.4142; 3.9712 18.4484; 3.9886 18.5469; 4.0059 18.6454; 4.0999 18.6796; 4.1173 18.7780; 4.1346 18.8765; 4.1520 18.9750; 4.1694 19.0735; 4.2633 19.1077; 4.2807 19.2062; 4.2981 19.3047; 4.3154 19.4031; 4.3328 19.5016; 4.3502 19.6001; 4.4441 19.6343; 4.4615 19.7328; 4.4789 19.8313; 4.4962 19.9297; 4.5136 20.0282; 4.6076 20.0624; 4.6249 20.1609; 4.6423 20.2594; 4.6596 20.3579; 4.7536 20.3921; 4.7710 20.4905; 4.7883 20.5890; 4.8057 20.6875; 4.8997 20.7217; 4.9170 20.8202; 4.9344 20.9187; 4.9518 21.0172; 4.9691 21.1156; 5.0631 21.1498; 5.1571 21.1840; 5.1744 21.2825; 5.1918 21.3810; 5.2858 21.4152; 5.3031 21.5137; 5.3971 21.5479; 5.4145 21.6464; 5.4318 21.7448; 5.5258 21.7790; 5.5432 21.8775; 5.6371 21.9117; 5.6545 22.0102; 5.6719 22.1087; 5.7658 22.1429; 5.7832 22.2414; 5.8772 22.2756; 5.8945 22.3741; 5.9885 22.4083; 6.0059 22.5067; 6.0998 22.5409; 6.1172 22.6394; 6.2112 22.6736; 6.2285 22.7721; 6.3225 22.8063; 6.3399 22.9048; 6.4338 22.9390; 6.4512 23.0375; 6.5452 23.0717; 6.5625 23.1702; 6.6565 23.2044; 6.6739 23.3028; 6.6912 23.4013; 6.7852 23.4355; 6.8026 23.5340; 6.8965 23.5682; 6.9139 23.6667; 7.0079 23.7009; 7.0252 23.7994; 7.0426 23.8978; 7.1366 23.9320; 7.1539 24.0305; 7.1713 24.1290; 7.1887 24.2275
