1, -1.3820 -0.0202; -1.3603 0.1029; -1.3386 0.2260; -1.3168 0.3491; -1.2951 0.4722; -1.2734 0.5953; -1.2517 0.7184; -1.2300 0.8415; -1.2083 0.9646; -1.1866 1.0877; -1.1649 1.2108; -1.1432 1.3339; -1.1215 1.4570; -1.0998 1.5801; -1.0781 1.7032; -1.0564 1.8263; -1.0347 1.9494; -1.0130 2.0725; -0.9913 2.1956; -0.9696 2.3187; -0.9478 2.4418; -0.9261 2.5649; -0.9044 2.6880; -0.8827 2.8111; -0.8610 2.9342; -0.8393 3.0573; -0.8176 3.1804; -0.7959 3.3035; -0.7742 3.4266; -0.7525 3.5497; -0.7308 3.6728; -0.7091 3.7959; -0.6874 3.9190; -0.6657 4.0421; -0.6440 4.1652; -0.6223 4.2883; -0.6005 4.4114; -0.5788 4.5345; -0.5571 4.6576; -0.5354 4.7807; -0.5137 4.9038; -0.4920 5.0269; -0.4703 5.1500; -0.4486 5.2731; -0.4269 5.3962; -0.4052 5.5193; -0.3835 5.6424; -0.3618 5.7655; -0.3401 5.8886; -0.3184 6.0117; -0.2967 6.1348; -0.2750 6.2579; -0.2533 6.3810; -0.2315 6.5041; -0.2098 6.6272; -0.1881 6.7503; -0.1664 6.8735; -0.1447 6.9966; -0.1230 7.1197; -0.1013 7.2428; -0.0796 7.3659; -0.0579 7.4890; -0.0362 7.6121; -0.0145 7.7352; 0.0072 7.8583; 0.0289 7.9814; 0.0506 8.1045; 0.0550 8.1291; 0.0593 8.1537; 0.0637 8.1783; 0.0680 8.2029; 0.0723 8.2276; 0.0767 8.2522; 0.0810 8.2768; 0.0854 8.3014; 0.0897 8.3260; 0.0940 8.3507; 0.0984 8.3753; 0.1201 8.4984; 0.1244 8.5230; 0.1288 8.5476; 0.1331 8.5722; 0.1375 8.5969; 0.1418 8.6215; 0.1461 8.6461; 0.1505 8.6707; 0.1722 8.7938; 0.1765 8.8184; 0.1809 8.8431; 0.1852 8.8677; 0.1895 8.8923; 0.1939 8.9169; 0.1982 8.9415; 0.2026 8.9662; 0.2069 8.9908; 0.2113 9.0154; 0.2330 9.1385; 0.2373 9.1631; 0.2416 9.1877; 0.2460 9.2124; 0.2503 9.2370; 0.2547 9.2616; 0.2590 9.2862; 0.2634 9.3109; 0.2677 9.3355; 0.2720 9.3601; 0.2764 9.3847; 0.2807 9.4093; 0.2851 9.4340; 0.2894 9.4586; 0.2937 9.4832; 0.2981 9.5078; 0.3024 9.5324; 0.3068 9.5571; 0.3111 9.5817; 0.3154 9.6063; 0.3198 9.6309; 0.3241 9.6555; 0.3285 9.6802; 0.3328 9.7048; 0.3372 9.7294; 0.3415 9.7540; 0.3458 9.7786; 0.3502 9.8033; 0.3545 9.8279; 0.3589 9.8525; 0.3632 9.8771; 0.3675 9.9017; 0.3719 9.9264; 0.3762 9.9510; 0.3806 9.9756; 0.3849 10.0002; 0.3892 10.0248; 0.3936 10.0495; 0.3979 10.0741; 0.4023 10.0987; 0.4066 10.1233; 0.4110 10.1479; 0.4153 10.1726; 0.4196 10.1972; 0.4240 10.2218; 0.4283 10.2464; 0.4327 10.2710; 0.4370 10.2957; 0.4413 10.3203; 0.4457 10.3449; 0.4500 10.3695; 0.4544 10.3941; 0.4587 10.4188; 0.4630 10.4434; 0.4674 10.4680; 0.4717 10.4926; 0.4761 10.5172; 0.4804 10.5419; 0.5021 10.6650; 0.5065 10.6896; 0.5108 10.7142; 0.5151 10.7388; 0.5195 10.7634; 0.5238 10.7881; 0.5282 10.8127; 0.5325 10.8373; 0.5368 10.8619; 0.5412 10.8865; 0.5455 10.9112; 0.5499 10.9358; 0.5542 10.9604; 0.5586 10.9850; 0.5629 11.0096; 0.5672 11.0343; 0.5889 11.1574; 0.5933 11.1820; 0.5976 11.2066; 0.6020 11.2312; 0.6237 11.3543; 0.6280 11.3789; 0.6324 11.4036; 0.6541 11.5267; 0.6584 11.5513; 0.6627 11.5759; 0.6671 11.6005; 0.6714 11.6251; 0.6758 11.6498; 0.6801 11.6744; 0.7018 11.7975; 0.7062 11.8221; 0.7105 11.8467; 0.7148 11.8714; 0.7192 11.8960; 0.7235 11.9206; 0.7279 11.9452; 0.7322 11.9698; 0.7365 11.9945; 0.7409 12.0191; 0.7452 12.0437; 0.7496 12.0683; 0.7539 12.0929; 0.7582 12.1176; 0.7626 12.1422; 0.7669 12.1668; 0.7713 12.1914; 0.7756 12.2160; 0.7800 12.2407; 0.7843 12.2653; 0.7886 12.2899; 0.7930 12.3145; 0.7973 12.3391; 0.8017 12.3638; 0.8060 12.3884; 0.8103 12.4130; 0.8147 12.4376; 0.8190 12.4622; 0.8234 12.4869; 0.8277 12.5115; 0.8320 12.5361; 0.8364 12.5607; 0.8407 12.5853; 0.8451 12.6100; 0.8494 12.6346; 0.8711 12.7577; 0.8755 12.7823; 0.8798 12.8069; 0.8841 12.8315; 0.8885 12.8562; 0.8928 12.8808; 0.9145 13.0039; 0.9189 13.0285; 0.8997 13.0446; 0.8806 13.0606; 0.8614 13.0767; 0.8423 13.0928; 0.8231 13.1088; 0.7981 13.1088; 0.7731 13.1088; 0.7481 13.1088; 0.7231 13.1088; 0.6981 13.1088; 0.6746 13.1174; 0.6511 13.1259; 0.6276 13.1345; 0.6041 13.1431; 0.5807 13.1516; 0.5572 13.1602; 0.5337 13.1687; 0.5102 13.1773; 0.4867 13.1858; 0.4632 13.1944; 0.4397 13.2029; 0.4162 13.2115; 0.3927 13.2200; 0.3692 13.2286; 0.3457 13.2371; 0.3222 13.2457; 0.2987 13.2542; 0.2753 13.2628; 0.2518 13.2713; 0.2283 13.2799; 0.2518 13.2884; 0.2753 13.2970; 0.2796 13.3216; 0.3031 13.3301; 0.3074 13.3547; 0.3309 13.3633; 0.3526 13.4864; 0.3761 13.4950; 0.3996 13.5035; 0.4040 13.5281; 0.4083 13.5527; 0.4126 13.5774; 0.4361 13.5859; 0.4578 13.7090; 0.4813 13.7176; 0.5048 13.7261; 0.5265 13.8492; 0.5500 13.8578; 0.5735 13.8663; 0.5952 13.9894; 0.6187 13.9980; 0.6422 14.0065; 0.6465 14.0311; 0.6509 14.0558; 0.6744 14.0643; 0.6961 14.1874; 0.7196 14.1960; 0.7431 14.2045; 0.7648 14.3276; 0.7883 14.3362; 0.8118 14.3447; 0.8335 14.4678; 0.8570 14.4764; 0.8804 14.4849; 0.9979 14.5277; 1.0196 14.6508; 1.0431 14.6593; 1.0648 14.7824; 1.0883 14.7910; 1.1118 14.7995; 1.1335 14.9226; 1.1570 14.9312; 1.1805 14.9397; 1.2040 14.9483; 1.2257 15.0714; 1.2492 15.0799; 1.2727 15.0885; 1.2962 15.0970; 1.3179 15.2201; 1.3414 15.2287; 1.3649 15.2372; 1.3883 15.2458; 1.4101 15.3689; 1.4335 15.3774; 1.4553 15.5005; 1.4787 15.5091; 1.5022 15.5176; 1.5239 15.6407; 1.5474 15.6493; 1.5709 15.6578; 1.5944 15.6664; 1.6161 15.7895; 1.6396 15.7980; 1.6613 15.9211; 1.6848 15.9297; 1.7083 15.9382; 1.7126 15.9629; 1.7170 15.9875; 1.7387 16.1106; 1.7622 16.1191; 1.7665 16.1438; 1.7900 16.1523; 1.8117 16.2754; 1.8352 16.2840; 1.8396 16.3086; 1.8631 16.3171; 1.8848 16.4402; 1.9083 16.4488; 1.9317 16.4573; 1.9361 16.4819; 1.9596 16.4905; 1.9831 16.4990; 2.0048 16.6221; 2.0283 16.6307; 2.0326 16.6553; 2.0561 16.6639; 2.0796 16.6724; 2.0839 16.6970; 2.1074 16.7056; 2.1291 16.8287; 2.1056 16.8372; 2.1291 16.8458; 2.1526 16.8543
2, -1.3820 -0.0202; -1.3603 0.1029; -1.3386 0.2260; -1.3168 0.3491; -1.2951 0.4722; -1.2734 0.5953; -1.2517 0.7184; -1.2300 0.8415; -1.2083 0.9646; -1.1866 1.0877; -1.1649 1.2108; -1.1432 1.3339; -1.1215 1.4570; -1.0998 1.5801; -1.0781 1.7032; -1.0564 1.8263; -1.0347 1.9494; -1.0130 2.0725; -0.9913 2.1956; -0.9696 2.3187; -0.9478 2.4418; -0.9261 2.5649; -0.9044 2.6880; -0.8827 2.8111; -0.8610 2.9342; -0.8393 3.0573; -0.8176 3.1804; -0.7959 3.3035; -0.7742 3.4266; -0.7525 3.5497; -0.7308 3.6728; -0.7091 3.7959; -0.6874 3.9190; -0.6657 4.0421; -0.6440 4.1652; -0.6223 4.2883; -0.6005 4.4114; -0.5788 4.5345; -0.5571 4.6576; -0.5354 4.7807; -0.5137 4.9038; -0.4920 5.0269; -0.4703 5.1500; -0.4486 5.2731; -0.4269 5.3962; -0.4052 5.5193; -0.3835 5.6424; -0.3618 5.7655; -0.3401 5.8886; -0.3184 6.0117; -0.2967 6.1348; -0.2750 6.2579; -0.2533 6.3810; -0.2315 6.5041; -0.2098 6.6272; -0.1881 6.7503; -0.1664 6.8735; -0.1447 6.9966; -0.1230 7.1197; -0.1013 7.2428; -0.0796 7.3659; -0.0579 7.4890; -0.0362 7.6121; -0.0145 7.7352; 0.0072 7.8583; 0.0289 7.9814; 0.0506 8.1045; 0.0723 8.2276; 0.0767 8.2522; 0.0810 8.2768; 0.0854 8.3014; 0.0897 8.3260; 0.0940 8.3507; 0.0984 8.3753; 0.1027 8.3999; 0.1071 8.4245; 0.1114 8.4491; 0.1157 8.4738; 0.1201 8.4984; 0.1244 8.5230; 0.1288 8.5476; 0.1331 8.5722; 0.1375 8.5969; 0.1418 8.6215; 0.1461 8.6461; 0.1505 8.6707; 0.1548 8.6953; 0.1592 8.7200; 0.1635 8.7446; 0.1678 8.7692; 0.1722 8.7938; 0.1765 8.8184; 0.1982 8.9415; 0.2026 8.9662; 0.2069 8.9908; 0.2113 9.0154; 0.2156 9.0400; 0.2199 9.0646; 0.2243 9.0893; 0.2286 9.1139; 0.2330 9.1385; 0.2373 9.1631; 0.2416 9.1877; 0.2460 9.2124; 0.2677 9.3355; 0.2720 9.3601; 0.2764 9.3847; 0.2807 9.4093; 0.2851 9.4340; 0.2894 9.4586; 0.2937 9.4832; 0.2981 9.5078; 0.3024 9.5324; 0.3068 9.5571; 0.3111 9.5817; 0.3154 9.6063; 0.3198 9.6309; 0.3241 9.6555; 0.3285 9.6802; 0.3328 9.7048; 0.3372 9.7294; 0.3415 9.7540; 0.3458 9.7786; 0.3502 9.8033; 0.3545 9.8279; 0.3589 9.8525; 0.3632 9.8771; 0.3675 9.9017; 0.3719 9.9264; 0.3762 9.9510; 0.3806 9.9756; 0.3849 10.0002; 0.3892 10.0248; 0.3936 10.0495; 0.3979 10.0741; 0.4023 10.0987; 0.4066 10.1233; 0.4283 10.2464; 0.4327 10.2710; 0.4370 10.2957; 0.4413 10.3203; 0.4457 10.3449; 0.4500 10.3695; 0.4544 10.3941; 0.4587 10.4188; 0.4630 10.4434; 0.4674 10.4680; 0.4717 10.4926; 0.4761 10.5172; 0.4804 10.5419; 0.4848 10.5665; 0.4891 10.5911; 0.4934 10.6157; 0.4978 10.6403; 0.5021 10.6650; 0.5065 10.6896; 0.5108 10.7142; 0.5151 10.7388; 0.5195 10.7634; 0.5238 10.7881; 0.5282 10.8127; 0.5325 10.8373; 0.5368 10.8619; 0.5412 10.8865; 0.5455 10.9112; 0.5672 11.0343; 0.5716 11.0589; 0.5759 11.0835; 0.5803 11.1081; 0.5846 11.1327; 0.5889 11.1574; 0.5933 11.1820; 0.5976 11.2066; 0.6020 11.2312; 0.6063 11.2558; 0.6106 11.2805; 0.6150 11.3051; 0.6193 11.3297; 0.6237 11.3543; 0.6280 11.3789; 0.6324 11.4036; 0.6367 11.4282; 0.6410 11.4528; 0.6454 11.4774; 0.6497 11.5020; 0.6541 11.5267; 0.6758 11.6498; 0.6801 11.6744; 0.6844 11.6990; 0.6888 11.7236; 0.6931 11.7482; 0.6975 11.7729; 0.7018 11.7975; 0.7235 11.9206; 0.7279 11.9452; 0.7322 11.9698; 0.7365 11.9945; 0.7409 12.0191; 0.7452 12.0437; 0.7496 12.0683; 0.7539 12.0929; 0.7582 12.1176; 0.7626 12.1422; 0.7669 12.1668; 0.7713 12.1914; 0.7756 12.2160; 0.7800 12.2407; 0.7843 12.2653; 0.7886 12.2899; 0.7930 12.3145; 0.7973 12.3391; 0.8017 12.3638; 0.8060 12.3884; 0.8103 12.4130; 0.8147 12.4376; 0.8190 12.4622; 0.8234 12.4869; 0.8277 12.5115; 0.8320 12.5361; 0.8364 12.5607; 0.8581 12.6838; 0.8624 12.7084; 0.8668 12.7331; 0.8711 12.7577; 0.8755 12.7823; 0.8563 12.7984; 0.8372 12.8144; 0.8122 12.8144; 0.7872 12.8144; 0.7622 12.8144; 0.7372 12.8144; 0.7122 12.8144; 0.6872 12.8144; 0.6637 12.8230; 0.6402 12.8315; 0.6167 12.8401; 0.5932 12.8486; 0.5697 12.8572; 0.5462 12.8657; 0.5227 12.8743; 0.4992 12.8828; 0.4757 12.8914; 0.4522 12.8999; 0.4287 12.9085; 0.4053 12.9170; 0.3818 12.9256; 0.3583 12.9341; 0.3348 12.9427; 0.3583 12.9512; 0.3818 12.9598; 0.4053 12.9683; 0.4287 12.9769; 0.4522 12.9854; 0.4757 12.9940; 0.4992 13.0025; 0.4949 13.0272; 0.5184 13.0357; 0.4967 13.1588; 0.5202 13.1674; 0.5436 13.1759; 0.5671 13.1845; 0.5454 13.3076; 0.5689 13.3161; 0.5924 13.3247; 0.6159 13.3332; 0.6116 13.3578; 0.6072 13.3825; 0.6029 13.4071; 0.6264 13.4156; 0.6047 13.5387; 0.6282 13.5473; 0.6517 13.5558; 0.6752 13.5644; 0.6986 13.5729; 0.7221 13.5815; 0.7004 13.7046; 0.7239 13.7131; 0.7474 13.7217; 0.7709 13.7302; 0.7492 13.8533; 0.7727 13.8619; 0.7962 13.8704; 0.8197 13.8790; 0.8432 13.8875; 0.8667 13.8961; 0.9841 13.9388; 1.0058 14.0619; 1.0293 14.0705; 1.0528 14.0790; 1.0763 14.0876; 1.0998 14.0961; 1.2173 14.1389; 1.2390 14.2620; 1.2625 14.2706; 1.2842 14.3937; 1.3077 14.4022; 1.3312 14.4108; 1.3546 14.4193; 1.4721 14.4621; 1.4938 14.5852; 1.5173 14.5937; 1.5390 14.7168; 1.5625 14.7254; 1.5860 14.7339; 1.6077 14.8570; 1.6312 14.8656; 1.6547 14.8741; 1.6764 14.9972; 1.6999 15.0058; 1.7234 15.0143; 1.7451 15.1374; 1.7686 15.1460; 1.7921 15.1545; 1.8156 15.1631; 1.8199 15.1877; 1.8242 15.2123; 1.8286 15.2369; 1.8521 15.2455; 1.8738 15.3686; 1.8973 15.3771; 1.9016 15.4018; 1.9251 15.4103; 1.9468 15.5334; 1.9233 15.5420; 1.8998 15.5505; 1.8763 15.5591; 1.8998 15.5676; 1.9233 15.5762; 1.9468 15.5847; 1.9703 15.5933; 1.9920 15.7164; 2.0155 15.7249; 2.0390 15.7335; 2.0625 15.7420; 2.0860 15.7506; 2.1077 15.8737; 2.0842 15.8822; 2.0607 15.8908; 2.0372 15.8993; 2.0607 15.9079; 2.0842 15.9164; 2.1077 15.9250; 2.1120 15.9496; 2.1164 15.9742; 2.1399 15.9828; 2.1442 16.0074; 2.1485 16.0320; 2.1529 16.0566; 2.1764 16.0652; 2.1981 16.1883
3, -1.3820 -0.0202; -1.3603 0.1029; -1.3386 0.2260; -1.3168 0.3491; -1.2951 0.4722; -1.2734 0.5953; -1.2517 0.7184; -1.2300 0.8415; -1.2083 0.9646; -1.1866 1.0877; -1.1649 1.2108; -1.1432 1.3339; -1.1215 1.4570; -1.0998 1.5801; -1.0781 1.7032; -1.0564 1.8263; -1.0347 1.9494; -1.0130 2.0725; -0.9913 2.1956; -0.9696 2.3187; -0.9478 2.4418; -0.9261 2.5649; -0.9044 2.6880; -0.8827 2.8111; -0.8610 2.9342; -0.8393 3.0573; -0.8176 3.1804; -0.7959 3.3035; -0.7742 3.4266; -0.7525 3.5497; -0.7308 3.6728; -0.7091 3.7959; -0.6874 3.9190; -0.6657 4.0421; -0.6440 4.1652; -0.6223 4.2883; -0.6005 4.4114; -0.5788 4.5345; -0.5571 4.6576; -0.5354 4.7807; -0.5137 4.9038; -0.4920 5.0269; -0.4703 5.1500; -0.4486 5.2731; -0.4269 5.3962; -0.4052 5.5193; -0.3835 5.6424; -0.3618 5.7655; -0.3401 5.8886; -0.3184 6.0117; -0.2967 6.1348; -0.2750 6.2579; -0.2533 6.3810; -0.2315 6.5041; -0.2098 6.6272; -0.1881 6.7503; -0.1664 6.8735; -0.1447 6.9966; -0.1230 7.1197; -0.1013 7.2428; -0.0796 7.3659; -0.0579 7.4890; -0.0362 7.6121; -0.0145 7.7352; 0.0072 7.8583; 0.0289 7.9814; 0.0506 8.1045; 0.0723 8.2276; 0.0940 8.3507; 0.0984 8.3753; 0.1027 8.3999; 0.1071 8.4245; 0.1114 8.4491; 0.1157 8.4738; 0.1201 8.4984; 0.1244 8.5230; 0.1288 8.5476; 0.1331 8.5722; 0.1375 8.5969; 0.1418 8.6215; 0.1461 8.6461; 0.1505 8.6707; 0.1548 8.6953; 0.1592 8.7200; 0.1635 8.7446; 0.1678 8.7692; 0.1722 8.7938; 0.1765 8.8184; 0.1809 8.8431; 0.1852 8.8677; 0.1895 8.8923; 0.1939 8.9169; 0.1982 8.9415; 0.2026 8.9662; 0.2069 8.9908; 0.2113 9.0154; 0.2156 9.0400; 0.2199 9.0646; 0.2243 9.0893; 0.2286 9.1139; 0.2330 9.1385; 0.2373 9.1631; 0.2590 9.2862; 0.2634 9.3109; 0.2677 9.3355; 0.2720 9.3601; 0.2764 9.3847; 0.2807 9.4093; 0.2851 9.4340; 0.2894 9.4586; 0.2937 9.4832; 0.2981 9.5078; 0.3024 9.5324; 0.3068 9.5571; 0.3111 9.5817; 0.3154 9.6063; 0.3198 9.6309; 0.3241 9.6555; 0.3285 9.6802; 0.3328 9.7048; 0.3372 9.7294; 0.3415 9.7540; 0.3458 9.7786; 0.3502 9.8033; 0.3545 9.8279; 0.3589 9.8525; 0.3632 9.8771; 0.3675 9.9017; 0.3892 10.0248; 0.3936 10.0495; 0.3979 10.0741; 0.4023 10.0987; 0.4066 10.1233; 0.4110 10.1479; 0.4153 10.1726; 0.4196 10.1972; 0.4240 10.2218; 0.4283 10.2464; 0.4327 10.2710; 0.4370 10.2957; 0.4413 10.3203; 0.4457 10.3449; 0.4500 10.3695; 0.4544 10.3941; 0.4587 10.4188; 0.4630 10.4434; 0.4674 10.4680; 0.4717 10.4926; 0.4761 10.5172; 0.4804 10.5419; 0.4848 10.5665; 0.4891 10.5911; 0.4934 10.6157; 0.4978 10.6403; 0.5021 10.6650; 0.5065 10.6896; 0.5108 10.7142; 0.5151 10.7388; 0.5195 10.7634; 0.5238 10.7881; 0.5282 10.8127; 0.5325 10.8373; 0.5368 10.8619; 0.5412 10.8865; 0.5455 10.9112; 0.5499 10.9358; 0.5542 10.9604; 0.5586 10.9850; 0.5629 11.0096; 0.5672 11.0343; 0.5716 11.0589; 0.5759 11.0835; 0.5803 11.1081; 0.5846 11.1327; 0.5889 11.1574; 0.5933 11.1820; 0.5976 11.2066; 0.6020 11.2312; 0.6063 11.2558; 0.6106 11.2805; 0.6150 11.3051; 0.6193 11.3297; 0.6237 11.3543; 0.6280 11.3789; 0.6324 11.4036; 0.6367 11.4282; 0.6410 11.4528; 0.6454 11.4774; 0.6497 11.5020; 0.6541 11.5267; 0.6584 11.5513; 0.6627 11.5759; 0.6671 11.6005; 0.6714 11.6251; 0.6758 11.6498; 0.6801 11.6744; 0.6844 11.6990; 0.6888 11.7236; 0.6931 11.7482; 0.6975 11.7729; 0.7018 11.7975; 0.7062 11.8221; 0.7105 11.8467; 0.7148 11.8714; 0.7192 11.8960; 0.7235 11.9206; 0.7279 11.9452; 0.7235 11.9698; 0.6985 11.9698; 0.6735 11.9698; 0.6485 11.9698; 0.6235 11.9698; 0.6000 11.9784; 0.5765 11.9869; 0.5530 11.9955; 0.5295 12.0040; 0.5209 12.0533; 0.5122 12.1025; 0.5035 12.1518; 0.4948 12.2010; 0.4905 12.2256; 0.4861 12.2502; 0.4818 12.2749; 0.4775 12.2995; 0.4557 12.4226; 0.4514 12.4472; 0.4471 12.4718; 0.4427 12.4964; 0.4384 12.5211; 0.4210 12.6195; 0.4445 12.6281; 0.4271 12.7266; 0.5211 12.7608; 0.5038 12.8593; 0.5977 12.8935; 0.5804 12.9919; 0.6038 13.0005; 0.5865 13.0990; 0.6100 13.1075; 0.5926 13.2060; 0.6161 13.2145; 0.7101 13.2487; 0.6927 13.3472; 0.7867 13.3814; 0.7693 13.4799; 0.7928 13.4885; 0.8868 13.5227; 0.8694 13.6211; 0.8929 13.6297; 0.9869 13.6639; 0.9695 13.7624; 0.9521 13.8609; 0.9756 13.8694; 1.0696 13.9036; 1.0522 14.0021; 1.0757 14.0106; 1.0584 14.1091; 1.0819 14.1177; 1.1758 14.1519; 1.1585 14.2504; 1.1820 14.2589; 1.1646 14.3574; 1.1881 14.3659; 1.1707 14.4644; 1.1942 14.4730; 1.2882 14.5072; 1.2708 14.6057; 1.2943 14.6142; 1.2769 14.7127; 1.2726 14.7373; 1.2552 14.8358; 1.2787 14.8443; 1.3727 14.8785; 1.3553 14.9770; 1.3380 15.0755; 1.3615 15.0841; 1.4554 15.1183; 1.4381 15.2167; 1.4616 15.2253; 1.4442 15.3238; 1.4268 15.4222; 1.4503 15.4308; 1.5443 15.4650; 1.5269 15.5635; 1.6209 15.5977; 1.6035 15.6962; 1.5862 15.7946; 1.5688 15.8931; 1.5923 15.9017; 1.6863 15.9359; 1.6689 16.0344; 1.6515 16.1328; 1.6750 16.1414; 1.6577 16.2399; 1.6811 16.2484; 1.7751 16.2826; 1.7578 16.3811; 1.7404 16.4796; 1.7639 16.4881; 1.7465 16.5866; 1.7700 16.5952; 1.7526 16.6936; 1.7761 16.7022; 1.7996 16.7107; 1.7823 16.8092; 1.8058 16.8178; 1.8997 16.8520; 1.8824 16.9505; 1.9059 16.9590; 1.9293 16.9676; 2.0233 17.0018; 2.0016 17.1249; 2.0251 17.1334; 2.0486 17.1420; 2.0269 17.2651; 2.0504 17.2736; 2.0739 17.2822; 2.0974 17.2907; 2.1209 17.2993; 2.0991 17.4224; 2.1226 17.4309; 2.1461 17.4395; 2.1696 17.4480; 2.1931 17.4566; 2.2166 17.4651; 2.2401 17.4737; 2.2636 17.4822; 2.2871 17.4908; 2.3811 17.5250; 2.3594 17.6481; 2.3828 17.6566; 2.4063 17.6652; 2.4298 17.6737; 2.4533 17.6823; 2.5708 17.7250; 2.5491 17.8481; 2.5726 17.8567; 2.5961 17.8652; 2.7135 17.9080; 2.6918 18.0311; 2.7153 18.0396; 2.7388 18.0482; 2.7623 18.0567; 2.7406 18.1798; 2.7641 18.1884; 2.7876 18.1969; 2.8111 18.2055; 2.8346 18.2140; 2.8129 18.3371; 2.8363 18.3457
