1, -0.7639 -1.9223; -0.7422 -1.7992; -0.7205 -1.6761; -0.6988 -1.5530; -0.6771 -1.4299; -0.6554 -1.3068; -0.6337 -1.1837; -0.6120 -1.0606; -0.5903 -0.9375; -0.5686 -0.8144; -0.5469 -0.6913; -0.5252 -0.5682; -0.5035 -0.4451; -0.4818 -0.3220; -0.4600 -0.1989; -0.4383 -0.0758; -0.4166 0.0473; -0.3949 0.1704; -0.3732 0.2935; -0.3515 0.4166; -0.3298 0.5397; -0.3081 0.6628; -0.2864 0.7859; -0.2647 0.9090; -0.2430 1.0321; -0.2213 1.1552; -0.1996 1.2783; -0.1779 1.4014; -0.1562 1.5245; -0.1345 1.6476; -0.1128 1.7707; -0.0910 1.8938; -0.0693 2.0169; -0.0476 2.1400; -0.0259 2.2631; -0.0042 2.3862; 0.0175 2.5093; 0.0392 2.6324; 0.0609 2.7555; 0.0826 2.8786; 0.1043 3.0017; 0.1260 3.1248; 0.1477 3.2479; 0.1694 3.3710; 0.1911 3.4941; 0.2128 3.6172; 0.2345 3.7403; 0.2563 3.8634; 0.2780 3.9865; 0.2997 4.1096; 0.3214 4.2327; 0.3431 4.3558; 0.3648 4.4789; 0.3865 4.6020; 0.4082 4.7251; 0.4299 4.8482; 0.4516 4.9713; 0.4733 5.0944; 0.4950 5.2175; 0.5167 5.3406; 0.5384 5.4637; 0.5601 5.5868; 0.5818 5.7099; 0.6035 5.8330; 0.6253 5.9561; 0.6470 6.0792; 0.6687 6.2023; 0.6904 6.3254; 0.7121 6.4485; 0.7338 6.5717; 0.7555 6.6948; 0.7772 6.8179; 0.7989 6.9410; 0.8206 7.0641; 0.8423 7.1872; 0.8640 7.3103; 0.8857 7.4334; 0.9074 7.5565; 0.9291 7.6796; 0.9508 7.8027; 0.9725 7.9258; 0.9943 8.0489; 1.0160 8.1720; 1.0377 8.2951; 1.0594 8.4182; 1.0811 8.5413; 1.1028 8.6644; 1.1245 8.7875; 1.1462 8.9106; 1.1679 9.0337; 1.1896 9.1568; 1.2113 9.2799; 1.2330 9.4030; 1.2547 9.5261; 1.2764 9.6492; 1.2981 9.7723; 1.3198 9.8954; 1.3416 10.0185; 1.3633 10.1416; 1.3850 10.2647; 1.4067 10.3878; 1.4284 10.5109; 1.4501 10.6340; 1.4718 10.7571; 1.4935 10.8802; 1.5152 11.0033; 1.5369 11.1264; 1.5586 11.2495; 1.5803 11.3726; 1.6020 11.4957; 1.6237 11.6188; 1.6454 11.7419; 1.6671 11.8650; 1.6888 11.9881; 1.7106 12.1112; 1.7323 12.2343; 1.7540 12.3574; 1.7757 12.4805; 1.7974 12.6036; 1.8191 12.7267; 1.8408 12.8498; 1.8625 12.9729; 1.8842 13.0960; 1.9059 13.2191; 1.9276 13.3422; 1.9493 13.4653; 1.9710 13.5884; 1.9927 13.7115; 2.0144 13.8346; 2.0361 13.9577; 2.0579 14.0808; 2.0796 14.2039; 2.1013 14.3270; 2.1230 14.4501; 2.1447 14.5732; 2.1664 14.6963; 2.1881 14.8194; 2.2098 14.9425; 2.2315 15.0656; 2.2532 15.1887; 2.2749 15.3118; 2.2966 15.4349; 2.3183 15.5580; 2.3400 15.6811; 2.3617 15.8042; 2.3834 15.9273; 2.4051 16.0504; 2.4269 16.1735; 2.4486 16.2966; 2.4703 16.4197; 2.4920 16.5428; 2.5137 16.6659; 2.5354 16.7890; 2.5571 16.9121; 2.5788 17.0352; 2.6005 17.1583; 2.6222 17.2814; 2.6439 17.4045; 2.6656 17.5276; 2.6873 17.6507; 2.7090 17.7738; 2.7307 17.8969; 2.7524 18.0200; 2.7741 18.1431; 2.7959 18.2662; 2.8176 18.3893; 2.8393 18.5124; 2.8610 18.6355; 2.8827 18.7586; 2.9044 18.8817; 2.9261 19.0048; 2.9478 19.1279; 2.9695 19.2511; 2.9912 19.3742; 3.0129 19.4973; 3.0346 19.6204; 3.0563 19.7435; 3.0780 19.8666; 3.0997 19.9897; 3.1214 20.1128; 3.1432 20.2359; 3.1649 20.3590; 3.1866 20.4821; 3.2083 20.6052; 3.2300 20.7283; 3.2517 20.8514; 3.2734 20.9745; 3.2951 21.0976; 3.3168 21.2207; 3.3385 21.3438; 3.3602 21.4669; 3.3819 21.5900; 3.4036 21.7131; 3.4253 21.8362; 3.4470 21.9593; 3.4687 22.0824; 3.4904 22.2055; 3.5122 22.3286; 3.5339 22.4517; 3.5556 22.5748; 3.5773 22.6979; 3.5990 22.8210; 3.6207 22.9441; 3.6424 23.0672; 3.6641 23.1903; 3.6858 23.3134; 3.7075 23.4365; 3.7292 23.5596; 3.7509 23.6827; 3.7726 23.8058; 3.7943 23.9289; 3.8160 24.0520; 3.8377 24.1751; 3.8595 24.2982; 3.8812 24.4213; 3.9029 24.5444; 3.9246 24.6675; 3.9463 24.7906; 3.9680 24.9137; 3.9897 25.0368; 4.0114 25.1599; 4.0331 25.2830; 4.0548 25.4061; 4.0765 25.5292; 4.0982 25.6523; 4.1199 25.7754; 4.1416 25.8985; 4.1633 26.0216; 4.1850 26.1447; 4.2067 26.2678; 4.2285 26.3909; 4.2502 26.5140; 4.2719 26.6371; 4.2936 26.7602; 4.3153 26.8833; 4.3370 27.0064; 4.3587 27.1295; 4.3804 27.2526; 4.4021 27.3757; 4.4238 27.4988; 4.4281 27.5234; 4.4325 27.5481; 4.4542 27.6712; 4.4585 27.6958; 4.4629 27.7204; 4.4672 27.7450; 4.4716 27.7696; 4.4933 27.8927; 4.4976 27.9174; 4.5019 27.9420; 4.5063 27.9666; 4.5106 27.9912; 4.5150 28.0158; 4.5193 28.0405; 4.5237 28.0651; 4.5280 28.0897; 4.5323 28.1143; 4.5367 28.1389; 4.5410 28.1636; 4.5454 28.1882; 4.5497 28.2128; 4.5540 28.2374; 4.5584 28.2620; 4.5627 28.2867; 4.5671 28.3113; 4.5714 28.3359; 4.5757 28.3605; 4.5801 28.3851; 4.5844 28.4098; 4.5888 28.4344; 4.5931 28.4590; 4.5975 28.4836; 4.6018 28.5082; 4.6061 28.5329; 4.6105 28.5575; 4.6148 28.5821; 4.6192 28.6067; 4.6235 28.6313; 4.6278 28.6560; 4.6322 28.6806; 4.6365 28.7052; 4.6409 28.7298; 4.6452 28.7544; 4.6495 28.7791; 4.6539 28.8037; 4.6582 28.8283; 4.6626 28.8529; 4.6669 28.8775; 4.6713 28.9022; 4.6756 28.9268; 4.6799 28.9514; 4.6843 28.9760; 4.6886 29.0006; 4.6930 29.0253; 4.6973 29.0499; 4.7016 29.0745; 4.7060 29.0991; 4.7103 29.1237; 4.7147 29.1484; 4.7190 29.1730; 4.7234 29.1976; 4.7277 29.2222; 4.7320 29.2468; 4.7364 29.2715; 4.7407 29.2961; 4.7451 29.3207; 4.7494 29.3453; 4.7537 29.3699; 4.7581 29.3946; 4.7624 29.4192; 4.7668 29.4438; 4.7711 29.4684; 4.7754 29.4931; 4.7798 29.5177; 4.7841 29.5423; 4.7885 29.5669; 4.7928 29.5915; 4.7972 29.6162; 4.8015 29.6408; 4.8058 29.6654; 4.8102 29.6900; 4.8145 29.7146; 4.8189 29.7393; 4.8232 29.7639; 4.8275 29.7885; 4.8319 29.8131; 4.8362 29.8377; 4.8406 29.8624; 4.8449 29.8870; 4.8492 29.9116; 4.8536 29.9362; 4.8579 29.9608; 4.8623 29.9855; 4.8666 30.0101; 4.8710 30.0347; 4.8753 30.0593; 4.8796 30.0839; 4.8840 30.1086; 4.8883 30.1332; 4.8927 30.1578; 4.8970 30.1824; 4.9013 30.2070; 4.9057 30.2317; 4.9100 30.2563; 4.9144 30.2809; 4.9187 30.3055; 4.9230 30.3301; 4.9274 30.3548; 4.9317 30.3794; 4.9361 30.4040
2, -0.7639 -1.9223; -0.7422 -1.7992; -0.7205 -1.6761; -0.6988 -1.5530; -0.6771 -1.4299; -0.6554 -1.3068; -0.6337 -1.1837; -0.6120 -1.0606; -0.5903 -0.9375; -0.5686 -0.8144; -0.5469 -0.6913; -0.5252 -0.5682; -0.5035 -0.4451; -0.4818 -0.3220; -0.4600 -0.1989; -0.4383 -0.0758; -0.4166 0.0473; -0.3949 0.1704; -0.3732 0.2935; -0.3515 0.4166; -0.3298 0.5397; -0.3081 0.6628; -0.2864 0.7859; -0.2647 0.9090; -0.2430 1.0321; -0.2213 1.1552; -0.1996 1.2783; -0.1779 1.4014; -0.1562 1.5245; -0.1345 1.6476; -0.1128 1.7707; -0.0910 1.8938; -0.0693 2.0169; -0.0476 2.1400; -0.0259 2.2631; -0.0042 2.3862; 0.0175 2.5093; 0.0392 2.6324; 0.0609 2.7555; 0.0826 2.8786; 0.1043 3.0017; 0.1260 3.1248; 0.1477 3.2479; 0.1694 3.3710; 0.1911 3.4941; 0.2128 3.6172; 0.2345 3.7403; 0.2563 3.8634; 0.2780 3.9865; 0.2997 4.1096; 0.3214 4.2327; 0.3431 4.3558; 0.3648 4.4789; 0.3865 4.6020; 0.4082 4.7251; 0.4299 4.8482; 0.4516 4.9713; 0.4733 5.0944; 0.4950 5.2175; 0.5167 5.3406; 0.5384 5.4637; 0.5601 5.5868; 0.5818 5.7099; 0.6035 5.8330; 0.6253 5.9561; 0.6470 6.0792; 0.6687 6.2023; 0.6904 6.3254; 0.7121 6.4485; 0.7338 6.5717; 0.7555 6.6948; 0.7772 6.8179; 0.7989 6.9410; 0.8206 7.0641; 0.8423 7.1872; 0.8640 7.3103; 0.8857 7.4334; 0.9074 7.5565; 0.9291 7.6796; 0.9508 7.8027; 0.9725 7.9258; 0.9943 8.0489; 1.0160 8.1720; 1.0377 8.2951; 1.0594 8.4182; 1.0811 8.5413; 1.1028 8.6644; 1.1245 8.7875; 1.1462 8.9106; 1.1679 9.0337; 1.1896 9.1568; 1.2113 9.2799; 1.2330 9.4030; 1.2547 9.5261; 1.2764 9.6492; 1.2981 9.7723; 1.3198 9.8954; 1.3416 10.0185; 1.3633 10.1416; 1.3850 10.2647; 1.4067 10.3878; 1.4284 10.5109; 1.4501 10.6340; 1.4718 10.7571; 1.4935 10.8802; 1.5152 11.0033; 1.5369 11.1264; 1.5586 11.2495; 1.5803 11.3726; 1.6020 11.4957; 1.6237 11.6188; 1.6454 11.7419; 1.6671 11.8650; 1.6888 11.9881; 1.7106 12.1112; 1.7323 12.2343; 1.7540 12.3574; 1.7757 12.4805; 1.7974 12.6036; 1.8191 12.7267; 1.8408 12.8498; 1.8625 12.9729; 1.8842 13.0960; 1.9059 13.2191; 1.9276 13.3422; 1.9493 13.4653; 1.9710 13.5884; 1.9927 13.7115; 2.0144 13.8346; 2.0361 13.9577; 2.0579 14.0808; 2.0796 14.2039; 2.1013 14.3270; 2.1230 14.4501; 2.1447 14.5732; 2.1664 14.6963; 2.1881 14.8194; 2.2098 14.9425; 2.2315 15.0656; 2.2532 15.1887; 2.2749 15.3118; 2.2966 15.4349; 2.3183 15.5580; 2.3400 15.6811; 2.3617 15.8042; 2.3834 15.9273; 2.4051 16.0504; 2.4269 16.1735; 2.4486 16.2966; 2.4703 16.4197; 2.4920 16.5428; 2.5137 16.6659; 2.5354 16.7890; 2.5571 16.9121; 2.5788 17.0352; 2.6005 17.1583; 2.6222 17.2814; 2.6439 17.4045; 2.6656 17.5276; 2.6873 17.6507; 2.7090 17.7738; 2.7307 17.8969; 2.7524 18.0200; 2.7741 18.1431; 2.7959 18.2662; 2.8176 18.3893; 2.8393 18.5124; 2.8610 18.6355; 2.8827 18.7586; 2.9044 18.8817; 2.9261 19.0048; 2.9478 19.1279; 2.9695 19.2511; 2.9912 19.3742; 3.0129 19.4973; 3.0346 19.6204; 3.0563 19.7435; 3.0780 19.8666; 3.0997 19.9897; 3.1214 20.1128; 3.1432 20.2359; 3.1649 20.3590; 3.1866 20.4821; 3.2083 20.6052; 3.2300 20.7283; 3.2517 20.8514; 3.2734 20.9745; 3.2951 21.0976; 3.3168 21.2207; 3.3385 21.3438; 3.3602 21.4669; 3.3819 21.5900; 3.4036 21.7131; 3.4253 21.8362; 3.4470 21.9593; 3.4687 22.0824; 3.4904 22.2055; 3.5122 22.3286; 3.5339 22.4517; 3.5556 22.5748; 3.5773 22.6979; 3.5990 22.8210; 3.6207 22.9441; 3.6424 23.0672; 3.6641 23.1903; 3.6858 23.3134; 3.7075 23.4365; 3.7292 23.5596; 3.7509 23.6827; 3.7726 23.8058; 3.7943 23.9289; 3.8160 24.0520; 3.8377 24.1751; 3.8595 24.2982; 3.8812 24.4213; 3.9029 24.5444; 3.9246 24.6675; 3.9463 24.7906; 3.9680 24.9137; 3.9897 25.0368; 4.0114 25.1599; 4.0331 25.2830; 4.0548 25.4061; 4.0765 25.5292; 4.0982 25.6523; 4.1199 25.7754; 4.1416 25.8985; 4.1633 26.0216; 4.1850 26.1447; 4.2067 26.2678; 4.2285 26.3909; 4.2502 26.5140; 4.2719 26.6371; 4.2936 26.7602; 4.3153 26.8833; 4.3370 27.0064; 4.3413 27.0310; 4.3457 27.0557; 4.3500 27.0803; 4.3543 27.1049; 4.3587 27.1295; 4.3630 27.1541; 4.3674 27.1788; 4.3717 27.2034; 4.3761 27.2280; 4.3804 27.2526; 4.3847 27.2772; 4.3891 27.3019; 4.3934 27.3265; 4.3978 27.3511; 4.4021 27.3757; 4.4064 27.4003; 4.4108 27.4250; 4.4151 27.4496; 4.4195 27.4742; 4.4238 27.4988; 4.4281 27.5234; 4.4325 27.5481; 4.4368 27.5727; 4.4412 27.5973; 4.4455 27.6219; 4.4499 27.6465; 4.4542 27.6712; 4.4585 27.6958; 4.4629 27.7204; 4.4672 27.7450; 4.4716 27.7696; 4.4759 27.7943; 4.4802 27.8189; 4.4846 27.8435; 4.4889 27.8681; 4.4933 27.8927; 4.4976 27.9174; 4.5019 27.9420; 4.5063 27.9666; 4.5106 27.9912; 4.5150 28.0158; 4.5193 28.0405; 4.5237 28.0651; 4.5280 28.0897; 4.5323 28.1143; 4.5367 28.1389; 4.5410 28.1636; 4.5454 28.1882; 4.5497 28.2128; 4.5540 28.2374; 4.5584 28.2620; 4.5627 28.2867; 4.5671 28.3113; 4.5714 28.3359; 4.5757 28.3605; 4.5801 28.3851; 4.5844 28.4098; 4.5888 28.4344; 4.5931 28.4590; 4.5975 28.4836; 4.6018 28.5082; 4.6061 28.5329; 4.6105 28.5575; 4.6148 28.5821; 4.6192 28.6067; 4.6235 28.6313; 4.6278 28.6560; 4.6322 28.6806; 4.6365 28.7052; 4.6409 28.7298; 4.6452 28.7544; 4.6495 28.7791; 4.6539 28.8037; 4.6582 28.8283; 4.6626 28.8529; 4.6669 28.8775; 4.6713 28.9022; 4.6756 28.9268; 4.6799 28.9514; 4.6843 28.9760; 4.6886 29.0006; 4.6930 29.0253; 4.6973 29.0499; 4.7016 29.0745; 4.7060 29.0991; 4.7103 29.1237; 4.7147 29.1484; 4.7190 29.1730; 4.7234 29.1976; 4.7277 29.2222; 4.7320 29.2468; 4.7364 29.2715; 4.7407 29.2961; 4.7451 29.3207; 4.7494 29.3453; 4.7537 29.3699; 4.7581 29.3946; 4.7624 29.4192; 4.7668 29.4438; 4.7711 29.4684; 4.7754 29.4931; 4.7798 29.5177; 4.7841 29.5423; 4.7885 29.5669; 4.7928 29.5915; 4.7972 29.6162; 4.8015 29.6408; 4.8058 29.6654; 4.8102 29.6900; 4.8145 29.7146; 4.8189 29.7393; 4.8232 29.7639; 4.8275 29.7885; 4.8319 29.8131
3, -0.7639 -1.9223; -0.7422 -1.7992; -0.7205 -1.6761; -0.6988 -1.5530; -0.6771 -1.4299; -0.6554 -1.3068; -0.6337 -1.1837; -0.6120 -1.0606; -0.5903 -0.9375; -0.5686 -0.8144; -0.5469 -0.6913; -0.5252 -0.5682; -0.5035 -0.4451; -0.4818 -0.3220; -0.4600 -0.1989; -0.4383 -0.0758; -0.4166 0.0473; -0.3949 0.1704; -0.3732 0.2935; -0.3515 0.4166; -0.3298 0.5397; -0.3081 0.6628; -0.2864 0.7859; -0.2647 0.9090; -0.2430 1.0321; -0.2213 1.1552; -0.1996 1.2783; -0.1779 1.4014; -0.1562 1.5245; -0.1345 1.6476; -0.1128 1.7707; -0.0910 1.8938; -0.0693 2.0169; -0.0476 2.1400; -0.0259 2.2631; -0.0042 2.3862; 0.0175 2.5093; 0.0392 2.6324; 0.0609 2.7555; 0.0826 2.8786; 0.1043 3.0017; 0.1260 3.1248; 0.1477 3.2479; 0.1694 3.3710; 0.1911 3.4941; 0.2128 3.6172; 0.2345 3.7403; 0.2563 3.8634; 0.2780 3.9865; 0.2997 4.1096; 0.3214 4.2327; 0.3431 4.3558; 0.3648 4.4789; 0.3865 4.6020; 0.4082 4.7251; 0.4299 4.8482; 0.4516 4.9713; 0.4733 5.0944; 0.4950 5.2175; 0.5167 5.3406; 0.5384 5.4637; 0.5601 5.5868; 0.5818 5.7099; 0.6035 5.8330; 0.6253 5.9561; 0.6470 6.0792; 0.6687 6.2023; 0.6904 6.3254; 0.7121 6.4485; 0.7338 6.5717; 0.7555 6.6948; 0.7772 6.8179; 0.7989 6.9410; 0.8206 7.0641; 0.8423 7.1872; 0.8640 7.3103; 0.8857 7.4334; 0.9074 7.5565; 0.9291 7.6796; 0.9508 7.8027; 0.9725 7.9258; 0.9943 8.0489; 1.0160 8.1720; 1.0377 8.2951; 1.0594 8.4182; 1.0811 8.5413; 1.1028 8.6644; 1.1245 8.7875; 1.1462 8.9106; 1.1679 9.0337; 1.1896 9.1568; 1.2113 9.2799; 1.2330 9.4030; 1.2547 9.5261; 1.2764 9.6492; 1.2981 9.7723; 1.3198 9.8954; 1.3416 10.0185; 1.3633 10.1416; 1.3850 10.2647; 1.4067 10.3878; 1.4284 10.5109; 1.4501 10.6340; 1.4718 10.7571; 1.4935 10.8802; 1.5152 11.0033; 1.5369 11.1264; 1.5586 11.2495; 1.5803 11.3726; 1.6020 11.4957; 1.6237 11.6188; 1.6454 11.7419; 1.6671 11.8650; 1.6888 11.9881; 1.7106 12.1112; 1.7323 12.2343; 1.7540 12.3574; 1.7757 12.4805; 1.7974 12.6036; 1.8191 12.7267; 1.8408 12.8498; 1.8625 12.9729; 1.8842 13.0960; 1.9059 13.2191; 1.9276 13.3422; 1.9493 13.4653; 1.9710 13.5884; 1.9927 13.7115; 2.0144 13.8346; 2.0361 13.9577; 2.0579 14.0808; 2.0796 14.2039; 2.1013 14.3270; 2.1230 14.4501; 2.1447 14.5732; 2.1664 14.6963; 2.1881 14.8194; 2.2098 14.9425; 2.2315 15.0656; 2.2532 15.1887; 2.2749 15.3118; 2.2966 15.4349; 2.3183 15.5580; 2.3400 15.6811; 2.3617 15.8042; 2.3834 15.9273; 2.4051 16.0504; 2.4269 16.1735; 2.4486 16.2966; 2.4703 16.4197; 2.4920 16.5428; 2.5137 16.6659; 2.5354 16.7890; 2.5571 16.9121; 2.5788 17.0352; 2.6005 17.1583; 2.6222 17.2814; 2.6439 17.4045; 2.6656 17.5276; 2.6873 17.6507; 2.7090 17.7738; 2.7307 17.8969; 2.7524 18.0200; 2.7741 18.1431; 2.7959 18.2662; 2.8176 18.3893; 2.8393 18.5124; 2.8610 18.6355; 2.8827 18.7586; 2.9044 18.8817; 2.9261 19.0048; 2.9478 19.1279; 2.9695 19.2511; 2.9912 19.3742; 3.0129 19.4973; 3.0346 19.6204; 3.0563 19.7435; 3.0780 19.8666; 3.0997 19.9897; 3.1214 20.1128; 3.1432 20.2359; 3.1649 20.3590; 3.1866 20.4821; 3.2083 20.6052; 3.2300 20.7283; 3.2517 20.8514; 3.2734 20.9745; 3.2951 21.0976; 3.3168 21.2207; 3.3385 21.3438; 3.3602 21.4669; 3.3819 21.5900; 3.4036 21.7131; 3.4253 21.8362; 3.4470 21.9593; 3.4687 22.0824; 3.4904 22.2055; 3.5122 22.3286; 3.5339 22.4517; 3.5556 22.5748; 3.5773 22.6979; 3.5990 22.8210; 3.6207 22.9441; 3.6424 23.0672; 3.6641 23.1903; 3.6858 23.3134; 3.7075 23.4365; 3.7292 23.5596; 3.7509 23.6827; 3.7726 23.8058; 3.7943 23.9289; 3.8160 24.0520; 3.8377 24.1751; 3.8595 24.2982; 3.8812 24.4213; 3.9029 24.5444; 3.9246 24.6675; 3.9463 24.7906; 3.9680 24.9137; 3.9897 25.0368; 4.0114 25.1599; 4.0331 25.2830; 4.0548 25.4061; 4.0765 25.5292; 4.0982 25.6523; 4.1199 25.7754; 4.1416 25.8985; 4.1633 26.0216; 4.1850 26.1447; 4.2067 26.2678; 4.2285 26.3909; 4.2502 26.5140; 4.2719 26.6371; 4.2936 26.7602; 4.3153 26.8833; 4.3196 26.9079; 4.3240 26.9326; 4.3457 27.0557; 4.3500 27.0803; 4.3543 27.1049; 4.3587 27.1295; 4.3630 27.1541; 4.3674 27.1788; 4.3717 27.2034; 4.3761 27.2280; 4.3804 27.2526; 4.3847 27.2772; 4.3891 27.3019; 4.3934 27.3265; 4.3978 27.3511; 4.4021 27.3757; 4.4064 27.4003; 4.4108 27.4250; 4.4151 27.4496; 4.4195 27.4742; 4.4238 27.4988; 4.4281 27.5234; 4.4325 27.5481; 4.4368 27.5727; 4.4412 27.5973; 4.4455 27.6219; 4.4499 27.6465; 4.4542 27.6712; 4.4585 27.6958; 4.4629 27.7204; 4.4672 27.7450; 4.4716 27.7696; 4.4933 27.8927; 4.5150 28.0158; 4.5193 28.0405; 4.5237 28.0651; 4.5454 28.1882; 4.5497 28.2128; 4.5540 28.2374; 4.5584 28.2620; 4.5627 28.2867; 4.5671 28.3113; 4.5714 28.3359; 4.5757 28.3605; 4.5975 28.4836; 4.6018 28.5082; 4.6235 28.6313; 4.6278 28.6560; 4.6322 28.6806; 4.6365 28.7052; 4.6409 28.7298; 4.6626 28.8529; 4.6669 28.8775; 4.6886 29.0006; 4.6930 29.0253; 4.6973 29.0499; 4.7190 29.1730; 4.7234 29.1976; 4.7277 29.2222; 4.7320 29.2468; 4.7364 29.2715; 4.7581 29.3946; 4.7624 29.4192; 4.7841 29.5423; 4.7885 29.5669; 4.7928 29.5915; 4.7972 29.6162; 4.8015 29.6408; 4.8058 29.6654; 4.8275 29.7885; 4.8319 29.8131; 4.8362 29.8377; 4.8406 29.8624; 4.8449 29.8870; 4.8492 29.9116; 4.8536 29.9362; 4.8579 29.9608; 4.8623 29.9855; 4.8666 30.0101; 4.8710 30.0347; 4.8753 30.0593; 4.8796 30.0839; 4.8840 30.1086; 4.8883 30.1332; 4.8927 30.1578; 4.8970 30.1824; 4.9013 30.2070; 4.9057 30.2317; 4.9100 30.2563; 4.9144 30.2809; 4.9187 30.3055; 4.9230 30.3301; 4.9274 30.3548; 4.9317 30.3794; 4.9361 30.4040; 4.9404 30.4286; 4.9448 30.4532; 4.9491 30.4779; 4.9534 30.5025; 4.9578 30.5271; 4.9621 30.5517; 4.9665 30.5763; 4.9708 30.6010; 4.9751 30.6256; 4.9795 30.6502; 4.9838 30.6748; 4.9882 30.6994; 4.9925 30.7241; 4.9968 30.7487; 5.0012 30.7733; 5.0055 30.7979; 5.0099 30.8225; 5.0142 30.8472; 5.0186 30.8718; 5.0229 30.8964
