1, -0.7639 -1.9223; -0.7770 -1.8485; -0.7900 -1.7746; -0.8030 -1.7007; -0.8160 -1.6269; -0.8291 -1.5530; -0.8421 -1.4792; -0.8551 -1.4053; -0.8681 -1.3314; -0.8811 -1.2576; -0.8942 -1.1837; -0.9072 -1.1099; -0.9202 -1.0360; -0.9332 -0.9621; -0.9463 -0.8883; -0.9593 -0.8144; -0.9723 -0.7405; -0.9853 -0.6667; -0.9984 -0.5928; -1.0114 -0.5190; -1.0244 -0.4451; -1.0374 -0.3712; -1.0505 -0.2974; -1.0635 -0.2235; -1.0765 -0.1497; -1.0895 -0.0758; -1.1025 -0.0019; -1.1156 0.0719; -1.1286 0.1458; -1.1416 0.2196; -1.1546 0.2935; -1.1677 0.3674; -1.1807 0.4412; -1.1937 0.5151; -1.2067 0.5889; -1.2198 0.6628; -1.2328 0.7367; -1.2458 0.8105; -1.2588 0.8844; -1.2719 0.9582; -1.2849 1.0321; -1.2979 1.1060; -1.3109 1.1798; -1.3239 1.2537; -1.3370 1.3275; -1.3500 1.4014; -1.3630 1.4753; -1.3760 1.5491; -1.3891 1.6230; -1.4021 1.6969; -1.4151 1.7707; -1.4281 1.8446; -1.4412 1.9184; -1.4542 1.9923; -1.4672 2.0662; -1.4802 2.1400; -1.4933 2.2139; -1.5063 2.2877; -1.5193 2.3616; -1.5323 2.4355; -1.5453 2.5093; -1.5584 2.5832; -1.5714 2.6570; -1.5844 2.7309; -1.5974 2.8048; -1.6105 2.8786; -1.6235 2.9525; -1.6365 3.0263; -1.6495 3.1002; -1.6626 3.1741; -1.6756 3.2479; -1.6886 3.3218; -1.7016 3.3956; -1.7147 3.4695; -1.7277 3.5434; -1.7407 3.6172; -1.7537 3.6911; -1.7668 3.7649; -1.7798 3.8388; -1.7928 3.9127; -1.8058 3.9865; -1.8188 4.0604; -1.8319 4.1343; -1.8449 4.2081; -1.8579 4.2820; -1.8709 4.3558; -1.8840 4.4297; -1.8970 4.5036; -1.9100 4.5774; -1.9230 4.6513; -1.9361 4.7251; -1.9491 4.7990; -1.9621 4.8729; -1.9751 4.9467; -1.9882 5.0206; -2.0012 5.0944; -2.0142 5.1683; -2.0272 5.2422; -2.0402 5.3160; -2.0533 5.3899; -2.0663 5.4637; -2.0793 5.5376; -2.0923 5.6115; -2.1054 5.6853; -2.1184 5.7592; -2.1314 5.8330; -2.1444 5.9069; -2.1575 5.9808; -2.1705 6.0546; -2.1835 6.1285; -2.1965 6.2023; -2.2096 6.2762; -2.2226 6.3501; -2.2356 6.4239; -2.2486 6.4978; -2.2616 6.5717; -2.2747 6.6455; -2.2877 6.7194; -2.3007 6.7932; -2.3137 6.8671; -2.3268 6.9410; -2.3398 7.0148; -2.3528 7.0887; -2.3658 7.1625; -2.3789 7.2364; -2.3919 7.3103; -2.4049 7.3841; -2.4179 7.4580; -2.4310 7.5318; -2.4440 7.6057; -2.4570 7.6796; -2.4700 7.7534; -2.4830 7.8273; -2.4961 7.9011; -2.5091 7.9750; -2.5221 8.0489; -2.5351 8.1227; -2.5482 8.1966; -2.5612 8.2704; -2.5742 8.3443; -2.5872 8.4182; -2.6003 8.4920; -2.6133 8.5659; -2.6263 8.6397; -2.6393 8.7136; -2.6524 8.7875; -2.6654 8.8613; -2.6784 8.9352; -2.6914 9.0090; -2.7045 9.0829; -2.7175 9.1568; -2.7305 9.2306; -2.7435 9.3045; -2.7565 9.3784; -2.7696 9.4522; -2.7826 9.5261; -2.7956 9.5999; -2.8086 9.6738; -2.8217 9.7477; -2.8347 9.8215; -2.8477 9.8954; -2.8607 9.9692; -2.8738 10.0431; -2.8868 10.1170; -2.8998 10.1908; -2.9128 10.2647; -2.9259 10.3385; -2.9389 10.4124; -2.9519 10.4863; -2.9649 10.5601; -2.9779 10.6340; -2.9910 10.7078; -3.0040 10.7817; -3.0170 10.8556; -3.0300 10.9294; -3.0431 11.0033; -3.0561 11.0771; -3.0691 11.1510; -3.0821 11.2249; -3.0952 11.2987; -3.1082 11.3726; -3.1212 11.4464; -3.1342 11.5203; -3.1473 11.5942; -3.1603 11.6680; -3.1733 11.7419; -3.1863 11.8158; -3.1993 11.8896; -3.2124 11.9635; -3.2254 12.0373; -3.2384 12.1112; -3.2514 12.1851; -3.2645 12.2589; -3.2775 12.3328; -3.2905 12.4066; -3.3035 12.4805; -3.3166 12.5544; -3.3296 12.6282; -3.3426 12.7021; -3.3556 12.7759; -3.3687 12.8498; -3.3817 12.9237; -3.3947 12.9975; -3.4077 13.0714; -3.4207 13.1452; -3.4338 13.2191; -3.4468 13.2930; -3.4598 13.3668; -3.4728 13.4407; -3.4859 13.5145; -3.4989 13.5884; -3.5119 13.6623; -3.5249 13.7361; -3.5380 13.8100; -3.5510 13.8838; -3.5640 13.9577; -3.5770 14.0316; -3.5901 14.1054; -3.6031 14.1793; -3.6161 14.2532; -3.6291 14.3270; -3.6422 14.4009; -3.6552 14.4747; -3.6682 14.5486; -3.6812 14.6225; -3.6942 14.6963; -3.7073 14.7702; -3.7203 14.8440; -3.7333 14.9179; -3.7463 14.9918; -3.7594 15.0656; -3.7724 15.1395; -3.7854 15.2133; -3.7984 15.2872; -3.8115 15.3611; -3.8245 15.4349; -3.8375 15.5088; -3.8505 15.5826; -3.8636 15.6565; -3.8766 15.7304; -3.8853 15.7796; -3.8983 15.8535; -3.9113 15.9273; -3.9200 15.9766; -3.9330 16.0504; -3.9460 16.1243; -3.9591 16.1981; -3.9721 16.2720; -3.9808 16.3212; -3.9938 16.3951; -4.0068 16.4690; -4.0155 16.5182; -4.0285 16.5921; -4.0415 16.6659; -4.0502 16.7152; -4.0632 16.7890; -4.0763 16.8629; -4.0893 16.9368; -4.0980 16.9860; -4.1110 17.0599; -4.1240 17.1337; -4.1327 17.1830; -4.1457 17.2568; -4.1544 17.3061; -4.1674 17.3799; -4.1805 17.4538; -4.1935 17.5276; -4.2065 17.6015; -4.2152 17.6507; -4.2282 17.7246; -4.2412 17.7985; -4.2543 17.8723; -4.2629 17.9216; -4.2716 17.9708; -4.2846 18.0447; -4.2933 18.0939; -4.3064 18.1678; -4.3194 18.2416; -4.3281 18.2909; -4.3367 18.3401; -4.3454 18.3893; -4.3541 18.4386; -4.3671 18.5124; -4.3758 18.5617; -4.3888 18.6355; -4.3975 18.6848; -4.4062 18.7340; -4.4192 18.8079; -4.4366 18.9064; -4.4453 18.9556; -4.4626 19.0541; -4.4713 19.1033; -4.4800 19.1526; -4.4974 19.2511; -4.5061 19.3003; -4.5234 19.3988; -4.5321 19.4480; -4.5408 19.4973; -4.5495 19.5465; -4.5581 19.5957; -4.5668 19.6450; -4.5842 19.7435; -4.5929 19.7927; -4.6016 19.8419; -4.6189 19.9404; -4.6276 19.9897; -4.6363 20.0389; -4.6537 20.1374; -4.6623 20.1866; -4.6710 20.2359; -4.6797 20.2851; -4.6971 20.3836; -4.7057 20.4328; -4.7144 20.4821; -4.7231 20.5313; -4.7405 20.6298; -4.7492 20.6790; -4.7578 20.7283; -4.7752 20.8267; -4.7839 20.8760; -4.7926 20.9252; -4.8013 20.9745; -4.8099 21.0237; -4.8273 21.1222; -4.8360 21.1714; -4.8447 21.2207; -4.8620 21.3191; -4.8707 21.3684; -4.8794 21.4176; -4.8881 21.4669; -4.8968 21.5161; -4.9141 21.6146; -4.9228 21.6638; -4.9315 21.7131; -4.9489 21.8116; -4.9575 21.8608; -4.9662 21.9100; -4.9749 21.9593; -4.9836 22.0085; -4.9923 22.0578; -5.0009 22.1070; -5.0183 22.2055; -5.0270 22.2547; -5.0357 22.3040; -5.0444 22.3532; -5.0530 22.4024; -5.0704 22.5009; -5.0791 22.5502; -5.0878 22.5994; -5.0965 22.6486
2, -0.7639 -1.9223; -0.7770 -1.8485; -0.7900 -1.7746; -0.8030 -1.7007; -0.8160 -1.6269; -0.8291 -1.5530; -0.8421 -1.4792; -0.8551 -1.4053; -0.8681 -1.3314; -0.8811 -1.2576; -0.8942 -1.1837; -0.9072 -1.1099; -0.9202 -1.0360; -0.9332 -0.9621; -0.9463 -0.8883; -0.9593 -0.8144; -0.9723 -0.7405; -0.9853 -0.6667; -0.9984 -0.5928; -1.0114 -0.5190; -1.0244 -0.4451; -1.0374 -0.3712; -1.0505 -0.2974; -1.0635 -0.2235; -1.0765 -0.1497; -1.0895 -0.0758; -1.1025 -0.0019; -1.1156 0.0719; -1.1286 0.1458; -1.1416 0.2196; -1.1546 0.2935; -1.1677 0.3674; -1.1807 0.4412; -1.1937 0.5151; -1.2067 0.5889; -1.2198 0.6628; -1.2328 0.7367; -1.2458 0.8105; -1.2588 0.8844; -1.2719 0.9582; -1.2849 1.0321; -1.2979 1.1060; -1.3109 1.1798; -1.3239 1.2537; -1.3370 1.3275; -1.3500 1.4014; -1.3630 1.4753; -1.3760 1.5491; -1.3891 1.6230; -1.4021 1.6969; -1.4151 1.7707; -1.4281 1.8446; -1.4412 1.9184; -1.4542 1.9923; -1.4672 2.0662; -1.4802 2.1400; -1.4933 2.2139; -1.5063 2.2877; -1.5193 2.3616; -1.5323 2.4355; -1.5453 2.5093; -1.5584 2.5832; -1.5714 2.6570; -1.5844 2.7309; -1.5974 2.8048; -1.6105 2.8786; -1.6235 2.9525; -1.6365 3.0263; -1.6495 3.1002; -1.6626 3.1741; -1.6756 3.2479; -1.6886 3.3218; -1.7016 3.3956; -1.7147 3.4695; -1.7277 3.5434; -1.7407 3.6172; -1.7537 3.6911; -1.7668 3.7649; -1.7798 3.8388; -1.7928 3.9127; -1.8058 3.9865; -1.8188 4.0604; -1.8319 4.1343; -1.8449 4.2081; -1.8579 4.2820; -1.8709 4.3558; -1.8840 4.4297; -1.8970 4.5036; -1.9100 4.5774; -1.9230 4.6513; -1.9361 4.7251; -1.9491 4.7990; -1.9621 4.8729; -1.9751 4.9467; -1.9882 5.0206; -2.0012 5.0944; -2.0142 5.1683; -2.0272 5.2422; -2.0402 5.3160; -2.0533 5.3899; -2.0663 5.4637; -2.0793 5.5376; -2.0923 5.6115; -2.1054 5.6853; -2.1184 5.7592; -2.1314 5.8330; -2.1444 5.9069; -2.1575 5.9808; -2.1705 6.0546; -2.1835 6.1285; -2.1965 6.2023; -2.2096 6.2762; -2.2226 6.3501; -2.2356 6.4239; -2.2486 6.4978; -2.2616 6.5717; -2.2747 6.6455; -2.2877 6.7194; -2.3007 6.7932; -2.3137 6.8671; -2.3268 6.9410; -2.3398 7.0148; -2.3528 7.0887; -2.3658 7.1625; -2.3789 7.2364; -2.3919 7.3103; -2.4049 7.3841; -2.4179 7.4580; -2.4310 7.5318; -2.4440 7.6057; -2.4570 7.6796; -2.4700 7.7534; -2.4830 7.8273; -2.4961 7.9011; -2.5091 7.9750; -2.5221 8.0489; -2.5351 8.1227; -2.5482 8.1966; -2.5612 8.2704; -2.5742 8.3443; -2.5872 8.4182; -2.6003 8.4920; -2.6133 8.5659; -2.6263 8.6397; -2.6393 8.7136; -2.6524 8.7875; -2.6654 8.8613; -2.6784 8.9352; -2.6914 9.0090; -2.7045 9.0829; -2.7175 9.1568; -2.7305 9.2306; -2.7435 9.3045; -2.7565 9.3784; -2.7696 9.4522; -2.7826 9.5261; -2.7956 9.5999; -2.8086 9.6738; -2.8217 9.7477; -2.8347 9.8215; -2.8477 9.8954; -2.8607 9.9692; -2.8738 10.0431; -2.8868 10.1170; -2.8998 10.1908; -2.9128 10.2647; -2.9259 10.3385; -2.9389 10.4124; -2.9519 10.4863; -2.9649 10.5601; -2.9779 10.6340; -2.9910 10.7078; -3.0040 10.7817; -3.0170 10.8556; -3.0300 10.9294; -3.0431 11.0033; -3.0561 11.0771; -3.0691 11.1510; -3.0821 11.2249; -3.0952 11.2987; -3.1082 11.3726; -3.1212 11.4464; -3.1342 11.5203; -3.1473 11.5942; -3.1603 11.6680; -3.1733 11.7419; -3.1863 11.8158; -3.1993 11.8896; -3.2124 11.9635; -3.2254 12.0373; -3.2384 12.1112; -3.2514 12.1851; -3.2645 12.2589; -3.2775 12.3328; -3.2905 12.4066; -3.3035 12.4805; -3.3166 12.5544; -3.3296 12.6282; -3.3383 12.6775; -3.3513 12.7513; -3.3600 12.8006; -3.3687 12.8498; -3.3817 12.9237; -3.3904 12.9729; -3.3990 13.0221; -3.4077 13.0714; -3.4164 13.1206; -3.4251 13.1699; -3.4338 13.2191; -3.4425 13.2683; -3.4511 13.3176; -3.4598 13.3668; -3.4685 13.4161; -3.4772 13.4653; -3.4859 13.5145; -3.4945 13.5638; -3.5032 13.6130; -3.5119 13.6623; -3.5206 13.7115; -3.5293 13.7607; -3.5380 13.8100; -3.5466 13.8592; -3.5553 13.9085; -3.5640 13.9577; -3.5727 14.0069; -3.5814 14.0562; -3.5901 14.1054; -3.5987 14.1547; -3.6074 14.2039; -3.6161 14.2532; -3.6248 14.3024; -3.6335 14.3516; -3.6422 14.4009; -3.6508 14.4501; -3.6595 14.4994; -3.6682 14.5486; -3.6769 14.5978; -3.6856 14.6471; -3.6942 14.6963; -3.7029 14.7456; -3.7116 14.7948; -3.7203 14.8440; -3.7290 14.8933; -3.7377 14.9425; -3.7463 14.9918; -3.7550 15.0410; -3.7637 15.0902; -3.7724 15.1395; -3.7811 15.1887; -3.7898 15.2380; -3.7984 15.2872; -3.8071 15.3364; -3.8158 15.3857; -3.8245 15.4349; -3.8332 15.4842; -3.8418 15.5334; -3.8505 15.5826; -3.8592 15.6319; -3.8679 15.6811; -3.8766 15.7304; -3.8853 15.7796; -3.8939 15.8288; -3.9026 15.8781; -3.9113 15.9273; -3.9200 15.9766; -3.9287 16.0258; -3.9374 16.0750; -3.9460 16.1243; -3.9547 16.1735; -3.9634 16.2228; -3.9721 16.2720; -3.9808 16.3212; -3.9894 16.3705; -3.9981 16.4197; -4.0068 16.4690; -4.0155 16.5182; -4.0242 16.5674; -4.0329 16.6167; -4.0372 16.6413; -4.0415 16.6659; -4.0459 16.6905; -4.0502 16.7152; -4.0546 16.7398; -4.0589 16.7644; -4.0632 16.7890; -4.0676 16.8137; -4.0719 16.8383; -4.0763 16.8629; -4.0806 16.8875; -4.0850 16.9121; -4.0893 16.9368; -4.0936 16.9614; -4.0980 16.9860; -4.1023 17.0106; -4.1067 17.0352; -4.1110 17.0599; -4.1153 17.0845; -4.1197 17.1091; -4.1240 17.1337; -4.1284 17.1583; -4.1327 17.1830; -4.1370 17.2076; -4.1414 17.2322; -4.1457 17.2568; -4.1501 17.2814; -4.1544 17.3061; -4.1588 17.3307; -4.1631 17.3553; -4.1674 17.3799; -4.1718 17.4045; -4.1761 17.4292; -4.1805 17.4538; -4.1848 17.4784; -4.1891 17.5030; -4.1935 17.5276; -4.1978 17.5523; -4.2022 17.5769; -4.1772 17.5769; -4.1522 17.5769; -4.1565 17.6015; -4.1608 17.6261; -4.1358 17.6261; -4.1402 17.6507; -4.1152 17.6507; -4.0902 17.6507; -4.0945 17.6754; -4.0695 17.6754; -4.0445 17.6754; -4.0489 17.7000; -4.0239 17.7000; -4.0282 17.7246; -4.0032 17.7246; -4.0076 17.7492; -3.9826 17.7492; -3.9576 17.7492; -3.9326 17.7492; -3.9369 17.7738; -3.9412 17.7985; -3.9162 17.7985; -3.9206 17.8231; -3.8956 17.8231; -3.8999 17.8477; -3.8749 17.8477; -3.8793 17.8723; -3.8543 17.8723; -3.8293 17.8723; -3.8336 17.8969; -3.8086 17.8969; -3.8129 17.9216; -3.7879 17.9216
3, -0.7639 -1.9223; -0.7770 -1.8485; -0.7900 -1.7746; -0.8030 -1.7007; -0.8160 -1.6269; -0.8291 -1.5530; -0.8421 -1.4792; -0.8551 -1.4053; -0.8681 -1.3314; -0.8811 -1.2576; -0.8942 -1.1837; -0.9072 -1.1099; -0.9202 -1.0360; -0.9332 -0.9621; -0.9463 -0.8883; -0.9593 -0.8144; -0.9723 -0.7405; -0.9853 -0.6667; -0.9984 -0.5928; -1.0114 -0.5190; -1.0244 -0.4451; -1.0374 -0.3712; -1.0505 -0.2974; -1.0635 -0.2235; -1.0765 -0.1497; -1.0895 -0.0758; -1.1025 -0.0019; -1.1156 0.0719; -1.1286 0.1458; -1.1416 0.2196; -1.1546 0.2935; -1.1677 0.3674; -1.1807 0.4412; -1.1937 0.5151; -1.2067 0.5889; -1.2198 0.6628; -1.2328 0.7367; -1.2458 0.8105; -1.2588 0.8844; -1.2719 0.9582; -1.2849 1.0321; -1.2979 1.1060; -1.3109 1.1798; -1.3239 1.2537; -1.3370 1.3275; -1.3500 1.4014; -1.3630 1.4753; -1.3760 1.5491; -1.3891 1.6230; -1.4021 1.6969; -1.4151 1.7707; -1.4281 1.8446; -1.4412 1.9184; -1.4542 1.9923; -1.4672 2.0662; -1.4802 2.1400; -1.4933 2.2139; -1.5063 2.2877; -1.5193 2.3616; -1.5323 2.4355; -1.5453 2.5093; -1.5584 2.5832; -1.5714 2.6570; -1.5844 2.7309; -1.5974 2.8048; -1.6105 2.8786; -1.6235 2.9525; -1.6365 3.0263; -1.6495 3.1002; -1.6626 3.1741; -1.6756 3.2479; -1.6886 3.3218; -1.7016 3.3956; -1.7147 3.4695; -1.7277 3.5434; -1.7407 3.6172; -1.7537 3.6911; -1.7668 3.7649; -1.7798 3.8388; -1.7928 3.9127; -1.8058 3.9865; -1.8188 4.0604; -1.8319 4.1343; -1.8449 4.2081; -1.8579 4.2820; -1.8709 4.3558; -1.8840 4.4297; -1.8970 4.5036; -1.9100 4.5774; -1.9230 4.6513; -1.9361 4.7251; -1.9491 4.7990; -1.9621 4.8729; -1.9751 4.9467; -1.9882 5.0206; -2.0012 5.0944; -2.0142 5.1683; -2.0272 5.2422; -2.0402 5.3160; -2.0533 5.3899; -2.0663 5.4637; -2.0793 5.5376; -2.0923 5.6115; -2.1054 5.6853; -2.1184 5.7592; -2.1314 5.8330; -2.1444 5.9069; -2.1575 5.9808; -2.1705 6.0546; -2.1835 6.1285; -2.1965 6.2023; -2.2096 6.2762; -2.2226 6.3501; -2.2356 6.4239; -2.2486 6.4978; -2.2616 6.5717; -2.2747 6.6455; -2.2877 6.7194; -2.3007 6.7932; -2.3137 6.8671; -2.3268 6.9410; -2.3398 7.0148; -2.3528 7.0887; -2.3658 7.1625; -2.3789 7.2364; -2.3919 7.3103; -2.4049 7.3841; -2.4179 7.4580; -2.4310 7.5318; -2.4440 7.6057; -2.4570 7.6796; -2.4700 7.7534; -2.4830 7.8273; -2.4961 7.9011; -2.5091 7.9750; -2.5221 8.0489; -2.5351 8.1227; -2.5482 8.1966; -2.5612 8.2704; -2.5742 8.3443; -2.5872 8.4182; -2.6003 8.4920; -2.6133 8.5659; -2.6263 8.6397; -2.6393 8.7136; -2.6524 8.7875; -2.6654 8.8613; -2.6784 8.9352; -2.6914 9.0090; -2.7045 9.0829; -2.7175 9.1568; -2.7305 9.2306; -2.7435 9.3045; -2.7565 9.3784; -2.7696 9.4522; -2.7826 9.5261; -2.7956 9.5999; -2.8086 9.6738; -2.8217 9.7477; -2.8347 9.8215; -2.8477 9.8954; -2.8607 9.9692; -2.8738 10.0431; -2.8868 10.1170; -2.8998 10.1908; -2.9128 10.2647; -2.9259 10.3385; -2.9389 10.4124; -2.9519 10.4863; -2.9649 10.5601; -2.9779 10.6340; -2.9910 10.7078; -3.0040 10.7817; -3.0170 10.8556; -3.0300 10.9294; -3.0431 11.0033; -3.0561 11.0771; -3.0691 11.1510; -3.0821 11.2249; -3.0952 11.2987; -3.1082 11.3726; -3.1212 11.4464; -3.1342 11.5203; -3.1473 11.5942; -3.1603 11.6680; -3.1733 11.7419; -3.1863 11.8158; -3.1993 11.8896; -3.2124 11.9635; -3.2254 12.0373; -3.2384 12.1112; -3.2514 12.1851; -3.2645 12.2589; -3.2775 12.3328; -3.2905 12.4066; -3.3035 12.4805; -3.3166 12.5544; -3.3296 12.6282; -3.3426 12.7021; -3.3556 12.7759; -3.3687 12.8498; -3.3817 12.9237; -3.3947 12.9975; -3.4077 13.0714; -3.4207 13.1452; -3.4338 13.2191; -3.4468 13.2930; -3.4598 13.3668; -3.4728 13.4407; -3.4859 13.5145; -3.4989 13.5884; -3.5119 13.6623; -3.5249 13.7361; -3.5380 13.8100; -3.5510 13.8838; -3.5640 13.9577; -3.5770 14.0316; -3.5901 14.1054; -3.6031 14.1793; -3.6161 14.2532; -3.6291 14.3270; -3.6422 14.4009; -3.6552 14.4747; -3.6682 14.5486; -3.6812 14.6225; -3.6942 14.6963; -3.7073 14.7702; -3.7203 14.8440; -3.7333 14.9179; -3.7463 14.9918; -3.7594 15.0656; -3.7724 15.1395; -3.7854 15.2133; -3.7984 15.2872; -3.8115 15.3611; -3.8245 15.4349; -3.8375 15.5088; -3.8505 15.5826; -3.8636 15.6565; -3.8766 15.7304; -3.8896 15.8042; -3.9026 15.8781; -3.9156 15.9519; -3.9287 16.0258; -3.9417 16.0997; -3.9547 16.1735; -3.9677 16.2474; -3.9808 16.3212; -3.9938 16.3951; -4.0068 16.4690; -4.0198 16.5428; -4.0329 16.6167; -4.0415 16.6659; -4.0546 16.7398; -4.0676 16.8137; -4.0763 16.8629; -4.0893 16.9368; -4.0980 16.9860; -4.1110 17.0599; -4.1197 17.1091; -4.1327 17.1830; -4.1457 17.2568; -4.1588 17.3307; -4.1674 17.3799; -4.1805 17.4538; -4.1935 17.5276; -4.2022 17.5769; -4.2152 17.6507; -4.2282 17.7246; -4.2369 17.7738; -4.2499 17.8477; -4.2629 17.9216; -4.2716 17.9708; -4.2846 18.0447; -4.2933 18.0939; -4.3064 18.1678; -4.3150 18.2170; -4.3281 18.2909; -4.3367 18.3401; -4.3541 18.4386; -4.3628 18.4878; -4.3802 18.5863; -4.3888 18.6355; -4.3975 18.6848; -4.4149 18.7833; -4.4236 18.8325; -4.4322 18.8817; -4.4496 18.9802; -4.4583 19.0295; -4.4757 19.1279; -4.4843 19.1772; -4.4930 19.2264; -4.5104 19.3249; -4.5191 19.3742; -4.5364 19.4726; -4.4864 19.4726; -4.5038 19.5711; -4.4538 19.5711; -4.4712 19.6696; -4.4885 19.7681; -4.4385 19.7681; -4.4559 19.8666; -4.4733 19.9650; -4.4233 19.9650; -4.4406 20.0635; -4.4580 20.1620; -4.3580 20.1620; -4.3754 20.2605; -4.3927 20.3590; -4.4101 20.4574; -4.3601 20.4574; -4.3775 20.5559; -4.3948 20.6544; -4.3448 20.6544; -4.3622 20.7529; -4.3795 20.8514; -4.3295 20.8514; -4.3469 20.9498; -4.3556 20.9991; -4.3643 21.0483; -4.3816 21.1468; -4.3903 21.1960; -4.3990 21.2453; -4.4164 21.3438; -4.4251 21.3930; -4.4337 21.4422; -4.4424 21.4915; -4.4598 21.5900; -4.4685 21.6392; -4.4771 21.6884; -4.4945 21.7869; -4.5032 21.8362; -4.5119 21.8854; -4.5206 21.9347; -4.5292 21.9839; -4.5466 22.0824; -4.5553 22.1316; -4.5640 22.1809; -4.5813 22.2793; -4.5900 22.3286; -4.5987 22.3778; -4.6074 22.4271; -4.6247 22.5255; -4.6334 22.5748; -4.6421 22.6240; -4.6508 22.6733; -4.6595 22.7225; -4.6682 22.7717; -4.6855 22.8702; -4.6942 22.9195
