1, -7.2361 -1.9223; -7.2126 -1.9138; -7.1891 -1.9052; -7.1656 -1.8967; -7.1421 -1.8881; -7.1186 -1.8796; -7.0951 -1.8710; -7.0716 -1.8625; -7.0481 -1.8539; -7.0246 -1.8454; -7.0011 -1.8368; -6.9777 -1.8283; -6.9542 -1.8197; -6.9307 -1.8112; -6.9072 -1.8026; -6.8837 -1.7941; -6.8602 -1.7855; -6.8367 -1.7770; -6.8132 -1.7684; -6.7897 -1.7599; -6.7662 -1.7513; -6.7427 -1.7428; -6.7192 -1.7342; -6.6957 -1.7257; -6.6723 -1.7171; -6.6488 -1.7086; -6.6253 -1.7000; -6.6018 -1.6915; -6.5783 -1.6829; -6.5548 -1.6744; -6.5313 -1.6658; -6.5078 -1.6573; -6.4843 -1.6487; -6.4608 -1.6401; -6.4373 -1.6316; -6.4138 -1.6230; -6.3903 -1.6145; -6.3669 -1.6059; -6.3434 -1.5974; -6.3199 -1.5888; -6.2964 -1.5803; -6.2729 -1.5717; -6.2494 -1.5632; -6.2259 -1.5546; -6.2024 -1.5461; -6.1789 -1.5375; -6.1554 -1.5290; -6.1319 -1.5204; -6.1084 -1.5119; -6.0849 -1.5033; -6.0615 -1.4948; -6.0380 -1.4862; -6.0145 -1.4777; -5.9910 -1.4691; -5.9675 -1.4606; -5.9440 -1.4520; -5.9205 -1.4435; -5.8970 -1.4349; -5.8735 -1.4264; -5.8500 -1.4178; -5.8265 -1.4093; -5.8030 -1.4007; -5.7795 -1.3922; -5.7561 -1.3836; -5.7326 -1.3751; -5.7091 -1.3665; -5.6856 -1.3580; -5.6621 -1.3494; -5.6386 -1.3409; -5.6151 -1.3323; -5.5916 -1.3238; -5.5681 -1.3152; -5.5446 -1.3067; -5.5211 -1.2981; -5.4976 -1.2896; -5.4741 -1.2810; -5.4507 -1.2725; -5.4272 -1.2639; -5.4037 -1.2554; -5.3802 -1.2468; -5.3567 -1.2383; -5.3332 -1.2297; -5.3097 -1.2212; -5.2862 -1.2126; -5.2627 -1.2041; -5.2392 -1.1955; -5.2157 -1.1870; -5.1922 -1.1784; -5.1687 -1.1699; -5.1453 -1.1613; -5.1218 -1.1528; -5.0983 -1.1442; -5.0748 -1.1357; -5.0513 -1.1271; -5.0278 -1.1186; -5.0043 -1.1100; -4.9808 -1.1015; -4.9573 -1.0929; -4.9338 -1.0844; -4.9103 -1.0758; -4.8868 -1.0673; -4.8633 -1.0587; -4.8399 -1.0502; -4.8164 -1.0416; -4.7929 -1.0331; -4.7694 -1.0245; -4.7459 -1.0160; -4.7224 -1.0074; -4.6989 -0.9989; -4.6754 -0.9903; -4.6519 -0.9818; -4.6284 -0.9732; -4.6049 -0.9647; -4.5814 -0.9561; -4.5579 -0.9476; -4.5345 -0.9390; -4.5110 -0.9305; -4.4875 -0.9219; -4.4640 -0.9134; -4.4405 -0.9048; -4.4170 -0.8963; -4.3935 -0.8877; -4.3700 -0.8792; -4.3465 -0.8706; -4.3230 -0.8621; -4.2995 -0.8535; -4.2760 -0.8450; -4.2525 -0.8364; -4.2291 -0.8279; -4.2056 -0.8193; -4.1821 -0.8108; -4.1586 -0.8022; -4.1351 -0.7936; -4.1116 -0.7851; -4.0881 -0.7765; -4.0646 -0.7680; -4.0411 -0.7594; -4.0176 -0.7509; -3.9941 -0.7423; -3.9706 -0.7338; -3.9471 -0.7252; -3.9237 -0.7167; -3.9002 -0.7081; -3.8767 -0.6996; -3.8532 -0.6910; -3.8297 -0.6825; -3.8062 -0.6739; -3.7827 -0.6654; -3.7592 -0.6568; -3.7357 -0.6483; -3.7122 -0.6397; -3.6887 -0.6312; -3.6652 -0.6226; -3.6417 -0.6141; -3.6183 -0.6055; -3.5948 -0.5970; -3.5713 -0.5884; -3.4538 -0.5457; -3.3363 -0.5029; -3.2189 -0.4602; -3.1014 -0.4174; -2.9840 -0.3747; -2.8665 -0.3319; -2.7490 -0.2892; -2.6316 -0.2464; -2.5141 -0.2037; -2.3967 -0.1609; -2.2792 -0.1182; -2.1617 -0.0754; -2.0443 -0.0327; -1.9268 0.0101; -1.8093 0.0528; -1.6919 0.0956; -1.5744 0.1384; -1.4570 0.1811; -1.3395 0.2239; -1.2220 0.2666; -1.1046 0.3094; -0.9871 0.3521; -0.8697 0.3949; -0.7522 0.4376; -0.6347 0.4804; -0.5173 0.5231; -0.3998 0.5659; -0.2823 0.6086; -0.1649 0.6514; -0.0474 0.6941; 0.0700 0.7369; 0.1875 0.7796; 0.3050 0.8224; 0.4224 0.8651; 0.5399 0.9079; 0.6574 0.9507; 0.7748 0.9934; 0.8923 1.0362; 1.0097 1.0789; 1.1272 1.1217; 1.2447 1.1644; 1.3621 1.2072; 1.4796 1.2499; 1.5970 1.2927; 1.7145 1.3354; 1.8320 1.3782; 1.9494 1.4209; 2.0452 1.5013; 2.1409 1.5816; 2.2367 1.6620; 2.3324 1.7423; 2.4282 1.8227; 2.5240 1.9030; 2.6197 1.9834; 2.7155 2.0637; 2.8112 2.1441; 2.9070 2.2244; 3.0027 2.3048; 3.0985 2.3851; 3.1942 2.4655; 3.2900 2.5458; 3.3858 2.6262; 3.4815 2.7065; 3.5773 2.7869; 3.6730 2.8672; 3.7688 2.9476; 3.8645 3.0279; 3.9603 3.1082; 4.0560 3.1886; 4.1518 3.2689; 4.2476 3.3493; 4.3433 3.4296; 4.4391 3.5100; 4.5348 3.5903; 4.6306 3.6707; 4.7263 3.7510; 4.8221 3.8314; 4.9178 3.9117; 5.0136 3.9921; 5.1094 4.0724; 5.2051 4.1528; 5.3009 4.2331; 5.3775 4.2974; 5.4541 4.3617; 5.5307 4.4260; 5.5133 4.5244; 5.5899 4.5887; 5.5726 4.6872; 5.6492 4.7515; 5.6318 4.8500; 5.7084 4.9142; 5.6910 5.0127; 5.6737 5.1112; 5.7503 5.1755; 5.7329 5.2740; 5.7155 5.3724; 5.7922 5.4367; 5.7748 5.5352; 5.8705 5.6156; 5.8532 5.7140; 5.8315 5.8371; 5.7357 5.9175; 5.6400 5.9978; 5.7357 6.0782; 5.8315 6.1585; 5.7357 6.2389; 5.6400 6.3192; 5.7357 6.3996; 5.6400 6.4799; 5.7357 6.5603; 5.6400 6.6406; 5.7357 6.7210; 5.6400 6.8013; 5.7357 6.8817; 5.8315 6.9620; 5.7357 7.0424; 5.6183 7.0851; 5.7140 7.1655; 5.8098 7.2458; 5.7140 7.3262; 5.5966 7.3689; 5.4791 7.4117; 5.5966 7.3689; 5.6923 7.4493; 5.7881 7.5296; 5.8838 7.6100; 5.7881 7.6903; 5.6706 7.7331; 5.7881 7.6903; 5.8838 7.7707; 5.9796 7.8510; 6.0753 7.9313; 5.9796 8.0117; 5.8621 8.0545; 5.9579 8.1348; 6.0536 8.2151; 5.9579 8.2955; 5.8404 8.3382; 5.9579 8.2955; 5.8404 8.3382; 5.9362 8.4186; 6.0319 8.4989; 6.1277 8.5793; 6.0319 8.6596; 5.9145 8.7024; 6.0102 8.7827; 5.9145 8.8631; 5.7970 8.9058; 5.8927 8.9862; 5.9885 9.0665; 5.8927 9.1469; 5.7753 9.1896; 5.8710 9.2700; 5.7753 9.3503; 5.6578 9.3931; 5.7753 9.3503; 5.6578 9.3931; 5.7536 9.4734; 5.8493 9.5538; 5.7536 9.6341; 5.6578 9.7145; 5.7536 9.7948; 5.6578 9.8752; 5.5621 9.9555; 5.6578 10.0359; 5.5621 10.1162; 5.4446 10.1590; 5.5404 10.2393; 5.6361 10.3197; 5.5404 10.4000; 5.4229 10.4428; 5.3054 10.4855; 5.4229 10.4428; 5.5187 10.5231; 5.6144 10.6035; 5.5187 10.6838; 5.4229 10.7642; 5.5187 10.8445; 5.4229 10.9249; 5.3271 11.0052; 5.2097 11.0480; 5.3271 11.0052; 5.2314 11.0856; 5.3271 11.1659; 5.4229 11.2463; 5.3271 11.3266; 5.2314 11.4070; 5.1356 11.4873; 5.2314 11.5677; 5.1356 11.6480; 5.0182 11.6908; 5.1356 11.6480; 5.0399 11.7284
2, -7.2361 -1.9223; -7.2126 -1.9138; -7.1891 -1.9052; -7.1656 -1.8967; -7.1421 -1.8881; -7.1186 -1.8796; -7.0951 -1.8710; -7.0716 -1.8625; -7.0481 -1.8539; -7.0246 -1.8454; -7.0011 -1.8368; -6.9777 -1.8283; -6.9542 -1.8197; -6.9307 -1.8112; -6.9072 -1.8026; -6.8837 -1.7941; -6.8602 -1.7855; -6.8367 -1.7770; -6.8132 -1.7684; -6.7897 -1.7599; -6.7662 -1.7513; -6.7427 -1.7428; -6.7192 -1.7342; -6.6957 -1.7257; -6.6723 -1.7171; -6.6488 -1.7086; -6.6253 -1.7000; -6.6018 -1.6915; -6.5783 -1.6829; -6.5548 -1.6744; -6.5313 -1.6658; -6.5078 -1.6573; -6.4843 -1.6487; -6.4608 -1.6401; -6.4373 -1.6316; -6.4138 -1.6230; -6.3903 -1.6145; -6.3669 -1.6059; -6.3434 -1.5974; -6.3199 -1.5888; -6.2964 -1.5803; -6.2729 -1.5717; -6.2494 -1.5632; -6.2259 -1.5546; -6.2024 -1.5461; -6.1789 -1.5375; -6.1554 -1.5290; -6.1319 -1.5204; -6.1084 -1.5119; -6.0849 -1.5033; -6.0615 -1.4948; -6.0380 -1.4862; -6.0145 -1.4777; -5.9910 -1.4691; -5.9675 -1.4606; -5.9440 -1.4520; -5.9205 -1.4435; -5.8970 -1.4349; -5.8735 -1.4264; -5.8500 -1.4178; -5.8265 -1.4093; -5.8030 -1.4007; -5.7795 -1.3922; -5.7561 -1.3836; -5.7326 -1.3751; -5.7091 -1.3665; -5.6856 -1.3580; -5.6621 -1.3494; -5.6386 -1.3409; -5.6151 -1.3323; -5.5916 -1.3238; -5.5681 -1.3152; -5.5446 -1.3067; -5.5211 -1.2981; -5.4976 -1.2896; -5.4741 -1.2810; -5.4507 -1.2725; -5.4272 -1.2639; -5.4037 -1.2554; -5.3802 -1.2468; -5.3567 -1.2383; -5.3332 -1.2297; -5.3097 -1.2212; -5.2862 -1.2126; -5.2627 -1.2041; -5.2392 -1.1955; -5.2157 -1.1870; -5.1922 -1.1784; -5.1687 -1.1699; -5.1453 -1.1613; -5.1218 -1.1528; -5.0983 -1.1442; -5.0748 -1.1357; -5.0513 -1.1271; -5.0278 -1.1186; -5.0043 -1.1100; -4.9808 -1.1015; -4.9573 -1.0929; -4.9338 -1.0844; -4.9103 -1.0758; -4.8868 -1.0673; -4.8633 -1.0587; -4.8399 -1.0502; -4.8164 -1.0416; -4.7929 -1.0331; -4.7694 -1.0245; -4.7459 -1.0160; -4.7224 -1.0074; -4.6989 -0.9989; -4.6754 -0.9903; -4.6519 -0.9818; -4.6284 -0.9732; -4.6049 -0.9647; -4.5814 -0.9561; -4.5579 -0.9476; -4.5345 -0.9390; -4.5110 -0.9305; -4.4875 -0.9219; -4.4640 -0.9134; -4.4405 -0.9048; -4.4170 -0.8963; -4.3935 -0.8877; -4.3700 -0.8792; -4.3465 -0.8706; -4.3230 -0.8621; -4.2995 -0.8535; -4.2760 -0.8450; -4.2525 -0.8364; -4.2291 -0.8279; -4.2056 -0.8193; -4.1821 -0.8108; -4.1586 -0.8022; -4.1351 -0.7936; -4.1116 -0.7851; -4.0881 -0.7765; -4.0646 -0.7680; -4.0411 -0.7594; -4.0176 -0.7509; -3.9941 -0.7423; -3.9706 -0.7338; -3.9471 -0.7252; -3.9237 -0.7167; -3.9002 -0.7081; -3.8767 -0.6996; -3.8532 -0.6910; -3.8297 -0.6825; -3.8062 -0.6739; -3.7827 -0.6654; -3.7592 -0.6568; -3.7357 -0.6483; -3.7122 -0.6397; -3.6887 -0.6312; -3.6652 -0.6226; -3.6417 -0.6141; -3.6183 -0.6055; -3.5948 -0.5970; -3.4773 -0.5542; -3.4538 -0.5457; -3.3363 -0.5029; -3.2189 -0.4602; -3.1014 -0.4174; -2.9840 -0.3747; -2.8665 -0.3319; -2.7490 -0.2892; -2.6316 -0.2464; -2.5141 -0.2037; -2.3967 -0.1609; -2.2792 -0.1182; -2.1617 -0.0754; -2.0443 -0.0327; -1.9268 0.0101; -1.8093 0.0528; -1.6919 0.0956; -1.5744 0.1384; -1.4570 0.1811; -1.3395 0.2239; -1.2220 0.2666; -1.1046 0.3094; -0.9871 0.3521; -0.8697 0.3949; -0.7522 0.4376; -0.6347 0.4804; -0.5173 0.5231; -0.3998 0.5659; -0.2823 0.6086; -0.1649 0.6514; -0.0474 0.6941; 0.0700 0.7369; 0.1875 0.7796; 0.3050 0.8224; 0.4224 0.8651; 0.5399 0.9079; 0.6574 0.9507; 0.7748 0.9934; 0.8923 1.0362; 1.0097 1.0789; 1.1272 1.1217; 1.2447 1.1644; 1.3621 1.2072; 1.4796 1.2499; 1.5970 1.2927; 1.7145 1.3354; 1.8320 1.3782; 1.9494 1.4209; 2.0669 1.4637; 2.1844 1.5064; 2.3018 1.5492; 2.4193 1.5919; 2.5367 1.6347; 2.6542 1.6774; 2.7717 1.7202; 2.8891 1.7630; 3.0066 1.8057; 3.1240 1.8485; 3.2198 1.9288; 3.3156 2.0092; 3.4113 2.0895; 3.5288 2.1323; 3.6245 2.2126; 3.7203 2.2930; 3.8160 2.3733; 3.9118 2.4536; 4.0075 2.5340; 4.1033 2.6143; 4.1991 2.6947; 4.2948 2.7750; 4.3906 2.8554; 4.4863 2.9357; 4.5821 3.0161; 4.6778 3.0964; 4.7736 3.1768; 4.8693 3.2571; 4.9651 3.3375; 5.0609 3.4178; 5.1566 3.4982; 5.2524 3.5785; 5.3481 3.6589; 5.4439 3.7392; 5.5396 3.8196; 5.5205 3.8356; 5.5013 3.8517; 5.5971 3.9321; 5.5779 3.9481; 5.5588 3.9642; 5.5396 3.9803; 5.6354 4.0606; 5.6162 4.0767; 5.5971 4.0928; 5.5013 4.1731; 5.5248 4.1817; 5.6206 4.2620; 5.6014 4.2781; 5.5823 4.2941; 5.5631 4.3102; 5.5866 4.3188; 5.6824 4.3991; 5.6632 4.4152; 5.6441 4.4313; 5.6249 4.4473; 5.6058 4.4634; 5.5866 4.4795; 5.5675 4.4955; 5.5483 4.5116; 5.5718 4.5201; 5.5527 4.5362; 5.5762 4.5448; 5.5570 4.5608; 5.5805 4.5694; 5.6040 4.5779; 5.5082 4.6583; 5.5317 4.6668; 5.5552 4.6754; 5.5787 4.6839; 5.6022 4.6925; 5.6257 4.7010; 5.6065 4.7171; 5.6300 4.7257; 5.6535 4.7342; 5.6344 4.7503; 5.6579 4.7588; 5.6387 4.7749; 5.6622 4.7835; 5.6431 4.7995; 5.6666 4.8081; 5.6474 4.8241; 5.6709 4.8327; 5.6517 4.8488; 5.6752 4.8573; 5.6987 4.8659; 5.6796 4.8819; 5.7031 4.8905; 5.6839 4.9066; 5.7074 4.9151; 5.6883 4.9312; 5.6648 4.9397; 5.6883 4.9483; 5.7117 4.9568; 5.7352 4.9654; 5.7161 4.9814; 5.7396 4.9900; 5.7204 5.0061; 5.7439 5.0146; 5.7248 5.0307; 5.7483 5.0392; 5.7291 5.0553; 5.7526 5.0639; 5.7335 5.0799; 5.7100 5.0885; 5.7335 5.0970; 5.7569 5.1056; 5.7804 5.1141; 5.7613 5.1302; 5.7848 5.1387; 5.7656 5.1548; 5.7891 5.1634; 5.7700 5.1794; 5.7935 5.1880; 5.8170 5.1965; 5.7978 5.2126; 5.8213 5.2212; 5.8021 5.2372; 5.7787 5.2458; 5.8021 5.2543; 5.8256 5.2629; 5.8491 5.2714; 5.8726 5.2629; 5.8491 5.2714; 5.8726 5.2800; 5.8961 5.2714; 5.8726 5.2800; 5.8491 5.2885; 5.8726 5.2971; 5.8961 5.3056; 5.9196 5.3142; 5.9431 5.3227; 5.9666 5.3313; 5.9901 5.3398; 5.9709 5.3559; 5.9474 5.3645; 5.9709 5.3730; 5.9944 5.3816; 6.0179 5.3730; 5.9944 5.3816; 5.9709 5.3901; 5.9944 5.3987; 6.0179 5.4072; 6.0414 5.4158; 6.0223 5.4318; 5.9988 5.4404; 6.0223 5.4489
3, -7.2361 -1.9223; -7.2126 -1.9138; -7.1891 -1.9052; -7.1656 -1.8967; -7.1421 -1.8881; -7.1186 -1.8796; -7.0951 -1.8710; -7.0716 -1.8625; -7.0481 -1.8539; -7.0246 -1.8454; -7.0011 -1.8368; -6.9777 -1.8283; -6.9542 -1.8197; -6.9307 -1.8112; -6.9072 -1.8026; -6.8837 -1.7941; -6.8602 -1.7855; -6.8367 -1.7770; -6.8132 -1.7684; -6.7897 -1.7599; -6.7662 -1.7513; -6.7427 -1.7428; -6.7192 -1.7342; -6.6957 -1.7257; -6.6723 -1.7171; -6.6488 -1.7086; -6.6253 -1.7000; -6.6018 -1.6915; -6.5783 -1.6829; -6.5548 -1.6744; -6.5313 -1.6658; -6.5078 -1.6573; -6.4843 -1.6487; -6.4608 -1.6401; -6.4373 -1.6316; -6.4138 -1.6230; -6.3903 -1.6145; -6.3669 -1.6059; -6.3434 -1.5974; -6.3199 -1.5888; -6.2964 -1.5803; -6.2729 -1.5717; -6.2494 -1.5632; -6.2259 -1.5546; -6.2024 -1.5461; -6.1789 -1.5375; -6.1554 -1.5290; -6.1319 -1.5204; -6.1084 -1.5119; -6.0849 -1.5033; -6.0615 -1.4948; -6.0380 -1.4862; -6.0145 -1.4777; -5.9910 -1.4691; -5.9675 -1.4606; -5.9440 -1.4520; -5.9205 -1.4435; -5.8970 -1.4349; -5.8735 -1.4264; -5.8500 -1.4178; -5.8265 -1.4093; -5.8030 -1.4007; -5.7795 -1.3922; -5.7561 -1.3836; -5.7326 -1.3751; -5.7091 -1.3665; -5.6856 -1.3580; -5.6621 -1.3494; -5.6386 -1.3409; -5.6151 -1.3323; -5.5916 -1.3238; -5.5681 -1.3152; -5.5446 -1.3067; -5.5211 -1.2981; -5.4976 -1.2896; -5.4741 -1.2810; -5.4507 -1.2725; -5.4272 -1.2639; -5.4037 -1.2554; -5.3802 -1.2468; -5.3567 -1.2383; -5.3332 -1.2297; -5.3097 -1.2212; -5.2862 -1.2126; -5.2627 -1.2041; -5.2392 -1.1955; -5.2157 -1.1870; -5.1922 -1.1784; -5.1687 -1.1699; -5.1453 -1.1613; -5.1218 -1.1528; -5.0983 -1.1442; -5.0748 -1.1357; -5.0513 -1.1271; -5.0278 -1.1186; -5.0043 -1.1100; -4.9808 -1.1015; -4.9573 -1.0929; -4.9338 -1.0844; -4.9103 -1.0758; -4.8868 -1.0673; -4.8633 -1.0587; -4.8399 -1.0502; -4.8164 -1.0416; -4.7929 -1.0331; -4.7694 -1.0245; -4.7459 -1.0160; -4.7224 -1.0074; -4.6989 -0.9989; -4.6754 -0.9903; -4.6519 -0.9818; -4.6284 -0.9732; -4.6049 -0.9647; -4.5814 -0.9561; -4.5579 -0.9476; -4.5345 -0.9390; -4.5110 -0.9305; -4.4875 -0.9219; -4.4640 -0.9134; -4.4405 -0.9048; -4.4170 -0.8963; -4.3935 -0.8877; -4.3700 -0.8792; -4.3465 -0.8706; -4.3230 -0.8621; -4.2995 -0.8535; -4.2760 -0.8450; -4.2525 -0.8364; -4.2291 -0.8279; -4.2056 -0.8193; -4.1821 -0.8108; -4.1586 -0.8022; -4.1351 -0.7936; -4.1116 -0.7851; -4.0881 -0.7765; -4.0646 -0.7680; -4.0411 -0.7594; -4.0176 -0.7509; -3.9941 -0.7423; -3.9706 -0.7338; -3.9471 -0.7252; -3.9237 -0.7167; -3.9002 -0.7081; -3.8767 -0.6996; -3.8532 -0.6910; -3.8297 -0.6825; -3.8062 -0.6739; -3.7827 -0.6654; -3.7592 -0.6568; -3.7357 -0.6483; -3.7122 -0.6397; -3.5948 -0.5970; -3.4773 -0.5542; -3.3598 -0.5115; -3.2424 -0.4687; -3.1249 -0.4260; -3.0075 -0.3832; -2.8900 -0.3405; -2.7725 -0.2977; -2.6551 -0.2550; -2.5376 -0.2122; -2.4201 -0.1695; -2.3027 -0.1267; -2.1852 -0.0840; -2.0678 -0.0412; -1.9503 0.0015; -1.8328 0.0443; -1.7154 0.0871; -1.5979 0.1298; -1.4805 0.1726; -1.3630 0.2153; -1.2455 0.2581; -1.1281 0.3008; -1.0106 0.3436; -0.8931 0.3863; -0.7757 0.4291; -0.6582 0.4718; -0.5408 0.5146; -0.4233 0.5573; -0.3058 0.6001; -0.1884 0.6428; -0.0709 0.6856; 0.0465 0.7283; 0.1640 0.7711; 0.2815 0.8138; 0.3989 0.8566; 0.5164 0.8993; 0.6339 0.9421; 0.7513 0.9849; 0.8688 1.0276; 0.9862 1.0704; 1.1037 1.1131; 1.2212 1.1559; 1.3386 1.1986; 1.4561 1.2414; 1.5736 1.2841; 1.6910 1.3269; 1.8085 1.3696; 1.9259 1.4124; 2.0434 1.4551; 2.1609 1.4979; 2.2783 1.5406; 2.3958 1.5834; 2.5132 1.6261; 2.6307 1.6689; 2.7265 1.7492; 2.8222 1.8296; 2.9180 1.9099; 3.0137 1.9903; 3.1095 2.0706; 3.2052 2.1510; 3.3010 2.2313; 3.3967 2.3117; 3.4925 2.3920; 3.5883 2.4724; 3.6840 2.5527; 3.7798 2.6331; 3.8755 2.7134; 3.9713 2.7938; 4.0670 2.8741; 4.1628 2.9545; 4.2585 3.0348; 4.3543 3.1152; 4.4501 3.1955; 4.5458 3.2759; 4.6416 3.3562; 4.7373 3.4366; 4.8331 3.5169; 4.9288 3.5973; 5.0246 3.6776; 5.1203 3.7580; 5.2161 3.8383; 5.3119 3.9187; 5.4076 3.9990; 5.5034 4.0793; 5.5991 4.1597; 5.5774 4.2828; 5.6732 4.3631; 5.6558 4.4616; 5.6384 4.5601; 5.7342 4.6405; 5.7168 4.7389; 5.8126 4.8193; 5.7952 4.9178; 5.7779 5.0162; 5.8736 5.0966; 5.8563 5.1951; 5.8389 5.2936; 5.9155 5.3578; 5.8981 5.4563; 5.8808 5.5548; 5.9574 5.6191; 5.9400 5.7176; 5.9226 5.8160; 5.9992 5.8803; 5.9226 5.9446; 5.9992 6.0089; 5.9226 6.0732; 5.9992 6.1374; 5.9226 6.2017; 5.9992 6.2660; 5.9226 6.3303; 5.9992 6.3945; 6.0758 6.4588; 5.9992 6.5231; 6.0758 6.5874; 6.1525 6.6517; 6.0758 6.7159; 6.1525 6.7802; 6.0758 6.8445; 6.1716 6.9248; 6.0950 6.9891; 6.1908 7.0695; 6.1142 7.1338; 6.2099 7.2141; 6.1142 7.2944; 6.2099 7.3748; 6.1142 7.4551; 6.2099 7.5355; 6.1142 7.6158; 6.2099 7.6962; 6.1142 7.7765; 6.2099 7.8569; 6.1142 7.9372; 6.1376 7.9458; 6.2334 8.0261; 6.3292 8.1065; 6.2334 8.1868; 6.2525 8.2029; 6.3483 8.2833; 6.2525 8.3636; 6.2717 8.3797; 6.3675 8.4600; 6.4632 8.5404; 6.3675 8.6207; 6.3483 8.6368; 6.4441 8.7171; 6.3483 8.7975; 6.3675 8.8136; 6.4632 8.8939; 6.3675 8.9742; 6.4632 9.0546; 6.3675 9.1349; 6.4632 9.2153; 6.3675 9.2956; 6.3866 9.3117; 6.4824 9.3921; 6.3866 9.4724; 6.4824 9.5528; 6.3866 9.6331; 6.3675 9.6492; 6.4632 9.7295; 6.3675 9.8099; 6.4632 9.8902; 6.3675 9.9706; 6.3483 9.9866; 6.4441 10.0670; 6.3483 10.1473; 6.2525 10.2277; 6.2760 10.2191; 6.3718 10.2995; 6.2760 10.3798; 6.3718 10.4602; 6.2760 10.5405; 6.1803 10.6209; 6.2977 10.5781; 6.2020 10.6585; 6.2977 10.7388; 6.2020 10.8192; 6.2977 10.8995; 6.2020 10.9799; 6.1062 11.0602; 6.2237 11.0175; 6.1279 11.0978; 6.2237 11.1782; 6.1471 11.2424; 6.2428 11.3228; 6.1662 11.3871; 6.0705 11.4674; 6.1662 11.5478; 6.0705 11.6281; 5.9747 11.7085; 6.0922 11.6657; 6.0730 11.6818; 6.1688 11.7621; 6.0922 11.8264; 6.0156 11.8907; 6.1113 11.9710; 6.0347 12.0353; 5.9390 12.1157
