1, -0.7639 -1.9223; -0.7139 -1.8357; -0.6639 -1.7491; -0.6139 -1.6625; -0.5639 -1.5759; -0.5139 -1.4893; -0.4639 -1.4027; -0.4139 -1.3161; -0.3639 -1.2295; -0.3139 -1.1429; -0.2639 -1.0563; -0.2139 -0.9697; -0.1639 -0.8831; -0.1139 -0.7965; -0.0639 -0.7099; -0.0139 -0.6233; 0.0361 -0.5367; 0.0861 -0.4501; 0.1361 -0.3635; 0.1861 -0.2769; 0.2361 -0.1903; 0.2861 -0.1037; 0.3361 -0.0171; 0.3861 0.0695; 0.4361 0.1561; 0.4861 0.2427; 0.5361 0.3293; 0.5861 0.4160; 0.6361 0.5026; 0.6861 0.5892; 0.7361 0.6758; 0.7861 0.7624; 0.8361 0.8490; 0.8861 0.9356; 0.9361 1.0222; 0.9861 1.1088; 1.0361 1.1954; 1.0861 1.2820; 1.1361 1.3686; 1.1861 1.4552; 1.2361 1.5418; 1.2861 1.6284; 1.3361 1.7150; 1.3861 1.8016; 1.4361 1.8882; 1.4534 1.9867; 1.4708 2.0852; 1.4882 2.1836; 1.5055 2.2821; 1.5229 2.3806; 1.5403 2.4791; 1.5576 2.5776; 1.5750 2.6760; 1.5924 2.7745; 1.6097 2.8730; 1.6271 2.9715; 1.6444 3.0700; 1.6618 3.1684; 1.6792 3.2669; 1.6965 3.3654; 1.7139 3.4639; 1.7313 3.5624; 1.7443 3.6362; 1.7530 3.6855; 1.7617 3.7347; 1.7703 3.7840; 1.7790 3.8332; 1.7877 3.8824; 1.7964 3.9317; 1.8051 3.9809; 1.8138 4.0302; 1.8224 4.0794; 1.8311 4.1286; 1.8398 4.1779; 1.8485 4.2271; 1.8572 4.2764; 1.8658 4.3256; 1.8745 4.3748; 1.8832 4.4241; 1.8919 4.4733; 1.9006 4.5226; 1.9093 4.5718; 1.9179 4.6210; 1.9266 4.6703; 1.9353 4.7195; 1.9440 4.7688; 1.9527 4.8180; 1.9614 4.8672; 1.9700 4.9165; 1.9787 4.9657; 1.9874 5.0150; 1.9961 5.0642; 2.0048 5.1134; 2.0134 5.1627; 2.0221 5.2119; 2.0308 5.2612; 2.0395 5.3104; 2.0482 5.3596; 2.0569 5.4089; 2.0655 5.4581; 2.1038 5.4903; 2.1421 5.5224; 2.1804 5.5545; 2.2188 5.5867; 2.2571 5.6188; 2.2954 5.6510; 2.3337 5.6831; 2.3720 5.7152; 2.4103 5.7474; 2.4486 5.7795; 2.4869 5.8117; 2.5252 5.8438; 2.5635 5.8759; 2.6018 5.9081; 2.6401 5.9402; 2.6784 5.9724; 2.7167 6.0045; 2.7550 6.0366; 2.7933 6.0688; 2.8316 6.1009; 2.8699 6.1331; 2.9082 6.1652; 2.9465 6.1973; 2.9848 6.2295; 3.0231 6.2616; 3.0614 6.2937; 3.0997 6.3259; 3.1380 6.3580; 3.1763 6.3902; 3.2146 6.4223; 3.2529 6.4544; 3.2912 6.4866; 3.3295 6.5187; 3.3678 6.5509; 3.4061 6.5830; 3.4444 6.6151; 3.4827 6.6473; 3.5210 6.6794; 3.5593 6.7116; 3.5976 6.7437; 3.6359 6.7758; 3.6742 6.8080; 3.7125 6.8401; 3.7508 6.8723; 3.7891 6.9044; 3.8274 6.9365; 3.8657 6.9687; 3.9040 7.0008; 3.9424 7.0330; 3.9807 7.0651; 4.0190 7.0972; 4.0573 7.1294; 4.0956 7.1615; 4.1339 7.1936; 4.1722 7.2258; 4.2105 7.2579; 4.2488 7.2901; 4.2871 7.3222; 4.3254 7.3543; 4.3637 7.3865; 4.3828 7.4026; 4.4020 7.4186; 4.4211 7.4347; 4.4403 7.4508; 4.4594 7.4668; 4.4786 7.4829; 4.4977 7.4990; 4.5169 7.5150; 4.5360 7.5311; 4.5552 7.5472; 4.5743 7.5633; 4.5935 7.5793; 4.6126 7.5954; 4.6318 7.6115; 4.6509 7.6275; 4.6701 7.6436; 4.6892 7.6597; 4.7084 7.6757; 4.7275 7.6918; 4.7467 7.7079; 4.7658 7.7239; 4.7850 7.7400; 4.8042 7.7561; 4.8233 7.7722; 4.8425 7.7882; 4.8616 7.8043; 4.8808 7.8204; 4.8999 7.8364; 4.9191 7.8525; 4.9382 7.8686; 4.9574 7.8846; 4.9765 7.9007; 4.9957 7.9168; 5.0148 7.9329; 5.0340 7.9489; 5.0531 7.9650; 5.0723 7.9811; 5.0914 7.9971; 5.1106 8.0132; 5.1297 8.0293; 5.1680 8.0614; 5.2063 8.0936; 5.2446 8.1257; 5.2829 8.1578; 5.3212 8.1900; 5.3595 8.2221; 5.3978 8.2542; 5.4361 8.2864; 5.4744 8.3185; 5.5127 8.3507; 5.5510 8.3828; 5.5893 8.4149; 5.6276 8.4471; 5.6660 8.4792; 5.7043 8.5114; 5.7426 8.5435; 5.7809 8.5756; 5.8192 8.6078; 5.8575 8.6399; 5.8958 8.6721; 5.9341 8.7042; 5.9427 8.7534; 5.9811 8.7856; 6.0194 8.8177; 6.0577 8.8499; 6.0663 8.8991; 6.1046 8.9312; 6.1429 8.9634; 6.1516 9.0126; 6.1899 9.0448; 6.2282 9.0769; 6.2369 9.1261; 6.2752 9.1583; 6.3135 9.1904; 6.3222 9.2397; 6.3309 9.2889; 6.3692 9.3210; 6.4075 9.3532; 6.4162 9.4024; 6.4412 9.4457; 6.4662 9.4890; 6.4912 9.5323; 6.5162 9.5756; 6.5412 9.6189; 6.5662 9.6622; 6.5912 9.7055; 6.6162 9.7488; 6.6412 9.7921; 6.6029 9.8243; 6.5646 9.8564; 6.5454 9.8725; 6.5071 9.9046; 6.4880 9.8885; 6.4497 9.9207; 6.4262 9.9292; 6.4762 10.0158; 6.4527 10.0244; 6.5152 10.1326; 6.4917 10.1412; 6.5542 10.2494; 6.5307 10.2580; 6.5932 10.3663; 6.5697 10.3748; 6.6872 10.3320; 6.7497 10.4403; 6.8122 10.5486; 6.7887 10.5571; 6.8512 10.6654; 6.8555 10.6407; 6.9180 10.7490; 6.8945 10.7575; 7.0120 10.7148; 7.0620 10.8014; 7.0385 10.8099; 7.0885 10.8965; 7.1510 11.0048; 7.1275 11.0133; 7.1040 11.0219; 7.1665 11.1302; 7.2840 11.0874; 7.3465 11.1957; 7.3230 11.2042; 7.3855 11.3125; 7.4090 11.3039; 7.4715 11.4122; 7.4758 11.3875; 7.5383 11.4958; 7.5618 11.4872; 7.6793 11.4445; 7.7418 11.5527; 7.7652 11.5442; 7.8827 11.5014; 7.9452 11.6097; 7.9217 11.6182; 7.9842 11.7265; 8.0077 11.7179; 8.1252 11.6752; 8.1752 11.7618; 8.0577 11.8045; 8.1752 11.7618; 8.2377 11.8700; 8.3002 11.9783; 8.4176 11.9355; 8.3941 11.9441; 8.4566 12.0524; 8.5741 12.0096; 8.6366 12.1179; 8.6131 12.1264; 8.6756 12.2347; 8.6991 12.2261; 8.8166 12.1834; 8.8791 12.2916; 8.8556 12.3002; 8.9181 12.4084; 8.9224 12.3838; 8.9459 12.3752; 9.0084 12.4835; 9.0319 12.4749; 9.0944 12.5832; 9.0709 12.5917; 9.1334 12.7000; 9.1569 12.6914; 9.2744 12.6487; 9.3369 12.7569; 9.3134 12.7655; 9.3759 12.8738; 9.3524 12.8823; 9.2349 12.9251; 9.3524 12.8823; 9.4149 12.9906; 9.4774 13.0988; 9.3599 13.1416; 9.4224 13.2498; 9.5399 13.2071; 9.6024 13.3153; 9.5789 13.3239; 9.6414 13.4321; 9.6179 13.4407; 9.6804 13.5489; 9.6569 13.5575; 9.5394 13.6002; 9.6569 13.5575; 9.7194 13.6657; 9.6959 13.6743; 9.7584 13.7825; 9.7349 13.7911; 9.7974 13.8993; 9.7739 13.9079; 9.6565 13.9506; 9.7739 13.9079
2, -0.7639 -1.9223; -0.7139 -1.8357; -0.6639 -1.7491; -0.6139 -1.6625; -0.5639 -1.5759; -0.5139 -1.4893; -0.4639 -1.4027; -0.4139 -1.3161; -0.3639 -1.2295; -0.3139 -1.1429; -0.2639 -1.0563; -0.2139 -0.9697; -0.1639 -0.8831; -0.1139 -0.7965; -0.0639 -0.7099; -0.0139 -0.6233; 0.0361 -0.5367; 0.0861 -0.4501; 0.1361 -0.3635; 0.1861 -0.2769; 0.2361 -0.1903; 0.2861 -0.1037; 0.3361 -0.0171; 0.3861 0.0695; 0.4361 0.1561; 0.4861 0.2427; 0.5361 0.3293; 0.5861 0.4160; 0.6361 0.5026; 0.6861 0.5892; 0.7361 0.6758; 0.7861 0.7624; 0.8361 0.8490; 0.8861 0.9356; 0.9361 1.0222; 0.9861 1.1088; 1.0361 1.1954; 1.0861 1.2820; 1.1361 1.3686; 1.1861 1.4552; 1.2361 1.5418; 1.2861 1.6284; 1.3361 1.7150; 1.3861 1.8016; 1.4034 1.9001; 1.4208 1.9986; 1.4382 2.0970; 1.4555 2.1955; 1.4729 2.2940; 1.4903 2.3925; 1.5076 2.4910; 1.5250 2.5894; 1.5424 2.6879; 1.5597 2.7864; 1.5771 2.8849; 1.5944 2.9834; 1.6118 3.0818; 1.6292 3.1803; 1.6465 3.2788; 1.6639 3.3773; 1.6813 3.4758; 1.6986 3.5742; 1.7117 3.6481; 1.7203 3.6973; 1.7290 3.7466; 1.7377 3.7958; 1.7464 3.8451; 1.7551 3.8943; 1.7638 3.9435; 1.7724 3.9928; 1.7811 4.0420; 1.7898 4.0913; 1.7985 4.1405; 1.8072 4.1898; 1.8158 4.2390; 1.8245 4.2882; 1.8332 4.3375; 1.8419 4.3867; 1.8506 4.4360; 1.8593 4.4852; 1.8679 4.5344; 1.8766 4.5837; 1.8853 4.6329; 1.8940 4.6822; 1.9027 4.7314; 1.9114 4.7806; 1.9200 4.8299; 1.9287 4.8791; 1.9374 4.9284; 1.9461 4.9776; 1.9548 5.0268; 1.9634 5.0761; 1.9721 5.1253; 1.9808 5.1746; 1.9895 5.2238; 1.9982 5.2730; 2.0069 5.3223; 2.0155 5.3715; 2.0242 5.4208; 2.0329 5.4700; 2.0416 5.5192; 2.0799 5.5514; 2.1182 5.5835; 2.1565 5.6157; 2.1948 5.6478; 2.2331 5.6799; 2.2714 5.7121; 2.3097 5.7442; 2.3480 5.7764; 2.3863 5.8085; 2.4246 5.8406; 2.4629 5.8728; 2.5012 5.9049; 2.5395 5.9371; 2.5778 5.9692; 2.6161 6.0013; 2.6544 6.0335; 2.6927 6.0656; 2.7310 6.0978; 2.7693 6.1299; 2.8076 6.1620; 2.8459 6.1942; 2.8842 6.2263; 2.9225 6.2584; 2.9608 6.2906; 2.9991 6.3227; 3.0374 6.3549; 3.0757 6.3870; 3.1141 6.4191; 3.1524 6.4513; 3.1907 6.4834; 3.2290 6.5156; 3.2673 6.5477; 3.3056 6.5798; 3.3439 6.6120; 3.3822 6.6441; 3.4205 6.6763; 3.4588 6.7084; 3.4971 6.7405; 3.5354 6.7727; 3.5737 6.8048; 3.6120 6.8370; 3.6503 6.8691; 3.6886 6.9012; 3.7269 6.9334; 3.7652 6.9655; 3.8035 6.9977; 3.8418 7.0298; 3.8801 7.0619; 3.9184 7.0941; 3.9567 7.1262; 3.9950 7.1584; 4.0333 7.1905; 4.0716 7.2226; 4.1099 7.2548; 4.1482 7.2869; 4.1865 7.3190; 4.2248 7.3512; 4.2631 7.3833; 4.3014 7.4155; 4.3397 7.4476; 4.3780 7.4797; 4.4163 7.5119; 4.4546 7.5440; 4.4738 7.5601; 4.4929 7.5762; 4.5121 7.5922; 4.5312 7.6083; 4.5504 7.6244; 4.5695 7.6404; 4.5887 7.6565; 4.6078 7.6726; 4.6270 7.6887; 4.6461 7.7047; 4.6653 7.7208; 4.6844 7.7369; 4.7036 7.7529; 4.7227 7.7690; 4.7419 7.7851; 4.7610 7.8011; 4.7802 7.8172; 4.7993 7.8333; 4.8185 7.8493; 4.8377 7.8654; 4.8568 7.8815; 4.8760 7.8976; 4.8951 7.9136; 4.9143 7.9297; 4.9334 7.9458; 4.9526 7.9618; 4.9717 7.9779; 4.9909 7.9940; 5.0100 8.0100; 5.0292 8.0261; 5.0483 8.0422; 5.0675 8.0583; 5.0866 8.0743; 5.1058 8.0904; 5.1249 8.1065; 5.1441 8.1225; 5.1632 8.1386; 5.2015 8.1707; 5.2207 8.1868; 5.2398 8.2029; 5.2781 8.2350; 5.3164 8.2672; 5.3547 8.2993; 5.3930 8.3314; 5.4313 8.3636; 5.4696 8.3957; 5.5079 8.4279; 5.5462 8.4600; 5.5845 8.4921; 5.6228 8.5243; 5.6611 8.5564; 5.6995 8.5886; 5.7378 8.6207; 5.7761 8.6528; 5.8144 8.6850; 5.8527 8.7171; 5.8910 8.7492; 5.9293 8.7814; 5.9676 8.8135; 6.0059 8.8457; 6.0442 8.8778; 6.0825 8.9099; 6.1208 8.9421; 6.1591 8.9742; 6.1678 9.0235; 6.2061 9.0556; 6.2147 9.1048; 6.2234 9.1541; 6.2617 9.1862; 6.2704 9.2355; 6.3087 9.2676; 6.3174 9.3168; 6.3261 9.3661; 6.3348 9.4153; 6.3731 9.4475; 6.3817 9.4967; 6.3904 9.5459; 6.3991 9.5952; 6.4374 9.6273; 6.4461 9.6766; 6.4548 9.7258; 6.4635 9.7750; 6.5018 9.8072; 6.5104 9.8564; 6.5487 9.8886; 6.5574 9.9378; 6.5661 9.9870; 6.5748 10.0363; 6.5835 10.0855; 6.5922 10.1348; 6.6305 10.1669; 6.6391 10.2161; 6.6478 10.2654; 6.6565 10.3146; 6.6652 10.3639; 6.7035 10.3960; 6.7122 10.4452; 6.7209 10.4945; 6.7295 10.5437; 6.7382 10.5930; 6.7469 10.6422; 6.7556 10.6915; 6.7643 10.7407; 6.7730 10.7899; 6.7816 10.8392; 6.7903 10.8884; 6.8286 10.9206; 6.8669 10.9527; 6.8756 11.0019; 6.8843 11.0512; 6.8930 11.1004; 6.9313 11.1326; 6.9400 11.1818; 6.9783 11.2139; 6.9869 11.2632; 7.0252 11.2953; 7.0635 11.3275; 7.1018 11.3596; 7.1401 11.3917; 7.1488 11.4410; 7.1871 11.4731; 7.1958 11.5223; 7.2341 11.5545; 7.2724 11.5866; 7.2811 11.6359; 7.2898 11.6851; 7.2985 11.7343; 7.3071 11.7836; 7.3455 11.8157; 7.3541 11.8650; 7.3924 11.8971; 7.4011 11.9464; 7.4394 11.9785; 7.4777 12.0106; 7.4864 12.0599; 7.5247 12.0920; 7.5630 12.1241; 7.6013 12.1563; 7.6396 12.1884; 7.6483 12.2377; 7.6570 12.2869; 7.6953 12.3190; 7.7336 12.3512; 7.7719 12.3833; 7.7806 12.4326; 7.8189 12.4647; 7.8572 12.4968; 7.8955 12.5290; 7.9338 12.5611; 7.9721 12.5933; 8.0104 12.6254; 8.0487 12.6575; 8.0870 12.6897; 8.1253 12.7218; 8.1636 12.7540; 8.2019 12.7861; 8.2402 12.8182; 8.2785 12.8504; 8.3168 12.8825; 8.3551 12.9147; 8.3934 12.9468; 8.4317 12.9789; 8.4700 13.0111; 8.5083 13.0432; 8.5466 13.0754; 8.5849 13.1075; 8.6232 13.1396; 8.6615 13.1718; 8.6998 13.2039; 8.7381 13.2361; 8.7764 13.2682; 8.8147 13.3003; 8.8530 13.3325; 8.8913 13.3646; 8.9105 13.3807; 8.9296 13.3967; 8.9488 13.4128; 8.9871 13.4450; 9.0062 13.4610; 9.0254 13.4771; 9.0445 13.4932; 9.0637 13.5092; 9.0828 13.5253; 9.1020 13.5414; 9.1211 13.5574; 9.1403 13.5735
3, -0.7639 -1.9223; -0.7139 -1.8357; -0.6639 -1.7491; -0.6139 -1.6625; -0.5639 -1.5759; -0.5139 -1.4893; -0.4639 -1.4027; -0.4139 -1.3161; -0.3639 -1.2295; -0.3139 -1.1429; -0.2639 -1.0563; -0.2139 -0.9697; -0.1639 -0.8831; -0.1139 -0.7965; -0.0639 -0.7099; -0.0139 -0.6233; 0.0361 -0.5367; 0.0861 -0.4501; 0.1361 -0.3635; 0.1861 -0.2769; 0.2361 -0.1903; 0.2861 -0.1037; 0.3361 -0.0171; 0.3861 0.0695; 0.4361 0.1561; 0.4861 0.2427; 0.5361 0.3293; 0.5861 0.4160; 0.6361 0.5026; 0.6861 0.5892; 0.7361 0.6758; 0.7861 0.7624; 0.8361 0.8490; 0.8861 0.9356; 0.9361 1.0222; 0.9861 1.1088; 1.0361 1.1954; 1.0861 1.2820; 1.1361 1.3686; 1.1861 1.4552; 1.2361 1.5418; 1.2861 1.6284; 1.3361 1.7150; 1.3861 1.8016; 1.4034 1.9001; 1.4208 1.9986; 1.4382 2.0970; 1.4555 2.1955; 1.4729 2.2940; 1.4903 2.3925; 1.5076 2.4910; 1.5250 2.5894; 1.5424 2.6879; 1.5597 2.7864; 1.5771 2.8849; 1.5944 2.9834; 1.6118 3.0818; 1.6292 3.1803; 1.6465 3.2788; 1.6639 3.3773; 1.6813 3.4758; 1.6986 3.5742; 1.7117 3.6481; 1.7247 3.7220; 1.7334 3.7712; 1.7420 3.8204; 1.7507 3.8697; 1.7594 3.9189; 1.7681 3.9682; 1.7768 4.0174; 1.7855 4.0667; 1.7941 4.1159; 1.8028 4.1651; 1.8115 4.2144; 1.8202 4.2636; 1.8289 4.3129; 1.8376 4.3621; 1.8462 4.4113; 1.8549 4.4606; 1.8636 4.5098; 1.8723 4.5591; 1.8810 4.6083; 1.8896 4.6575; 1.8983 4.7068; 1.9070 4.7560; 1.9157 4.8053; 1.9244 4.8545; 1.9331 4.9037; 1.9417 4.9530; 1.9504 5.0022; 1.9591 5.0515; 1.9678 5.1007; 1.9765 5.1499; 1.9852 5.1992; 1.9938 5.2484; 2.0025 5.2977; 2.0112 5.3469; 2.0199 5.3961; 2.0286 5.4454; 2.0372 5.4946; 2.0459 5.5439; 2.0546 5.5931; 2.0929 5.6252; 2.1312 5.6574; 2.1695 5.6895; 2.2078 5.7217; 2.2461 5.7538; 2.2844 5.7859; 2.3227 5.8181; 2.3610 5.8502; 2.3993 5.8824; 2.4376 5.9145; 2.4759 5.9466; 2.5142 5.9788; 2.5525 6.0109; 2.5908 6.0431; 2.6291 6.0752; 2.6674 6.1073; 2.7058 6.1395; 2.7441 6.1716; 2.7824 6.2038; 2.8207 6.2359; 2.8590 6.2680; 2.8973 6.3002; 2.9356 6.3323; 2.9739 6.3644; 3.0122 6.3966; 3.0505 6.4287; 3.0888 6.4609; 3.1271 6.4930; 3.1654 6.5251; 3.2037 6.5573; 3.2420 6.5894; 3.2803 6.6216; 3.3186 6.6537; 3.3569 6.6858; 3.3952 6.7180; 3.4335 6.7501; 3.4718 6.7823; 3.5101 6.8144; 3.5484 6.8465; 3.5867 6.8787; 3.6250 6.9108; 3.6633 6.9430; 3.7016 6.9751; 3.7399 7.0072; 3.7782 7.0394; 3.8165 7.0715; 3.8548 7.1037; 3.8931 7.1358; 3.9314 7.1679; 3.9697 7.2001; 4.0080 7.2322; 4.0463 7.2644; 4.0846 7.2965; 4.1229 7.3286; 4.1612 7.3608; 4.1995 7.3929; 4.2187 7.4090; 4.2378 7.4250; 4.2570 7.4411; 4.2761 7.4572; 4.2953 7.4733; 4.3144 7.4893; 4.3336 7.5054; 4.3527 7.5215; 4.3719 7.5375; 4.3910 7.5536; 4.4102 7.5697; 4.4294 7.5857; 4.4485 7.6018; 4.4677 7.6179; 4.4868 7.6340; 4.5060 7.6500; 4.5251 7.6661; 4.5443 7.6822; 4.5634 7.6982; 4.5826 7.7143; 4.6017 7.7304; 4.6209 7.7464; 4.6400 7.7625; 4.6592 7.7786; 4.6783 7.7947; 4.6975 7.8107; 4.7166 7.8268; 4.7358 7.8429; 4.7549 7.8589; 4.7741 7.8750; 4.7932 7.8911; 4.8124 7.9071; 4.8315 7.9232; 4.8507 7.9393; 4.8698 7.9553; 4.8890 7.9714; 4.9081 7.9875; 4.9273 8.0036; 4.9081 8.0196; 4.8890 8.0357; 4.8698 8.0518; 4.8507 8.0678; 4.8315 8.0839; 4.8124 8.1000; 4.7932 8.1160; 4.7741 8.1321; 4.7549 8.1482; 4.7358 8.1643; 4.7401 8.1396; 4.7636 8.1311; 4.7871 8.1225; 4.7996 8.1442; 4.8954 8.2245; 4.8704 8.2245; 4.9329 8.3328; 4.9372 8.3082; 5.0547 8.2654; 5.1047 8.3520; 5.1547 8.4386; 5.1355 8.4547; 5.1120 8.4632; 5.2295 8.4205; 5.2795 8.5071; 5.3295 8.5937; 5.2825 8.6108; 5.3450 8.7190; 5.4624 8.6763; 5.5124 8.7629; 5.4655 8.7800; 5.5280 8.8882; 5.5515 8.8797; 5.6689 8.8369; 5.7189 8.9235; 5.7689 9.0101; 5.7219 9.0273; 5.7844 9.1355; 5.9019 9.0928; 5.9519 9.1794; 5.9136 9.2115; 5.9761 9.3197; 5.9804 9.2951; 6.0979 9.2524; 6.1479 9.3390; 6.1979 9.4256; 6.1744 9.4341; 6.2369 9.5424; 6.2604 9.5338; 6.3229 9.6421; 6.3464 9.6335; 6.4089 9.7418; 6.4324 9.7332; 6.5498 9.6905; 6.5998 9.7771; 6.6498 9.8637; 6.6263 9.8722; 6.6888 9.9805; 6.7123 9.9719; 6.7358 9.9634; 6.7983 10.0716; 6.9158 10.0289; 6.9658 10.1155; 7.0158 10.2021; 6.9923 10.2106; 7.0548 10.3189; 7.0591 10.2943; 7.1216 10.4025; 7.0982 10.4111; 7.1607 10.5193; 7.1841 10.5108; 7.1607 10.5193; 7.2232 10.6276; 7.2466 10.6190; 7.2701 10.6105; 7.3326 10.7187; 7.3561 10.7102; 7.3326 10.7187; 7.4501 10.6760; 7.5001 10.7626; 7.4766 10.7711; 7.5391 10.8794; 7.5434 10.8548; 7.6059 10.9630; 7.6103 10.9384; 7.6338 10.9299; 7.6463 10.9515; 7.7088 11.0598; 7.7131 11.0351; 7.7366 11.0266; 7.8541 10.9838; 7.9041 11.0704; 7.8806 11.0790; 7.9431 11.1872; 7.9474 11.1626; 7.9709 11.1541; 7.9834 11.1757; 8.0459 11.2840; 8.0503 11.2594; 8.1128 11.3676; 8.1171 11.3430; 8.1406 11.3344; 8.1171 11.3430; 8.1796 11.4512; 8.2971 11.4085; 8.2736 11.4170; 8.3361 11.5253; 8.3404 11.5007; 8.3169 11.5092; 8.4344 11.4665; 8.4844 11.5531; 8.4609 11.5616; 8.4374 11.5702; 8.4999 11.6784; 8.5042 11.6538; 8.5086 11.6292; 8.5711 11.7374; 8.5754 11.7128; 8.5798 11.6882; 8.6972 11.6455; 8.7472 11.7321; 8.7237 11.7406; 8.7002 11.7492; 8.7627 11.8574; 8.7671 11.8328; 8.7436 11.8413; 8.8610 11.7986; 8.8376 11.8071; 8.9001 11.9154; 8.9044 11.8908; 8.8809 11.8993; 8.9984 11.8566; 9.0484 11.9432; 9.0249 11.9517; 9.0014 11.9603; 9.0639 12.0685; 9.0682 12.0439; 9.0917 12.0354; 9.1152 12.0268; 9.2327 11.9841; 9.2092 11.9926; 9.2717 12.1009; 9.2760 12.0762; 9.2525 12.0848; 9.3700 12.0420; 9.3465 12.0506; 9.3965 12.1372; 9.3730 12.1457; 9.3495 12.1543; 9.4670 12.1115; 9.4795 12.1332; 9.5420 12.2414; 9.5463 12.2168; 9.5228 12.2254
