1, -0.7639 -1.9223; -0.7404 -1.9138; -0.7169 -1.9052; -0.6935 -1.8967; -0.6700 -1.8881; -0.6465 -1.8796; -0.6230 -1.8710; -0.5995 -1.8625; -0.5760 -1.8539; -0.5525 -1.8454; -0.5290 -1.8368; -0.5055 -1.8283; -0.4820 -1.8197; -0.4585 -1.8112; -0.4350 -1.8026; -0.4115 -1.7941; -0.3881 -1.7855; -0.3646 -1.7770; -0.3411 -1.7684; -0.3176 -1.7599; -0.2941 -1.7513; -0.2706 -1.7428; -0.2471 -1.7342; -0.2236 -1.7257; -0.2001 -1.7171; -0.1766 -1.7086; -0.1531 -1.7000; -0.1296 -1.6915; -0.1061 -1.6829; -0.0827 -1.6744; -0.0592 -1.6658; -0.0357 -1.6573; -0.0122 -1.6487; 0.0113 -1.6401; 0.0348 -1.6316; 0.0583 -1.6230; 0.0818 -1.6145; 0.1053 -1.6059; 0.1288 -1.5974; 0.1523 -1.5888; 0.1758 -1.5803; 0.1993 -1.5717; 0.2227 -1.5632; 0.2462 -1.5546; 0.2697 -1.5461; 0.2932 -1.5375; 0.3167 -1.5290; 0.3402 -1.5204; 0.3637 -1.5119; 0.3872 -1.5033; 0.4107 -1.4948; 0.4342 -1.4862; 0.4577 -1.4777; 0.4812 -1.4691; 0.5047 -1.4606; 0.5281 -1.4520; 0.5516 -1.4435; 0.5751 -1.4349; 0.5986 -1.4264; 0.6221 -1.4178; 0.6456 -1.4093; 0.6691 -1.4007; 0.6926 -1.3922; 0.7161 -1.3836; 0.7396 -1.3751; 0.7631 -1.3665; 0.7866 -1.3580; 0.8101 -1.3494; 0.8335 -1.3409; 0.8570 -1.3323; 0.8805 -1.3238; 0.9040 -1.3152; 0.9275 -1.3238; 0.9510 -1.3152; 0.9745 -1.3238; 0.9980 -1.3323; 1.0215 -1.3409; 1.0450 -1.3494; 1.0685 -1.3580; 1.0920 -1.3665; 1.1155 -1.3751; 1.1389 -1.3836; 1.1624 -1.3922; 1.1859 -1.4007; 1.2094 -1.4093; 1.2329 -1.4178; 1.2564 -1.4264; 1.2799 -1.4349; 1.3034 -1.4435; 1.4209 -1.4862; 1.4443 -1.4948; 1.5618 -1.5375; 1.5853 -1.5461; 1.7028 -1.5888; 1.7263 -1.5974; 1.8437 -1.6401; 1.8672 -1.6487; 1.9847 -1.6915; 2.0082 -1.7000; 2.1256 -1.7428; 2.1491 -1.7513; 2.2666 -1.7941; 2.2901 -1.8026; 2.4075 -1.8454; 2.4310 -1.8539; 2.5485 -1.8967; 2.6659 -1.9394; 2.6894 -1.9480; 2.8069 -1.9907; 2.8304 -1.9993; 2.9479 -2.0420; 2.9713 -2.0506; 3.0888 -2.0933; 3.1123 -2.1019; 3.2298 -2.1446; 3.2533 -2.1532; 3.3707 -2.1959; 3.4882 -2.2387; 3.5117 -2.2472; 3.6291 -2.2900; 3.6526 -2.2985; 3.7701 -2.3413; 3.7936 -2.3498; 3.9110 -2.3926; 3.9345 -2.4011; 4.0520 -2.4439; 4.1695 -2.4866; 4.1929 -2.4952; 4.3104 -2.5380; 4.3339 -2.5465; 4.4514 -2.5893; 4.5688 -2.6320; 4.5923 -2.6406; 4.7098 -2.6833; 4.7333 -2.6919; 4.8507 -2.7346; 4.9682 -2.7774; 4.9917 -2.7859; 5.1091 -2.8287; 5.2266 -2.8714; 5.2501 -2.8800; 5.3676 -2.9227; 5.4850 -2.9655; 5.5085 -2.9740; 5.6260 -3.0168; 5.7434 -3.0595; 5.7669 -3.0681; 5.8844 -3.1108; 5.9079 -3.1194; 6.0253 -3.1621; 6.1428 -3.2049; 6.1663 -3.2134; 6.2838 -3.2562; 6.3073 -3.2647; 6.4247 -3.3075; 6.5422 -3.3503; 6.5657 -3.3588; 6.6831 -3.4016; 6.8006 -3.4443; 6.8241 -3.4529; 6.9415 -3.4956; 7.0590 -3.5384; 7.0825 -3.5469; 7.2000 -3.5897; 7.2217 -3.7128; 7.3391 -3.7555; 7.3608 -3.8786; 7.4783 -3.9214; 7.5958 -3.9641; 7.6175 -4.0872; 7.6800 -3.9790; 7.7974 -4.0217; 7.8599 -3.9135; 7.9774 -3.9562; 8.0399 -4.0645; 8.1024 -3.9562; 8.1649 -3.8480; 8.2274 -3.9562; 8.1649 -3.8480; 8.2274 -3.7397; 8.2899 -3.8480; 8.2274 -3.7397; 8.2899 -3.6315; 8.3524 -3.7397; 8.4149 -3.8480; 8.4774 -3.7397; 8.5399 -3.6315; 8.6024 -3.7397; 8.5399 -3.6315; 8.6024 -3.5232; 8.6649 -3.6315; 8.6024 -3.5232; 8.5399 -3.4150; 8.6024 -3.5232; 8.6649 -3.4150; 8.6024 -3.3067; 8.7199 -3.3495; 8.7824 -3.4577; 8.8449 -3.3495; 8.7824 -3.2412; 8.8449 -3.3495; 8.9074 -3.2412; 8.9699 -3.1330; 9.0324 -3.2412; 9.0949 -3.1330; 9.0324 -3.0247; 9.0949 -3.1330; 9.1574 -3.0247; 9.2199 -2.9164; 9.2824 -3.0247; 9.3449 -2.9164; 9.2824 -2.8082; 9.3449 -2.9164; 9.4074 -2.8082; 9.4699 -2.6999; 9.5324 -2.8082; 9.4699 -2.6999; 9.5324 -2.5917; 9.5949 -2.6999; 9.6574 -2.5917; 9.7199 -2.4834; 9.7324 -2.5051; 9.6699 -2.3968; 9.7324 -2.5051; 9.7949 -2.3968; 9.8574 -2.2886; 9.9199 -2.3968; 9.9824 -2.2886; 10.0449 -2.1803; 10.0574 -2.2020; 9.9949 -2.0937; 10.0574 -2.2020; 10.1199 -2.0937; 10.1824 -1.9855; 10.2449 -1.8772; 10.2574 -1.8989; 10.3199 -2.0071; 10.3824 -1.8989; 10.4449 -1.7906; 10.5074 -1.8989; 10.5699 -1.7906; 10.6324 -1.6824; 10.6449 -1.7040; 10.5824 -1.5958; 10.6449 -1.4875; 10.6574 -1.5092; 10.6699 -1.5308; 10.7324 -1.4226; 10.7949 -1.3143; 10.8074 -1.3359; 10.8199 -1.3576; 10.8824 -1.2493; 10.9449 -1.1411; 10.9574 -1.1627; 10.9699 -1.1844; 11.0324 -1.0761; 11.0949 -1.1844; 11.1574 -1.0761; 11.2199 -0.9679; 11.2324 -0.9895; 11.2949 -0.8813; 11.3074 -0.8596; 11.3699 -0.7514; 11.3824 -0.7730; 11.3699 -0.7514; 11.4324 -0.6431; 11.4949 -0.5349; 11.5074 -0.5565; 11.5199 -0.5782; 11.5824 -0.4699; 11.6449 -0.3617; 11.6574 -0.3833; 11.6449 -0.3617; 11.7074 -0.2534; 11.7199 -0.2751; 11.7824 -0.1668; 11.7949 -0.1885; 11.8574 -0.0802; 11.8699 -0.1019; 11.9324 0.0064; 11.9449 -0.0153; 12.0074 0.0930; 12.0199 0.0713; 12.0824 0.1796; 12.0949 0.1579; 12.1574 0.2662; 12.1699 0.2445; 12.1574 0.2662; 12.2199 0.3745; 12.2324 0.3528; 12.2949 0.4611; 12.3574 0.3528; 12.4199 0.4611; 12.4824 0.5693; 12.4949 0.5477; 12.5574 0.6559; 12.5699 0.6343; 12.5824 0.6126; 12.6449 0.7209; 12.7074 0.8291; 12.7199 0.8075; 12.7324 0.7858; 12.7949 0.8941; 12.8574 1.0023; 12.8699 0.9807; 12.8824 0.9590; 12.9449 1.0673; 13.0074 0.9590; 13.0699 1.0673; 13.1324 1.1755; 13.1449 1.1539; 13.2074 1.0456; 13.2699 1.1539; 13.3324 1.2621; 13.3949 1.1539; 13.4574 1.2621; 13.5199 1.3704; 13.5324 1.3487; 13.5449 1.3271; 13.6074 1.4353; 13.6699 1.5436; 13.6824 1.5219; 13.6949 1.5436; 13.7574 1.6518; 13.7699 1.6302; 13.8324 1.7384; 13.8449 1.7168; 13.9074 1.8250; 13.9199 1.8034; 13.9824 1.9116; 13.9949 1.8900; 14.0574 1.9982; 14.0699 1.9766; 14.1324 2.0849; 14.1449 2.1065; 14.2074 2.2148; 14.2199 2.1931; 14.2074 2.2148; 14.2699 2.3230; 14.2824 2.3014; 14.2949 2.3230; 14.3574 2.4313; 14.3699 2.4096; 14.3824 2.4313; 14.4449 2.5395; 14.4574 2.5612; 14.5199 2.6694; 14.5324 2.6478; 14.5449 2.6694; 14.6074 2.7777
2, -0.7639 -1.9223; -0.7404 -1.9138; -0.7169 -1.9052; -0.6935 -1.8967; -0.6700 -1.8881; -0.6465 -1.8796; -0.6230 -1.8710; -0.5995 -1.8625; -0.5760 -1.8539; -0.5525 -1.8454; -0.5290 -1.8368; -0.5055 -1.8283; -0.4820 -1.8197; -0.4585 -1.8112; -0.4350 -1.8026; -0.4115 -1.7941; -0.3881 -1.7855; -0.3646 -1.7770; -0.3411 -1.7684; -0.3176 -1.7599; -0.2941 -1.7513; -0.2706 -1.7428; -0.2471 -1.7342; -0.2236 -1.7257; -0.2001 -1.7171; -0.1766 -1.7086; -0.1531 -1.7000; -0.1296 -1.6915; -0.1061 -1.6829; -0.0827 -1.6744; -0.0592 -1.6658; -0.0357 -1.6573; -0.0122 -1.6487; 0.0113 -1.6401; 0.0348 -1.6316; 0.0583 -1.6230; 0.0818 -1.6145; 0.1053 -1.6059; 0.1288 -1.5974; 0.1523 -1.5888; 0.1758 -1.5803; 0.1993 -1.5717; 0.2227 -1.5632; 0.2462 -1.5546; 0.2697 -1.5461; 0.2932 -1.5375; 0.3167 -1.5290; 0.3402 -1.5204; 0.3637 -1.5119; 0.3872 -1.5033; 0.4107 -1.4948; 0.4342 -1.4862; 0.4577 -1.4777; 0.4812 -1.4691; 0.5047 -1.4606; 0.5281 -1.4520; 0.5516 -1.4435; 0.5751 -1.4349; 0.5986 -1.4264; 0.6221 -1.4178; 0.6456 -1.4093; 0.6691 -1.4007; 0.6926 -1.3922; 0.7161 -1.3836; 0.7396 -1.3751; 0.7631 -1.3665; 0.7866 -1.3580; 0.8101 -1.3494; 0.8335 -1.3409; 0.8570 -1.3323; 0.8805 -1.3238; 0.9040 -1.3152; 0.9275 -1.3067; 0.9510 -1.2981; 0.9745 -1.2896; 0.9980 -1.2810; 1.0215 -1.2896; 1.0450 -1.2810; 1.0685 -1.2896; 1.0920 -1.2981; 1.1155 -1.3067; 1.1389 -1.3152; 1.1624 -1.3238; 1.1859 -1.3323; 1.2094 -1.3409; 1.2329 -1.3494; 1.2564 -1.3580; 1.2799 -1.3665; 1.3974 -1.4093; 1.4209 -1.4178; 1.5383 -1.4606; 1.5618 -1.4691; 1.5853 -1.4777; 1.7028 -1.5204; 1.7263 -1.5290; 1.8437 -1.5717; 1.9612 -1.6145; 1.9847 -1.6230; 2.1021 -1.6658; 2.1256 -1.6744; 2.2431 -1.7171; 2.2666 -1.7257; 2.3840 -1.7684; 2.4075 -1.7770; 2.5250 -1.8197; 2.5485 -1.8283; 2.6659 -1.8710; 2.6894 -1.8796; 2.8069 -1.9223; 2.8304 -1.9309; 2.9479 -1.9736; 2.9713 -1.9822; 3.0888 -2.0249; 3.2063 -2.0677; 3.2298 -2.0762; 3.3472 -2.1190; 3.3707 -2.1275; 3.4882 -2.1703; 3.5117 -2.1788; 3.6291 -2.2216; 3.6526 -2.2301; 3.7701 -2.2729; 3.7936 -2.2814; 3.9110 -2.3242; 3.9345 -2.3327; 4.0520 -2.3755; 4.0755 -2.3840; 4.1929 -2.4268; 4.2164 -2.4353; 4.3339 -2.4781; 4.3574 -2.4866; 4.4749 -2.5294; 4.4983 -2.5380; 4.6158 -2.5807; 4.6393 -2.5893; 4.7568 -2.6320; 4.8742 -2.6748; 4.8977 -2.6833; 5.0152 -2.7261; 5.0387 -2.7346; 5.1561 -2.7774; 5.2736 -2.8201; 5.2971 -2.8287; 5.4145 -2.8714; 5.4380 -2.8800; 5.5555 -2.9227; 5.5790 -2.9313; 5.6965 -2.9740; 5.8139 -3.0168; 5.8374 -3.0253; 5.9549 -3.0681; 5.9784 -3.0766; 6.0958 -3.1194; 6.1193 -3.1279; 6.2368 -3.1707; 6.3542 -3.2134; 6.3777 -3.2220; 6.4952 -3.2647; 6.5187 -3.2733; 6.6361 -3.3160; 6.7536 -3.3588; 6.7771 -3.3674; 6.8946 -3.4101; 6.9181 -3.4187; 7.0355 -3.4614; 7.1530 -3.5042; 7.2704 -3.5469; 7.2748 -3.5715; 7.3922 -3.6143; 7.3966 -3.6389; 7.5140 -3.6817; 7.5358 -3.8048; 7.6532 -3.8475; 7.7707 -3.8903; 7.8332 -3.9985; 7.8957 -3.8903; 8.0131 -3.8475; 8.0756 -3.9558; 8.1381 -3.8475; 8.2006 -3.9558; 8.2631 -3.8475; 8.3589 -3.7672; 8.3714 -3.7888; 8.4339 -3.8971; 8.4964 -3.7888; 8.5589 -3.8971; 8.6214 -3.7888; 8.6839 -3.6806; 8.6964 -3.7022; 8.7089 -3.7239; 8.7714 -3.6156; 8.7839 -3.6373; 8.7964 -3.6589; 8.8589 -3.5507; 8.8714 -3.5723; 8.9339 -3.4641; 8.9464 -3.4857; 8.9589 -3.5074; 8.9714 -3.5290; 9.0339 -3.4208; 9.0964 -3.3125; 9.1089 -3.3341; 9.1214 -3.3558; 9.1339 -3.3775; 9.1964 -3.2692; 9.2089 -3.2908; 9.2214 -3.2692; 9.2839 -3.1609; 9.3464 -3.0527; 9.3589 -3.0743; 9.3714 -3.0960; 9.3839 -3.0743; 9.4464 -2.9661; 9.4589 -2.9877; 9.4714 -2.9661; 9.5339 -2.8578; 9.5464 -2.8795; 9.5589 -2.8578; 9.6214 -2.7496; 9.6339 -2.7279; 9.6964 -2.6197; 9.7089 -2.6413; 9.7214 -2.6197; 9.7839 -2.5114; 9.7964 -2.5331; 9.8089 -2.5114; 9.8714 -2.4032; 9.8839 -2.4248; 9.8964 -2.4032; 9.9464 -2.3166; 10.0089 -2.2083; 10.0214 -2.2300; 10.0339 -2.2083; 10.0839 -2.1217; 10.1464 -2.0135; 10.1589 -2.0351; 10.1714 -2.0135; 10.2339 -1.9052; 10.2464 -1.8836; 10.3089 -1.7753; 10.3214 -1.7970; 10.3339 -1.7753; 10.3839 -1.6887; 10.3964 -1.6671; 10.4589 -1.5588; 10.4714 -1.5804; 10.4839 -1.5588; 10.5339 -1.4722; 10.5464 -1.4505; 10.5964 -1.3639; 10.6089 -1.3423; 10.6714 -1.2340; 10.6839 -1.2557; 10.6964 -1.2340; 10.7464 -1.1474; 10.8089 -1.0392; 10.8214 -1.0608; 10.8339 -1.0392; 10.8839 -0.9526; 10.9339 -0.8660; 10.9464 -0.8443; 10.9964 -0.7577; 11.0089 -0.7361; 11.0589 -0.6495; 11.0714 -0.6278; 11.0839 -0.6062; 11.1339 -0.5196; 11.1464 -0.4979; 11.1964 -0.4113; 11.2089 -0.3897; 11.2214 -0.3680; 11.2714 -0.2814; 11.2839 -0.2598; 11.2964 -0.2381; 11.3464 -0.1515; 11.3589 -0.1299; 11.3714 -0.1082; 11.4214 -0.0216; 11.4339 0.0000; 11.4464 0.0217; 11.4589 0.0433; 11.4714 0.0650; 11.5339 0.1733; 11.5464 0.1516; 11.5589 0.1733; 11.6089 0.2599; 11.6214 0.2815; 11.6339 0.3032; 11.6839 0.3898; 11.6964 0.4114; 11.7089 0.4331; 11.7589 0.5197; 11.7714 0.5413; 11.7839 0.5630; 11.8339 0.6496; 11.8464 0.6712; 11.8589 0.6929; 11.8714 0.7145; 11.9214 0.8011; 11.9339 0.8228; 11.9464 0.8444; 11.9589 0.8661; 12.0214 0.9743; 12.0339 0.9527; 12.0464 0.9743; 12.0964 1.0609; 12.1089 1.0826; 12.1214 1.1042; 12.1339 1.1259; 12.1464 1.1475; 12.2089 1.2558; 12.2214 1.2341; 12.2339 1.2125; 12.2464 1.2341; 12.2589 1.2558; 12.3214 1.3640; 12.3339 1.3424; 12.3464 1.3207; 12.3589 1.3424; 12.4214 1.4506; 12.4339 1.4290; 12.4464 1.4073; 12.4589 1.4290; 12.5214 1.5372; 12.5339 1.5156; 12.5464 1.4939; 12.5589 1.5156; 12.6214 1.6238; 12.6339 1.6022; 12.6464 1.5805; 12.6589 1.6022; 12.6714 1.6238; 12.7339 1.7321; 12.7464 1.7104; 12.7589 1.6888; 12.7714 1.7104; 12.8339 1.8187; 12.8464 1.7971; 12.8589 1.7754; 12.8714 1.7971; 12.9339 1.9053; 12.9464 1.8837; 12.9589 1.8620; 12.9714 1.8837; 12.9839 1.9053; 12.9964 1.9270; 13.0089 1.9486; 13.0214 1.9703; 13.0339 1.9919; 13.0464 2.0136
3, -0.7639 -1.9223; -0.7404 -1.9138; -0.7169 -1.9052; -0.6935 -1.8967; -0.6700 -1.8881; -0.6465 -1.8796; -0.6230 -1.8710; -0.5995 -1.8625; -0.5760 -1.8539; -0.5525 -1.8454; -0.5290 -1.8368; -0.5055 -1.8283; -0.4820 -1.8197; -0.4585 -1.8112; -0.4350 -1.8026; -0.4115 -1.7941; -0.3881 -1.7855; -0.3646 -1.7770; -0.3411 -1.7684; -0.3176 -1.7599; -0.2941 -1.7513; -0.2706 -1.7428; -0.2471 -1.7342; -0.2236 -1.7257; -0.2001 -1.7171; -0.1766 -1.7086; -0.1531 -1.7000; -0.1296 -1.6915; -0.1061 -1.6829; -0.0827 -1.6744; -0.0592 -1.6658; -0.0357 -1.6573; -0.0122 -1.6487; 0.0113 -1.6401; 0.0348 -1.6316; 0.0583 -1.6230; 0.0818 -1.6145; 0.1053 -1.6059; 0.1288 -1.5974; 0.1523 -1.5888; 0.1758 -1.5803; 0.1993 -1.5717; 0.2227 -1.5632; 0.2462 -1.5546; 0.2697 -1.5461; 0.2932 -1.5375; 0.3167 -1.5290; 0.3402 -1.5204; 0.3637 -1.5119; 0.3872 -1.5033; 0.4107 -1.4948; 0.4342 -1.4862; 0.4577 -1.4777; 0.4812 -1.4691; 0.5047 -1.4606; 0.5281 -1.4520; 0.5516 -1.4435; 0.5751 -1.4349; 0.5986 -1.4264; 0.6221 -1.4178; 0.6456 -1.4093; 0.6691 -1.4007; 0.6926 -1.3922; 0.7161 -1.3836; 0.7396 -1.3751; 0.7631 -1.3665; 0.7866 -1.3580; 0.8101 -1.3494; 0.8335 -1.3409; 0.8570 -1.3323; 0.8805 -1.3238; 0.9040 -1.3152; 0.9275 -1.3067; 0.9510 -1.2981; 0.9745 -1.2896; 0.9980 -1.2810; 1.0215 -1.2725; 1.0450 -1.2639; 1.0685 -1.2554; 1.0920 -1.2468; 1.1155 -1.2383; 1.1389 -1.2468; 1.1624 -1.2554; 1.1859 -1.2639; 1.2094 -1.2725; 1.2329 -1.2810; 1.3504 -1.3238; 1.3739 -1.3323; 1.4913 -1.3751; 1.5148 -1.3836; 1.6323 -1.4264; 1.6558 -1.4349; 1.7732 -1.4777; 1.7967 -1.4862; 1.9142 -1.5290; 1.9377 -1.5375; 2.0551 -1.5803; 2.0786 -1.5888; 2.1961 -1.6316; 2.3136 -1.6744; 2.3371 -1.6829; 2.4545 -1.7257; 2.4780 -1.7342; 2.5955 -1.7770; 2.6190 -1.7855; 2.7364 -1.8283; 2.8539 -1.8710; 2.8774 -1.8796; 2.9948 -1.9223; 3.0183 -1.9309; 3.1358 -1.9736; 3.1593 -1.9822; 3.2767 -2.0249; 3.3002 -2.0335; 3.4177 -2.0762; 3.5352 -2.1190; 3.5587 -2.1275; 3.6761 -2.1703; 3.6996 -2.1788; 3.8171 -2.2216; 3.9345 -2.2643; 3.9580 -2.2729; 4.0755 -2.3156; 4.0990 -2.3242; 4.2164 -2.3669; 4.2399 -2.3755; 4.3574 -2.4182; 4.4749 -2.4610; 4.4983 -2.4695; 4.6158 -2.5123; 4.6393 -2.5209; 4.7568 -2.5636; 4.8742 -2.6064; 4.8977 -2.6149; 5.0152 -2.6577; 5.0387 -2.6662; 5.1561 -2.7090; 5.1796 -2.7175; 5.2971 -2.7603; 5.4145 -2.8030; 5.5320 -2.8458; 5.5555 -2.8543; 5.6730 -2.8971; 5.6965 -2.9056; 5.8139 -2.9484; 5.8374 -2.9569; 5.9549 -2.9997; 6.0723 -3.0424; 6.0958 -3.0510; 6.2133 -3.0937; 6.3307 -3.1365; 6.3542 -3.1450; 6.4717 -3.1878; 6.5892 -3.2305; 6.7066 -3.2733; 6.7301 -3.2818; 6.8476 -3.3246; 6.9650 -3.3674; 6.9885 -3.3759; 7.1060 -3.4187; 7.2235 -3.4614; 7.2469 -3.4700; 7.3644 -3.5127; 7.4819 -3.5555; 7.5054 -3.5469; 7.6228 -3.5897; 7.6463 -3.5811; 7.7638 -3.6239; 7.8812 -3.5811; 7.9987 -3.5384; 8.0222 -3.5298; 8.1397 -3.4871; 8.1631 -3.4785; 8.1866 -3.4700; 8.2101 -3.4614; 8.3276 -3.4187; 8.3511 -3.4101; 8.4685 -3.3674; 8.4920 -3.3588; 8.5155 -3.3503; 8.5390 -3.3417; 8.6565 -3.2989; 8.6608 -3.3236; 8.6733 -3.3452; 8.6858 -3.3669; 8.6983 -3.3885; 8.8158 -3.3458; 8.9333 -3.3030; 8.9458 -3.3247; 8.9583 -3.3463; 8.9708 -3.3680; 9.0333 -3.4762; 9.0958 -3.5845; 9.1915 -3.5041; 9.2873 -3.4238; 9.3830 -3.3434; 9.4455 -3.4517; 9.5080 -3.3434; 9.5705 -3.4517; 9.6205 -3.3651; 9.6971 -3.3008; 9.6798 -3.2023; 9.7423 -3.3106; 9.7923 -3.2240; 9.7749 -3.1255; 9.8374 -3.0172; 9.8499 -3.0389; 9.8624 -3.0605; 9.9124 -2.9739; 9.8907 -2.8508; 9.9032 -2.8725; 9.9157 -2.8941; 9.9782 -3.0024; 10.0282 -2.9158; 10.0782 -2.8292; 10.1282 -2.7426; 10.1907 -2.6343; 10.2032 -2.6560; 10.2157 -2.6776; 10.2282 -2.6993; 10.2782 -2.6127; 10.3282 -2.5261; 10.3907 -2.4178; 10.4032 -2.4395; 10.4157 -2.4611; 10.4782 -2.3529; 10.5407 -2.2446; 10.5532 -2.2663; 10.5657 -2.2879; 10.6282 -2.1797; 10.6907 -2.2879; 10.7407 -2.2013; 10.7907 -2.1147; 10.8407 -2.0281; 10.9032 -1.9199; 10.9157 -1.9415; 10.9282 -1.9632; 10.9907 -1.8549; 11.0532 -1.9632; 11.1032 -1.8766; 11.1532 -1.7900; 11.2157 -1.6817; 11.2782 -1.7900; 11.3282 -1.7033; 11.3782 -1.6167; 11.4282 -1.5301; 11.4907 -1.6384; 11.5407 -1.5518; 11.5907 -1.4652; 11.6407 -1.3786; 11.7032 -1.2703; 11.7157 -1.2920; 11.7282 -1.3136; 11.7782 -1.2270; 11.8282 -1.1404; 11.8407 -1.1621; 11.8532 -1.1404; 11.9032 -1.0538; 11.9657 -0.9456; 11.9782 -0.9672; 11.9907 -0.9889; 12.0532 -0.8806; 12.1157 -0.7724; 12.1282 -0.7940; 12.1907 -0.6858; 12.2032 -0.7074; 12.2657 -0.5992; 12.2782 -0.6208; 12.2907 -0.6425; 12.3532 -0.5342; 12.3657 -0.5559; 12.4282 -0.4476; 12.4407 -0.4693; 12.4532 -0.4909; 12.5157 -0.3827; 12.5282 -0.4043; 12.5407 -0.4260; 12.5907 -0.3394; 12.6532 -0.2311; 12.6657 -0.2528; 12.6782 -0.2744; 12.6907 -0.2528; 12.7407 -0.1662; 12.7532 -0.1878; 12.7657 -0.2095; 12.7782 -0.1878; 12.8282 -0.1012; 12.8907 0.0071; 12.9032 -0.0146; 12.9157 -0.0363; 12.9282 -0.0579; 12.9407 -0.0363; 13.0032 0.0720; 13.0157 0.0504; 13.0282 0.0720; 13.0907 0.1803; 13.1032 0.1586; 13.1157 0.1370; 13.1282 0.1586; 13.1907 0.2669; 13.2032 0.2452; 13.2157 0.2236; 13.2782 0.3318; 13.2907 0.3102; 13.3032 0.2885; 13.3657 0.3968; 13.3782 0.3751; 13.3907 0.3535; 13.4032 0.3751; 13.4657 0.4834; 13.4782 0.4617; 13.4907 0.4401; 13.5032 0.4617; 13.5657 0.5700; 13.5782 0.5483; 13.5907 0.5267; 13.6032 0.5483; 13.6657 0.6566; 13.6782 0.6349; 13.6907 0.6133; 13.7032 0.5916; 13.7157 0.6133; 13.7782 0.7215; 13.7907 0.6999; 13.8032 0.6782; 13.8157 0.6999; 13.8782 0.8081; 13.8907 0.7865; 13.9032 0.7648; 13.9157 0.7865; 13.9782 0.8947; 13.9907 0.8731; 14.0032 0.8514; 14.0157 0.8298; 14.0282 0.8081; 14.0407 0.8298; 14.1032 0.9380; 14.1157 0.9164; 14.1282 0.8947; 14.1407 0.8731; 14.1532 0.8947; 14.2157 1.0030; 14.2282 0.9813; 14.2407 0.9597; 14.2532 0.9380; 14.2657 0.9597; 14.3282 1.0679; 14.3407 1.0463; 14.3532 1.0246; 14.3657 1.0030
