# agents=10, pattern=S
1, -0.7639 -1.9223; -0.7404 -1.9138; -0.6230 -1.8710; -0.5055 -1.8283; -0.3881 -1.7855; -0.2706 -1.7428; -0.1531 -1.7000; -0.0357 -1.6573; 0.0818 -1.6145; 0.1993 -1.5717; 0.3167 -1.5290; 0.4342 -1.4862; 0.5516 -1.4435; 0.6691 -1.4007; 0.7866 -1.3580; 0.9040 -1.3152; 1.0215 -1.2725; 1.1389 -1.2297; 1.2564 -1.1870; 1.3739 -1.1442; 1.4913 -1.1015; 1.6088 -1.0587; 1.7263 -1.0160; 1.8437 -0.9732; 1.9612 -0.9305; 2.0786 -0.8877; 2.1961 -0.8450; 2.3136 -0.8022; 2.3605 -0.7851; 2.4075 -0.7680; 2.4545 -0.7509; 2.5015 -0.7338; 2.5485 -0.7167; 2.5955 -0.6996; 2.6425 -0.6825; 2.6894 -0.6654; 2.7364 -0.6483; 2.7834 -0.6312; 2.8304 -0.6141; 2.8774 -0.5970; 2.9244 -0.5799; 2.9713 -0.5628; 3.0183 -0.5457; 3.0653 -0.5286; 3.1123 -0.5115; 3.1593 -0.4944; 3.2063 -0.4773; 3.2533 -0.4602; 3.3002 -0.4431; 3.3472 -0.4260; 3.3942 -0.4089; 3.4412 -0.3918; 3.4882 -0.3747; 3.5352 -0.3576; 3.5821 -0.3405; 3.6291 -0.3234; 3.6761 -0.3063; 3.7231 -0.2892; 3.7701 -0.2721; 3.8171 -0.2550; 3.8641 -0.2379; 3.9110 -0.2208; 3.9580 -0.2037; 4.0050 -0.1866; 4.0520 -0.1695; 4.0990 -0.1524; 4.1460 -0.1353; 4.1929 -0.1182; 4.2399 -0.1011; 4.2869 -0.0840; 4.3339 -0.0669; 4.3809 -0.0498; 4.4279 -0.0327; 4.4749 -0.0156; 4.5218 0.0015; 4.5688 0.0186; 4.6158 0.0357; 4.6628 0.0528; 4.7098 0.0700; 4.7568 0.0871; 4.8037 0.1042; 4.8507 0.1213; 4.8977 0.1384; 4.9447 0.1555; 4.9917 0.1726; 5.0387 0.1897; 5.0857 0.2068; 5.1326 0.2239; 5.1796 0.2410; 5.2266 0.2581; 5.2736 0.2752; 5.3206 0.2923; 5.3676 0.3094; 5.4145 0.3265; 5.4615 0.3436; 5.5085 0.3607; 5.5555 0.3778; 5.6025 0.3949; 5.6495 0.4120; 5.6965 0.4291; 5.7434 0.4462; 5.7904 0.4633; 5.8374 0.4804; 5.8844 0.4975; 5.9314 0.5146; 5.9784 0.5317; 6.0253 0.5488; 6.0723 0.5659; 6.1193 0.5830; 6.1663 0.6001; 6.2133 0.6172; 6.2603 0.6343; 6.3073 0.6514; 6.3542 0.6685; 6.4012 0.6856; 6.4482 0.7027; 6.4952 0.7198; 6.5422 0.7369; 6.5892 0.7540; 6.6361 0.7711; 6.6831 0.7882; 6.7301 0.8053; 6.7771 0.8224; 6.8241 0.8395; 6.8711 0.8566; 6.9181 0.8737; 6.9650 0.8908; 7.0120 0.9079; 7.0590 0.9250; 7.1060 0.9421; 7.1530 0.9592; 7.2000 0.9763; 7.1913 1.0255; 7.2383 1.0426; 7.2296 1.0919; 7.2209 1.1411; 7.2122 1.1904; 7.2035 1.2396; 7.1949 1.2888; 7.1862 1.3381; 7.1775 1.3873; 7.1688 1.4366; 7.1601 1.4858; 7.1514 1.5350; 7.1428 1.5843; 7.1341 1.6335; 7.1254 1.6828; 7.1167 1.7320; 7.1080 1.7813; 7.0993 1.8305; 7.0907 1.8797; 7.0820 1.9290; 7.0733 1.9782; 7.0646 2.0275; 7.0559 2.0767; 7.0473 2.1259; 7.0386 2.1752; 7.0299 2.2244; 7.0212 2.2737; 7.0125 2.3229; 7.0038 2.3721; 6.9952 2.4214; 6.9865 2.4706; 6.9778 2.5199; 6.9691 2.5691; 6.9604 2.6183; 6.9517 2.6676; 6.9431 2.7168; 6.9344 2.7661; 6.9257 2.8153; 6.9170 2.8645; 6.9083 2.9138; 6.8997 2.9630; 6.8910 3.0123; 6.8823 3.0615; 6.8736 3.1107; 6.8649 3.1600; 6.8562 3.2092; 6.8476 3.2585; 6.8389 3.3077; 6.8302 3.3569; 6.8215 3.4062; 6.8128 3.4554; 6.8041 3.5047; 6.7955 3.5539; 6.7868 3.6031; 6.7781 3.6524; 6.7564 3.7755; 6.7347 3.8986; 6.7130 4.0217; 6.6913 4.1448; 6.6696 4.2679; 6.6479 4.3910; 6.6262 4.5141; 6.6044 4.6372; 6.5827 4.7603; 6.5610 4.8834; 6.5393 5.0065; 6.5176 5.1296; 6.4959 5.2527; 6.4334 5.3610; 6.3709 5.4692; 6.3084 5.5775; 6.2459 5.6857; 6.1834 5.7940; 6.1209 5.9022; 6.0584 6.0105; 5.9959 6.1187; 5.9334 6.2270; 5.8709 6.3352; 5.8084 6.4435; 5.7459 6.5517; 5.6834 6.6600; 5.6209 6.7682; 5.5584 6.8765; 5.4959 6.9847; 5.4334 7.0930; 5.3709 7.2013; 5.3084 7.3095; 5.2459 7.4178; 5.1834 7.5260; 5.1209 7.6343; 5.0584 7.7425; 4.9959 7.8508; 4.9334 7.9590; 4.8709 8.0673; 4.8084 8.1755; 4.7459 8.2838; 4.6834 8.3920; 4.6209 8.5003; 4.5584 8.6085; 4.4959 8.7168; 4.4334 8.8251; 4.3709 8.9333; 4.3084 9.0416; 4.2459 9.1498; 4.1834 9.2581; 4.1209 9.3663; 4.0584 9.4746; 3.9959 9.5828; 3.9334 9.6911; 3.8709 9.7993; 3.8084 9.9076; 3.7459 10.0158; 3.6834 10.1241; 3.6209 10.2323; 3.5584 10.3406; 3.4959 10.4489; 3.4334 10.5571; 3.3709 10.6654; 3.3084 10.7736; 3.2459 10.8819; 3.1834 10.9901; 3.1209 11.0984; 3.0584 11.2066; 2.9959 11.3149; 2.9334 11.4231; 2.8709 11.5314; 2.8084 11.6396; 2.7459 11.7479; 2.6834 11.8561; 2.6209 11.9644; 2.5584 12.0726; 2.4959 12.1809; 2.4334 12.2892; 2.3709 12.3974; 2.3084 12.5057; 2.2459 12.6139; 2.1834 12.7222; 2.1209 12.8304; 2.0584 12.9387; 1.9959 13.0469; 1.9334 13.1552; 1.8709 13.2634; 1.8084 13.3717; 1.7459 13.4799; 1.6834 13.5882; 1.6209 13.6964; 1.5584 13.8047; 1.4959 13.9130; 1.4334 14.0212; 1.3709 14.1295; 1.3084 14.2377; 1.2459 14.3460; 1.1834 14.4542; 1.1209 14.5625; 1.0584 14.6707; 0.9959 14.7790; 0.9334 14.8872; 0.8709 14.9955; 0.8084 15.1037; 0.7459 15.2120; 0.7242 15.0889; 0.7025 14.9658; 0.6808 14.8427; 0.6183 14.9509; 0.5966 14.8278; 0.5749 14.7047; 0.5532 14.5816; 0.5315 14.4585; 0.4690 14.5668; 0.4473 14.4437; 0.4256 14.3206; 0.4039 14.1975; 0.3822 14.0744; 0.3604 13.9513; 0.3387 13.8282; 0.2762 13.9364; 0.2137 14.0447; 0.1920 13.9216; 0.1703 13.7985; 0.1486 13.6754; 0.1269 13.5523; 0.1052 13.4292; 0.0427 13.5374; 0.0210 13.4143; -0.0007 13.2912; -0.0632 13.3995; -0.0849 13.2764; -0.1066 13.1533; -0.1283 13.0302; -0.1500 12.9071; -0.2125 13.0153; -0.2750 13.1236; -0.2967 13.0005; -0.3184 12.8774; -0.3401 12.7543; -0.3618 12.6312; -0.3836 12.5081; -0.4053 12.3850; -0.4678 12.4932; -0.5303 12.6015; -0.5520 12.4784; -0.5737 12.3553; -0.5954 12.2322; -0.6171 12.1091; -0.6388 11.9860; -0.6605 11.8629; -0.6822 11.7398; -0.7447 11.8480; -0.7664 11.7249; -0.7881 11.6018; -0.8098 11.4787; -0.8315 11.3556; -0.8532 11.2325; -0.8749 11.1094; -0.8966 10.9863; -0.9184 10.8632; -0.9401 10.7401; -1.0026 10.8484
2, -0.7639 -1.9223; -0.6700 -1.8881; -0.5525 -1.8454; -0.4350 -1.8026; -0.3176 -1.7599; -0.2001 -1.7171; -0.0827 -1.6744; 0.0348 -1.6316; 0.1523 -1.5888; 0.2697 -1.5461; 0.3872 -1.5033; 0.5047 -1.4606; 0.6221 -1.4178; 0.7396 -1.3751; 0.8570 -1.3323; 0.9745 -1.2896; 1.0920 -1.2468; 1.2094 -1.2041; 1.3269 -1.1613; 1.4443 -1.1186; 1.5618 -1.0758; 1.6793 -1.0331; 1.7967 -0.9903; 1.9142 -0.9476; 1.9612 -0.9305; 2.0082 -0.9134; 2.0551 -0.8963; 2.1021 -0.8792; 2.1491 -0.8621; 2.1961 -0.8450; 2.2431 -0.8279; 2.2901 -0.8108; 2.3371 -0.7936; 2.3840 -0.7765; 2.4310 -0.7594; 2.4780 -0.7423; 2.5250 -0.7252; 2.5720 -0.7081; 2.6190 -0.6910; 2.6659 -0.6739; 2.7129 -0.6568; 2.7599 -0.6397; 2.8069 -0.6226; 2.8539 -0.6055; 2.9009 -0.5884; 2.9479 -0.5713; 2.9948 -0.5542; 3.0418 -0.5371; 3.0888 -0.5200; 3.1358 -0.5029; 3.1828 -0.4858; 3.2298 -0.4687; 3.2767 -0.4516; 3.3237 -0.4345; 3.3707 -0.4174; 3.4177 -0.4003; 3.4647 -0.3832; 3.5117 -0.3661; 3.5587 -0.3490; 3.6056 -0.3319; 3.6526 -0.3148; 3.6996 -0.2977; 3.7466 -0.2806; 3.7936 -0.2635; 3.8406 -0.2464; 3.8875 -0.2293; 3.9345 -0.2122; 3.9815 -0.1951; 4.0285 -0.1780; 4.0755 -0.1609; 4.1225 -0.1438; 4.1695 -0.1267; 4.2164 -0.1096; 4.2634 -0.0925; 4.3104 -0.0754; 4.3574 -0.0583; 4.4044 -0.0412; 4.4514 -0.0241; 4.4983 -0.0070; 4.5453 0.0101; 4.5923 0.0272; 4.6393 0.0443; 4.6863 0.0614; 4.7333 0.0785; 4.7803 0.0956; 4.8272 0.1127; 4.8742 0.1298; 4.9212 0.1469; 4.9682 0.1640; 5.0152 0.1811; 5.0622 0.1982; 5.1091 0.2153; 5.1561 0.2324; 5.2031 0.2495; 5.2501 0.2666; 5.2971 0.2837; 5.3441 0.3008; 5.3911 0.3179; 5.4380 0.3350; 5.4850 0.3521; 5.5320 0.3692; 5.5790 0.3863; 5.6260 0.4034; 5.6730 0.4205; 5.7199 0.4376; 5.7669 0.4547; 5.8139 0.4718; 5.8609 0.4889; 5.9079 0.5060; 5.9549 0.5231; 6.0019 0.5402; 6.0488 0.5573; 6.0958 0.5744; 6.1428 0.5915; 6.1898 0.6086; 6.2368 0.6257; 6.2838 0.6428; 6.3307 0.6599; 6.3777 0.6770; 6.4247 0.6941; 6.4717 0.7112; 6.5187 0.7283; 6.5657 0.7454; 6.6127 0.7625; 6.6596 0.7796; 6.7066 0.7967; 6.7536 0.8138; 6.8006 0.8309; 6.8476 0.8480; 6.8946 0.8651; 6.8859 0.9144; 6.9329 0.9315; 6.9242 0.9807; 6.9155 1.0300; 6.9068 1.0792; 6.8981 1.1285; 6.8895 1.1777; 6.8808 1.2269; 6.8721 1.2762; 6.8634 1.3254; 6.8547 1.3747; 6.8460 1.4239; 6.8374 1.4731; 6.8287 1.5224; 6.8200 1.5716; 6.8113 1.6209; 6.8026 1.6701; 6.7939 1.7193; 6.7853 1.7686; 6.7766 1.8178; 6.7679 1.8671; 6.7592 1.9163; 6.7505 1.9655; 6.7419 2.0148; 6.7332 2.0640; 6.7245 2.1133; 6.7158 2.1625; 6.7071 2.2117; 6.6984 2.2610; 6.6898 2.3102; 6.6811 2.3595; 6.6724 2.4087; 6.6637 2.4579; 6.6550 2.5072; 6.6463 2.5564; 6.6377 2.6057; 6.6290 2.6549; 6.6203 2.7041; 6.6116 2.7534; 6.6029 2.8026; 6.5943 2.8519; 6.5856 2.9011; 6.5769 2.9503; 6.5682 2.9996; 6.5595 3.0488; 6.5508 3.0981; 6.5422 3.1473; 6.5335 3.1965; 6.5248 3.2458; 6.5161 3.2950; 6.4944 3.4181; 6.4727 3.5412; 6.4510 3.6643; 6.4293 3.7874; 6.4076 3.9105; 6.3859 4.0336; 6.3642 4.1567; 6.3425 4.2798; 6.3208 4.4029; 6.2990 4.5260; 6.2773 4.6491; 6.2556 4.7722; 6.1931 4.8805; 6.1306 4.9887; 6.0681 5.0970; 6.0056 5.2053; 5.9431 5.3135; 5.8806 5.4218; 5.8181 5.5300; 5.7556 5.6383; 5.6931 5.7465; 5.6306 5.8548; 5.5681 5.9630; 5.5056 6.0713; 5.4431 6.1795; 5.3806 6.2878; 5.3181 6.3960; 5.2556 6.5043; 5.1931 6.6125; 5.1306 6.7208; 5.0681 6.8290; 5.0056 6.9373; 4.9431 7.0456; 4.8806 7.1538; 4.8181 7.2621; 4.7556 7.3703; 4.6931 7.4786; 4.6306 7.5868; 4.5681 7.6951; 4.5056 7.8033; 4.4431 7.9116; 4.3806 8.0198; 4.3181 8.1281; 4.2556 8.2363; 4.1931 8.3446; 4.1306 8.4528; 4.0681 8.5611; 4.0056 8.6694; 3.9431 8.7776; 3.8806 8.8859; 3.8181 8.9941; 3.7556 9.1024; 3.6931 9.2106; 3.6306 9.3189; 3.5681 9.4271; 3.5056 9.5354; 3.4431 9.6436; 3.3806 9.7519; 3.3181 9.8601; 3.2556 9.9684; 3.1931 10.0766; 3.1306 10.1849; 3.0681 10.2932; 3.0056 10.4014; 2.9431 10.5097; 2.8806 10.6179; 2.8181 10.7262; 2.7556 10.8344; 2.6931 10.9427; 2.6306 11.0509; 2.5681 11.1592; 2.5056 11.2674; 2.4431 11.3757; 2.3806 11.4839; 2.3181 11.5922; 2.2556 11.7004; 2.1931 11.8087; 2.1306 11.9169; 2.0681 12.0252; 2.0056 12.1335; 1.9431 12.2417; 1.8806 12.3500; 1.8181 12.4582; 1.7556 12.5665; 1.6931 12.6747; 1.6306 12.7830; 1.5681 12.8912; 1.5056 12.9995; 1.4431 13.1077; 1.3806 13.2160; 1.3181 13.3242; 1.2556 13.4325; 1.1931 13.5407; 1.1306 13.6490; 1.0681 13.7573; 1.0056 13.8655; 0.9431 13.9738; 0.8806 14.0820; 0.8181 14.1903; 0.7556 14.2985; 0.6931 14.4068; 0.6306 14.5150; 0.5681 14.6233; 0.5056 14.7315; 0.4431 14.8398; 0.3806 14.9480; 0.3181 15.0563; 0.2556 15.1645; 0.1931 15.2728; 0.1306 15.3811; 0.1089 15.2579; 0.0872 15.1348; 0.0655 15.0117; 0.0030 15.1200; -0.0595 15.2283; -0.1220 15.3365; -0.1437 15.2134; -0.1654 15.0903; -0.1871 14.9672; -0.2088 14.8441; -0.2305 14.7210; -0.2930 14.8293; -0.3147 14.7062; -0.3364 14.5831; -0.3581 14.4600; -0.3798 14.3369; -0.4423 14.4451; -0.5048 14.5534; -0.5265 14.4303; -0.5482 14.3072; -0.5700 14.1841; -0.6325 14.2923; -0.6950 14.4006; -0.7167 14.2775; -0.7384 14.1544; -0.7601 14.0313; -0.7818 13.9082; -0.8035 13.7851; -0.8660 13.8933; -0.9285 14.0016; -0.9502 13.8785; -0.9719 13.7554; -0.9936 13.6323; -1.0153 13.5092; -1.0370 13.3861; -1.0995 13.4943; -1.1620 13.6026; -1.1837 13.4795; -1.2054 13.3564; -1.2271 13.2333; -1.2488 13.1102; -1.3113 13.2184; -1.3738 13.3267; -1.3955 13.2036; -1.4172 13.0805; -1.4390 12.9574; -1.4607 12.8343; -1.4824 12.7112; -1.5041 12.5881; -1.5258 12.4650; -1.5475 12.3419; -1.5692 12.2188; -1.6317 12.3270; -1.6534 12.2039; -1.6751 12.0808; -1.6968 11.9577; -1.7185 11.8346; -1.7402 11.7115; -1.7619 11.5884; -1.7836 11.4653
3, -0.7639 -1.9223; -0.6700 -1.8881; -0.5525 -1.8454; -0.4350 -1.8026; -0.3176 -1.7599; -0.2001 -1.7171; -0.0827 -1.6744; 0.0348 -1.6316; 0.1523 -1.5888; 0.2697 -1.5461; 0.3872 -1.5033; 0.5047 -1.4606; 0.6221 -1.4178; 0.7396 -1.3751; 0.8570 -1.3323; 0.9745 -1.2896; 1.0920 -1.2468; 1.2094 -1.2041; 1.3269 -1.1613; 1.4443 -1.1186; 1.5618 -1.0758; 1.6793 -1.0331; 1.7967 -0.9903; 1.9142 -0.9476; 2.0317 -0.9048; 2.1491 -0.8621; 2.2666 -0.8193; 2.3136 -0.8022; 2.3605 -0.7851; 2.4075 -0.7680; 2.4545 -0.7509; 2.5015 -0.7338; 2.5485 -0.7167; 2.5955 -0.6996; 2.6425 -0.6825; 2.6894 -0.6654; 2.7364 -0.6483; 2.7834 -0.6312; 2.8304 -0.6141; 2.8774 -0.5970; 2.9244 -0.5799; 2.9713 -0.5628; 3.0183 -0.5457; 3.0653 -0.5286; 3.1123 -0.5115; 3.1593 -0.4944; 3.2063 -0.4773; 3.2533 -0.4602; 3.3002 -0.4431; 3.3472 -0.4260; 3.3942 -0.4089; 3.4412 -0.3918; 3.4882 -0.3747; 3.5352 -0.3576; 3.5821 -0.3405; 3.6291 -0.3234; 3.6761 -0.3063; 3.7231 -0.2892; 3.7701 -0.2721; 3.8171 -0.2550; 3.8641 -0.2379; 3.9110 -0.2208; 3.9580 -0.2037; 4.0050 -0.1866; 4.0520 -0.1695; 4.0990 -0.1524; 4.1460 -0.1353; 4.1929 -0.1182; 4.2399 -0.1011; 4.2869 -0.0840; 4.3339 -0.0669; 4.3809 -0.0498; 4.4279 -0.0327; 4.4749 -0.0156; 4.5218 0.0015; 4.5688 0.0186; 4.6158 0.0357; 4.6628 0.0528; 4.7098 0.0700; 4.7568 0.0871; 4.8037 0.1042; 4.8507 0.1213; 4.8977 0.1384; 4.9447 0.1555; 4.9917 0.1726; 5.0387 0.1897; 5.0857 0.2068; 5.1326 0.2239; 5.1796 0.2410; 5.2266 0.2581; 5.2736 0.2752; 5.3206 0.2923; 5.3676 0.3094; 5.4145 0.3265; 5.4615 0.3436; 5.5085 0.3607; 5.5555 0.3778; 5.6025 0.3949; 5.6495 0.4120; 5.6965 0.4291; 5.7434 0.4462; 5.7904 0.4633; 5.8374 0.4804; 5.8844 0.4975; 5.9314 0.5146; 5.9784 0.5317; 6.0253 0.5488; 6.0723 0.5659; 6.1193 0.5830; 6.1663 0.6001; 6.2133 0.6172; 6.2603 0.6343; 6.3073 0.6514; 6.3542 0.6685; 6.4012 0.6856; 6.4482 0.7027; 6.4952 0.7198; 6.5422 0.7369; 6.5892 0.7540; 6.6361 0.7711; 6.6831 0.7882; 6.7301 0.8053; 6.7771 0.8224; 6.8241 0.8395; 6.8711 0.8566; 6.9181 0.8737; 6.9650 0.8908; 7.0120 0.9079; 7.0590 0.9250; 7.0503 0.9742; 7.0973 0.9913; 7.0886 1.0406; 7.0799 1.0898; 7.0713 1.1391; 7.0626 1.1883; 7.0539 1.2375; 7.0452 1.2868; 7.0365 1.3360; 7.0279 1.3853; 7.0192 1.4345; 7.0105 1.4837; 7.0018 1.5330; 6.9931 1.5822; 6.9844 1.6315; 6.9758 1.6807; 6.9671 1.7299; 6.9584 1.7792; 6.9497 1.8284; 6.9410 1.8777; 6.9323 1.9269; 6.9237 1.9762; 6.9150 2.0254; 6.9063 2.0746; 6.8976 2.1239; 6.8889 2.1731; 6.8803 2.2224; 6.8716 2.2716; 6.8629 2.3208; 6.8542 2.3701; 6.8455 2.4193; 6.8368 2.4686; 6.8282 2.5178; 6.8195 2.5670; 6.8108 2.6163; 6.8021 2.6655; 6.7934 2.7148; 6.7847 2.7640; 6.7761 2.8132; 6.7674 2.8625; 6.7587 2.9117; 6.7500 2.9610; 6.7413 3.0102; 6.7327 3.0594; 6.7240 3.1087; 6.7023 3.2318; 6.6806 3.3549; 6.6588 3.4780; 6.6371 3.6011; 6.6154 3.7242; 6.5937 3.8473; 6.5720 3.9704; 6.5503 4.0935; 6.5286 4.2166; 6.5069 4.3397; 6.4852 4.4628; 6.4227 4.5710; 6.3602 4.6793; 6.2977 4.7875; 6.2352 4.8958; 6.1727 5.0041; 6.1102 5.1123; 6.0477 5.2206; 5.9852 5.3288; 5.9227 5.4371; 5.8602 5.5453; 5.7977 5.6536; 5.7352 5.7618; 5.6727 5.8701; 5.6102 5.9783; 5.5477 6.0866; 5.4852 6.1948; 5.4227 6.3031; 5.3602 6.4113; 5.2977 6.5196; 5.2352 6.6279; 5.1727 6.7361; 5.1102 6.8444; 5.0477 6.9526; 4.9852 7.0609; 4.9227 7.1691; 4.8602 7.2774; 4.7977 7.3856; 4.7352 7.4939; 4.6727 7.6021; 4.6102 7.7104; 4.5477 7.8186; 4.4852 7.9269; 4.4227 8.0351; 4.3602 8.1434; 4.2977 8.2517; 4.2352 8.3599; 4.1727 8.4682; 4.1102 8.5764; 4.0477 8.6847; 3.9852 8.7929; 3.9227 8.9012; 3.8602 9.0094; 3.7977 9.1177; 3.7352 9.2259; 3.6727 9.3342; 3.6102 9.4424; 3.5477 9.5507; 3.4852 9.6589; 3.4227 9.7672; 3.3602 9.8754; 3.2977 9.9837; 3.2352 10.0920; 3.1727 10.2002; 3.1102 10.3085; 3.0477 10.4167; 2.9852 10.5250; 2.9227 10.6332; 2.8602 10.7415; 2.7977 10.8497; 2.7352 10.9580; 2.6727 11.0662; 2.6102 11.1745; 2.5477 11.2827; 2.4852 11.3910; 2.4227 11.4992; 2.3602 11.6075; 2.2977 11.7158; 2.2352 11.8240; 2.1727 11.9323; 2.1102 12.0405; 2.0477 12.1488; 1.9852 12.2570; 1.9227 12.3653; 1.8602 12.4735; 1.7977 12.5818; 1.7352 12.6900; 1.6727 12.7983; 1.6102 12.9065; 1.5477 13.0148; 1.4852 13.1230; 1.4227 13.2313; 1.3602 13.3396; 1.2977 13.4478; 1.2352 13.5561; 1.1727 13.6643; 1.1102 13.7726; 1.0477 13.8808; 0.9852 13.9891; 0.9227 14.0973; 0.8602 14.2056; 0.8385 14.0825; 0.8168 13.9594; 0.7951 13.8363; 0.7734 13.7132; 0.7517 13.5901; 0.7300 13.4670; 0.6675 13.5752; 0.6458 13.4521; 0.6241 13.3290; 0.5616 13.4373; 0.5398 13.3142; 0.5181 13.1911; 0.4964 13.0680; 0.4339 13.1762; 0.3714 13.2845; 0.3497 13.1614; 0.3280 13.0383; 0.3063 12.9152; 0.2846 12.7921; 0.2629 12.6690; 0.2412 12.5459; 0.2195 12.4228; 0.1978 12.2997; 0.1761 12.1766; 0.1544 12.0535; 0.0919 12.1617; 0.0702 12.0386; 0.0485 11.9155; 0.0268 11.7924; -0.0357 11.9007; -0.0574 11.7776; -0.0792 11.6545; -0.1417 11.7627; -0.1634 11.6396; -0.2259 11.7479; -0.2476 11.6248; -0.2693 11.5017; -0.3318 11.6099; -0.3943 11.7182; -0.4160 11.5951; -0.4377 11.4720; -0.4594 11.3489; -0.4811 11.2258; -0.5028 11.1027; -0.5245 10.9796; -0.5870 11.0878; -0.6087 10.9647; -0.6304 10.8416; -0.6521 10.7185; -0.7146 10.8268; -0.7771 10.9350; -0.7988 10.8119; -0.8205 10.6888; -0.8422 10.5657; -0.9047 10.6740; -0.9265 10.5509; -0.9482 10.4278; -0.9699 10.3047; -0.9916 10.1816; -1.0541 10.2898; -1.0758 10.1667; -1.0975 10.0436; -1.1192 9.9205; -1.1409 9.7974; -1.1626 9.6743; -1.1843 9.5512; -1.2060 9.4281; -1.2685 9.5364; -1.2902 9.4133; -1.3119 9.2902; -1.3744 9.3984; -1.3961 9.2753; -1.4178 9.1522; -1.4803 9.2605; -1.5020 9.1374
