# agents=10, pattern=S
1, -6.6180 -0.0202; -6.5680 -0.0202; -6.5055 -0.1285; -6.4838 -0.0054; -6.4621 0.1177; -6.4404 0.2408; -6.4187 0.3639; -6.3970 0.4870; -6.3753 0.6101; -6.3536 0.7333; -6.3319 0.8564; -6.3102 0.9795; -6.2885 1.1026; -6.3102 1.2257; -6.3319 1.3488; -6.3536 1.4719; -6.3319 1.5950; -6.3536 1.7181; -6.3753 1.8412; -6.3970 1.9643; -6.4187 2.0874; -6.4404 2.2105; -6.4621 2.3336; -6.4838 2.4567; -6.5055 2.5798; -6.5272 2.7029; -6.5489 2.8260; -6.5707 2.9491; -6.5924 3.0722; -6.6141 3.1953; -6.6358 3.3184; -6.6575 3.4415; -6.6792 3.5646; -6.7009 3.6877; -6.7226 3.8108; -6.7443 3.9339; -6.7660 4.0570; -6.7877 4.1801; -6.8094 4.3032; -6.8311 4.4263; -6.8528 4.5494; -6.8745 4.6725; -6.8962 4.7956; -6.9179 4.9187; -6.9397 5.0418; -6.9614 5.1649; -6.9831 5.2880; -7.0048 5.4111; -7.0265 5.5342; -7.0482 5.6573; -7.0699 5.7804; -7.0916 5.9035; -7.1133 6.0266; -7.1350 6.1497; -7.1524 6.2482; -7.1697 6.3467; -7.1871 6.4451; -7.2045 6.5436; -7.2218 6.6421; -7.2392 6.7406; -7.2566 6.8391; -7.2739 6.9375; -7.2913 7.0360; -7.3087 7.1345; -7.3260 7.2330; -7.3434 7.3315; -7.3608 7.4299; -7.3781 7.5284; -7.3955 7.6269; -7.4128 7.7254; -7.4302 7.8239; -7.4476 7.9223; -7.4649 8.0208; -7.4823 8.1193; -7.4997 8.2178; -7.5170 8.3163; -7.5344 8.4148; -7.5518 8.5132; -7.5691 8.6117; -7.5865 8.7102; -7.6039 8.8087; -7.6212 8.9072; -7.6386 9.0056; -7.6560 9.1041; -7.6733 9.2026; -7.6907 9.3011; -7.7080 9.3996; -7.7254 9.4980; -7.7428 9.5965; -7.7601 9.6950; -7.7775 9.7935; -7.7949 9.8920; -7.8122 9.9904; -7.8296 10.0889; -7.8470 10.1874; -7.8643 10.2859; -7.8817 10.3844; -7.8991 10.4828; -7.9164 10.5813; -7.9338 10.6798; -7.9512 10.7783; -7.9685 10.8768; -7.9859 10.9753; -8.0032 11.0737; -8.0206 11.1722; -8.0380 11.2707; -8.0553 11.3692; -8.0727 11.4677; -8.0901 11.5661; -8.1074 11.6646; -8.1248 11.7631; -8.1422 11.8616; -8.1595 11.9601; -8.1769 12.0585; -8.1943 12.1570; -8.2116 12.2555; -8.2290 12.3540; -8.2464 12.4525; -8.2637 12.5509; -8.2811 12.6494; -8.2985 12.7479; -8.3202 12.8710; -8.3419 12.9941; -8.3636 13.1172; -8.3853 13.2403; -8.4070 13.3634; -8.4287 13.4865; -8.4504 13.6096; -8.4721 13.7327; -8.4938 13.8558; -8.5155 13.9789; -8.5372 14.1020; -8.5589 14.2251; -8.5806 14.3482; -8.6023 14.4713; -8.6240 14.5944; -8.6457 14.7175; -8.6675 14.8406; -8.6892 14.9637; -8.7109 15.0868; -8.7326 15.2099; -8.7543 15.3330; -8.7760 15.4561; -8.7977 15.5792; -8.8194 15.7023; -8.8411 15.8254; -8.8628 15.9485; -8.8845 16.0716; -8.9062 16.1947; -8.9279 16.3178; -8.9496 16.4409; -8.9713 16.5640; -8.9930 16.6871; -9.0148 16.8102; -9.0365 16.9333; -9.0582 17.0564; -9.0799 17.1795; -9.1016 17.3026; -9.1233 17.4257; -9.1450 17.5488; -9.1667 17.6719; -9.1884 17.7950; -9.2101 17.9181; -9.2318 18.0412; -9.2535 18.1643; -9.2752 18.2874; -9.2969 18.4105; -9.3186 18.5336; -9.3403 18.6568; -9.3620 18.7799; -9.3838 18.9030; -9.2663 18.8602; -9.1488 18.8174; -9.1705 18.9405; -9.1922 19.0637; -9.2139 19.1868; -9.2357 19.3099; -9.2574 19.4330; -9.2791 19.5561; -9.3008 19.6792; -9.3225 19.8023; -9.3442 19.9254; -9.3659 20.0485; -9.2484 20.0057; -9.1310 19.9630; -9.1527 20.0861; -9.1744 20.2092; -9.1961 20.3323; -9.2178 20.4554; -9.2395 20.5785; -9.1220 20.5357; -9.0046 20.4930; -8.8871 20.4502; -8.7697 20.4074; -8.6522 20.3647; -8.5347 20.3219; -8.4173 20.2792; -8.2998 20.2364; -8.1823 20.1937; -8.0649 20.1509; -7.9474 20.1082; -7.8300 20.0654; -7.7125 20.0227; -7.5950 19.9799; -7.4776 19.9372; -7.3601 19.8944; -7.2426 19.8517; -7.1252 19.8089; -7.0077 19.7662; -6.8903 19.7234; -6.7728 19.6807; -6.6553 19.6379; -6.5379 19.5951; -6.4204 19.5524; -6.3030 19.5096; -6.1855 19.4669; -6.0680 19.4241; -5.9506 19.3814; -5.8331 19.3386; -5.7156 19.2959; -5.5982 19.2531; -5.4807 19.2104; -5.3633 19.1676; -5.2458 19.1249; -5.1283 19.0821; -5.0109 19.0394; -4.8934 18.9966; -4.7760 18.9539; -4.6585 18.9111; -4.5410 18.8684; -4.4236 18.8256; -4.3061 18.7829; -4.1886 18.7401; -4.0712 18.6973; -3.9537 18.6546; -3.8363 18.6118; -3.7188 18.5691; -3.6013 18.5263; -3.4839 18.4836; -3.3664 18.4408; -3.2490 18.3981; -3.1315 18.3553; -3.0140 18.3126; -2.8966 18.2698; -2.7791 18.2271; -2.6616 18.1843; -2.5442 18.1416; -2.4267 18.0988; -2.3093 18.0561; -2.1918 18.0133; -2.0743 17.9706; -1.9569 17.9278; -1.8394 17.8850; -1.7220 17.8423; -1.6045 17.7995; -1.4870 17.7568; -1.3696 17.7140; -1.2521 17.6713; -1.1346 17.6285; -1.0172 17.5858; -0.8997 17.5430; -0.7823 17.5003; -0.6648 17.4575; -0.5473 17.4148; -0.4299 17.3720; -0.3124 17.3293; -0.1950 17.2865; -0.0775 17.2438; 0.0400 17.2010; 0.1574 17.1583; 0.2749 17.1155; 0.3924 17.0728; 0.5098 17.0300; 0.6273 16.9872; 0.7447 16.9445; 0.8622 16.9017; 0.9797 16.8590; 1.0971 16.8162; 1.2146 16.7735; 1.3320 16.7307; 1.4495 16.6880; 1.5670 16.6452; 1.6844 16.6025; 1.8019 16.5597; 1.9194 16.5170; 2.0368 16.4742; 2.1543 16.4315; 2.2717 16.3887; 2.3892 16.3460; 2.5067 16.3032; 2.6241 16.2605; 2.7416 16.2177; 2.8590 16.1749; 2.9765 16.1322; 3.0940 16.0894; 3.2114 16.0467; 3.3289 16.0039; 3.4464 15.9612; 3.5638 15.9184; 3.6813 15.8757; 3.7987 15.8329; 3.9162 15.7902; 4.0337 15.7474; 4.1511 15.7047; 4.2686 15.6619; 4.2469 15.5388; 4.2252 15.4157; 4.2035 15.2926; 4.1818 15.1695; 4.1601 15.0464; 4.1383 14.9233; 4.2558 14.8806; 4.2341 14.7575; 4.2124 14.6344; 4.1907 14.5113; 4.1690 14.3882; 4.1473 14.2651; 4.1256 14.1420; 4.1039 14.0189; 4.0822 13.8958; 4.1996 13.8530; 4.1779 13.7299; 4.1562 13.6068; 4.1345 13.4837; 4.1128 13.3606; 4.0911 13.2375; 4.0694 13.1144; 4.0477 12.9913; 4.0260 12.8682; 4.1434 12.8254; 4.1217 12.7023; 4.1000 12.5792; 4.0783 12.4561; 4.0566 12.3330; 4.0349 12.2099; 4.0132 12.0868; 3.9915 11.9637; 4.1090 11.9210; 4.0873 11.7979; 4.0655 11.6748; 4.0438 11.5517; 3.9481 11.4713; 4.0655 11.4286; 4.1830 11.3858; 4.1613 11.2627; 4.0655 11.1824; 4.1830 11.1396; 4.0873 11.0593; 3.9915 10.9789; 4.1090 10.9362
2, -6.6180 -0.0202; -6.5680 -0.0202; -6.4506 -0.0630; -6.3331 -0.1057; -6.2156 -0.1485; -6.0982 -0.1912; -5.9807 -0.2340; -5.8633 -0.2767; -5.7458 -0.3195; -5.6283 -0.3622; -5.5109 -0.4050; -5.3934 -0.4477; -5.2760 -0.4905; -5.1585 -0.5332; -5.0410 -0.5760; -4.9471 -0.6102; -4.8531 -0.6444; -4.7591 -0.6786; -4.6652 -0.7128; -4.5712 -0.7470; -4.4772 -0.7812; -4.3832 -0.8154; -4.2893 -0.8496; -4.1953 -0.8838; -4.2127 -0.7853; -4.1187 -0.8195; -4.1361 -0.7210; -4.0421 -0.7552; -4.0595 -0.6568; -3.9655 -0.6910; -3.9829 -0.5925; -3.8889 -0.6267; -3.9063 -0.5282; -3.9236 -0.4297; -3.9410 -0.3312; -3.9584 -0.2328; -3.9757 -0.1343; -3.9931 -0.0358; -4.0104 0.0627; -4.0278 0.1612; -4.0452 0.2596; -4.0625 0.3581; -4.0799 0.4566; -4.0973 0.5551; -4.1146 0.6536; -4.1320 0.7520; -4.1494 0.8505; -4.1667 0.9490; -4.1841 1.0475; -4.2015 1.1460; -4.2188 1.2444; -4.2362 1.3429; -4.2536 1.4414; -4.2709 1.5399; -4.2883 1.6384; -4.3056 1.7368; -4.3230 1.8353; -4.3404 1.9338; -4.3577 2.0323; -4.3751 2.1308; -4.3925 2.2293; -4.4098 2.3277; -4.4272 2.4262; -4.4446 2.5247; -4.4619 2.6232; -4.4793 2.7217; -4.4967 2.8201; -4.5140 2.9186; -4.5314 3.0171; -4.5488 3.1156; -4.5661 3.2141; -4.5835 3.3125; -4.6009 3.4110; -4.6182 3.5095; -4.6356 3.6080; -4.6529 3.7065; -4.6703 3.8049; -4.6877 3.9034; -4.7050 4.0019; -4.7224 4.1004; -4.7398 4.1989; -4.7571 4.2973; -4.7745 4.3958; -4.7919 4.4943; -4.8092 4.5928; -4.8266 4.6913; -4.8440 4.7898; -4.8613 4.8882; -4.8787 4.9867; -4.7612 4.9440; -4.7829 5.0671; -4.6655 5.0243; -4.6872 5.1474; -4.5697 5.1047; -4.5914 5.2278; -4.4740 5.1850; -4.4957 5.3081; -4.3782 5.2654; -4.3999 5.3885; -4.2824 5.3457; -4.3042 5.4688; -4.1867 5.4261; -4.2084 5.5492; -4.2301 5.6723; -4.2518 5.7954; -4.2735 5.9185; -4.2952 6.0416; -4.3169 6.1647; -4.3386 6.2878; -4.3603 6.4109; -4.3820 6.5340; -4.2646 6.4912; -4.2863 6.6143; -4.3080 6.7374; -4.3297 6.8605; -4.3514 6.9836; -4.3731 7.1067; -4.3948 7.2298; -4.4165 7.3529; -4.4382 7.4760; -4.4599 7.5991; -4.4816 7.7222; -4.3642 7.6795; -4.3859 7.8026; -4.4076 7.9257; -4.4293 8.0488; -4.4510 8.1719; -4.4727 8.2950; -4.4944 8.4181; -4.5161 8.5412; -4.5378 8.6643; -4.5595 8.7874; -4.5812 8.9105; -4.6029 9.0336; -4.6247 9.1567; -4.6464 9.2798; -4.6681 9.4029; -4.5506 9.3601; -4.5723 9.4832; -4.5940 9.6063; -4.6157 9.7294; -4.4983 9.6867; -4.5200 9.8098; -4.4025 9.7670; -4.2850 9.7243; -4.1676 9.6815; -4.0501 9.6388; -3.9327 9.5960; -3.8152 9.5533; -3.6977 9.5105; -3.5803 9.4678; -3.4628 9.4250; -3.3454 9.3823; -3.2279 9.3395; -3.1104 9.2967; -2.9930 9.2540; -2.8755 9.2112; -2.7580 9.1685; -2.6406 9.1257; -2.5231 9.0830; -2.4057 9.0402; -2.2882 8.9975; -2.1707 8.9547; -2.0533 8.9120; -1.9358 8.8692; -1.8184 8.8265; -1.7009 8.7837; -1.5834 8.7410; -1.4660 8.6982; -1.3485 8.6555; -1.2310 8.6127; -1.1136 8.5700; -0.9961 8.5272; -0.8787 8.4845; -0.7612 8.4417; -0.6437 8.3989; -0.5263 8.3562; -0.4088 8.3134; -0.2914 8.2707; -0.1739 8.2279; -0.0564 8.1852; 0.0610 8.1424; 0.1785 8.0997; 0.2960 8.0569; 0.4134 8.0142; 0.5309 7.9714; 0.6483 7.9287; 0.7658 7.8859; 0.8833 7.8432; 1.0007 7.8004; 1.1182 7.7577; 1.2356 7.7149; 1.3531 7.6722; 1.4706 7.6294; 1.5880 7.5866; 1.7055 7.5439; 1.8230 7.5011; 1.9404 7.4584; 2.0579 7.4156; 2.1753 7.3729; 2.2928 7.3301; 2.4103 7.2874; 2.5277 7.2446; 2.6452 7.2019; 2.7626 7.1591; 2.8801 7.1164; 2.9976 7.0736; 3.1150 7.0309; 3.2325 6.9881; 3.3500 6.9454; 3.4674 6.9026; 3.5849 6.8599; 3.6788 6.8257; 3.7728 6.7915; 3.8668 6.7572; 3.9608 6.7230; 3.8842 6.6588; 3.9842 6.6588; 4.0842 6.6588; 4.1842 6.6588; 4.2842 6.6588; 4.3842 6.6588; 4.4842 6.6588; 4.5842 6.6588; 4.6842 6.6588; 4.7842 6.6588; 4.8842 6.6588; 4.9842 6.6588; 5.0842 6.6588; 5.1842 6.6588; 5.2842 6.6588; 5.3842 6.6588; 5.4842 6.6588; 5.5842 6.6588; 5.6842 6.6588; 5.7842 6.6588; 5.8092 6.6588; 5.8342 6.6588; 5.8592 6.6588; 5.8842 6.6588; 5.9092 6.6588; 5.9342 6.6588; 5.9592 6.6588; 5.9842 6.6588; 6.0092 6.6588; 6.0048 6.6341; 5.9831 6.5110; 5.9614 6.3879; 5.9397 6.2648; 5.9180 6.1417; 5.8963 6.0186; 5.8746 5.8955; 5.8702 5.8709; 5.8659 5.8463; 5.8616 5.8217; 5.8398 5.6986; 5.8355 5.6740; 5.8312 5.6493; 5.8268 5.6247; 5.8051 5.5016; 5.8008 5.4770; 5.7791 5.3539; 5.7747 5.3293; 5.7704 5.3047; 5.7660 5.2800; 5.7617 5.2554; 5.7574 5.2308; 5.7530 5.2062; 5.7313 5.0831; 5.7270 5.0585; 5.7226 5.0338; 5.7183 5.0092; 5.7140 4.9846; 5.7096 4.9600; 5.7053 4.9354; 5.7009 4.9107; 5.6966 4.8861; 5.6922 4.8615; 5.6879 4.8369; 5.6836 4.8123; 5.6792 4.7876; 5.6749 4.7630; 5.6705 4.7384; 5.6662 4.7138; 5.6619 4.6892; 5.6575 4.6645; 5.6532 4.6399; 5.6488 4.6153; 5.6445 4.5907; 5.6402 4.5661; 5.6358 4.5414; 5.6315 4.5168; 5.6271 4.4922; 5.6228 4.4676; 5.6184 4.4430; 5.6141 4.4183; 5.6098 4.3937; 5.6054 4.3691; 5.6011 4.3445; 5.5967 4.3198; 5.5924 4.2952; 5.5881 4.2706; 5.5837 4.2460; 5.5794 4.2214; 5.5750 4.1967; 5.5707 4.1721; 5.5663 4.1475; 5.5620 4.1229; 5.5577 4.0983; 5.5533 4.0736; 5.5490 4.0490; 5.5446 4.0244; 5.5403 3.9998; 5.5360 3.9752; 5.5316 3.9505; 5.5273 3.9259; 5.5229 3.9013; 5.5186 3.8767; 5.5143 3.8521; 5.5393 3.8521; 5.5643 3.8521; 5.5893 3.8521; 5.6143 3.8521; 5.6393 3.8521; 5.6643 3.8521; 5.6893 3.8521; 5.7143 3.8521; 5.7393 3.8521; 5.7643 3.8521; 5.7893 3.8521; 5.8143 3.8521; 5.8393 3.8521; 5.8643 3.8521; 5.8893 3.8521; 5.9143 3.8521; 5.9393 3.8521; 5.9643 3.8521; 5.9893 3.8521; 6.0143 3.8521; 6.0393 3.8521; 6.0643 3.8521; 6.0893 3.8521; 6.1143 3.8521; 6.1393 3.8521; 6.1643 3.8521; 6.1893 3.8521; 6.2143 3.8521; 6.2393 3.8521; 6.2643 3.8521; 6.2893 3.8521
3, -6.6180 -0.0202; -6.5680 -0.0202; -6.5210 -0.0373; -6.4741 -0.0544; -6.4271 -0.0715; -6.3801 -0.0886; -6.3331 -0.1057; -6.2861 -0.1228; -6.2391 -0.1399; -6.1922 -0.1570; -6.1452 -0.1741; -6.0982 -0.1912; -6.0512 -0.2083; -6.0042 -0.2254; -5.9572 -0.2425; -5.9102 -0.2596; -5.8633 -0.2767; -5.8163 -0.2938; -5.7693 -0.3109; -5.7223 -0.3280; -5.6753 -0.3451; -5.6283 -0.3622; -5.5814 -0.3793; -5.5344 -0.3964; -5.4874 -0.4135; -5.4404 -0.4306; -5.3934 -0.4477; -5.3464 -0.4648; -5.2994 -0.4819; -5.2525 -0.4990; -5.2055 -0.5161; -5.1585 -0.5332; -5.1115 -0.5503; -5.0645 -0.5674; -5.0175 -0.5845; -4.9706 -0.6016; -4.9236 -0.6187; -4.8766 -0.6358; -4.8296 -0.6529; -4.7826 -0.6700; -4.7356 -0.6871; -4.6886 -0.7042; -4.6417 -0.7213; -4.5947 -0.7384; -4.5477 -0.7555; -4.5007 -0.7726; -4.4537 -0.7897; -4.4067 -0.8068; -4.3598 -0.8240; -4.3128 -0.8411; -4.2658 -0.8582; -4.1483 -0.9009; -4.0309 -0.9437; -3.9134 -0.9864; -3.7959 -1.0292; -3.6785 -1.0719; -3.5610 -1.1147; -3.4436 -1.1574; -3.3261 -1.2002; -3.2086 -1.2429; -3.0912 -1.2857; -2.9737 -1.3284; -2.8562 -1.3712; -2.7388 -1.4139; -2.6448 -1.4481; -2.5508 -1.4823; -2.4569 -1.5165; -2.3629 -1.5507; -2.2689 -1.5849; -2.1750 -1.6191; -2.0810 -1.6533; -1.9635 -1.6961; -1.8461 -1.7389; -1.7286 -1.7816; -1.6112 -1.8244; -1.4937 -1.8671; -1.3762 -1.9099; -1.2588 -1.9526; -1.1413 -1.9954; -1.0238 -2.0381; -0.9064 -2.0809; -0.7889 -2.1236; -0.6715 -2.1664; -0.7672 -2.0860; -0.8630 -2.0057; -0.9587 -1.9253; -1.0545 -1.8450; -0.9370 -1.8877; -0.8196 -1.9305; -0.7021 -1.9732; -0.5846 -2.0160; -0.4672 -2.0587; -0.5629 -1.9784; -0.6587 -1.8981; -0.7544 -1.8177; -0.8502 -1.7374; -0.9460 -1.6570; -0.8285 -1.6998; -0.7110 -1.7425; -0.5936 -1.7853; -0.4761 -1.8280; -0.3586 -1.8708; -0.4544 -1.7904; -0.5502 -1.7101; -0.6459 -1.6297; -0.7417 -1.5494; -0.6242 -1.5921; -0.5067 -1.6349; -0.3893 -1.6776; -0.4850 -1.5973; -0.5808 -1.5169; -0.6766 -1.4366; -0.7723 -1.3562; -0.8681 -1.2759; -0.7506 -1.3186; -0.6331 -1.3614; -0.5157 -1.4041; -0.3982 -1.4469; -0.4940 -1.3666; -0.5897 -1.2862; -0.6855 -1.2059; -0.7812 -1.1255; -0.6638 -1.1683; -0.5463 -1.2110; -0.4289 -1.2538; -0.3114 -1.2965; -0.4071 -1.2162; -0.5029 -1.1358; -0.5987 -1.0555; -0.6944 -0.9751; -0.5770 -1.0179; -0.4595 -1.0606; -0.3420 -1.1034; -0.4378 -1.0230; -0.5335 -0.9427; -0.6293 -0.8623; -0.5118 -0.9051; -0.3944 -0.9478; -0.2769 -0.9906; -0.1594 -1.0333; -0.1812 -0.9102; -0.2029 -0.7871; -0.2246 -0.6640; -0.2463 -0.5409; -0.2680 -0.4178; -0.2897 -0.2947; -0.3114 -0.1716; -0.3331 -0.0485; -0.3548 0.0746; -0.3765 0.1977; -0.3982 0.3208; -0.4199 0.4439; -0.4416 0.5670; -0.4633 0.6901; -0.4850 0.8132; -0.5067 0.9363; -0.5285 1.0594; -0.5502 1.1825; -0.5719 1.3056; -0.5936 1.4287; -0.6153 1.5518; -0.6370 1.6749; -0.6587 1.7980; -0.6804 1.9211; -0.7021 2.0442; -0.7238 2.1673; -0.7455 2.2904; -0.7672 2.4135; -0.6498 2.3707; -0.5323 2.3280; -0.4148 2.2852; -0.2974 2.2425; -0.1799 2.1997; -0.0624 2.1570; 0.0550 2.1142; 0.1725 2.0715; 0.2899 2.0287; 0.4074 1.9860; 0.5249 1.9432; 0.6423 1.9005; 0.7598 1.8577; 0.8538 1.8235; 0.9477 1.7893; 1.0417 1.7551; 1.1357 1.7209; 1.2296 1.6867; 1.3236 1.6525; 1.4176 1.6183; 1.5115 1.5841; 1.6055 1.5499; 1.6995 1.5157; 1.7934 1.4815; 1.8874 1.4473; 1.9814 1.4131; 2.0754 1.3789; 2.1693 1.3447; 2.2633 1.3105; 2.3573 1.2763; 2.4512 1.2421; 2.5452 1.2079; 2.6392 1.1737; 2.7331 1.1395; 2.8271 1.1053; 2.9211 1.0711; 3.0150 1.0369; 3.1090 1.0026; 3.2030 0.9684; 3.2970 0.9342; 3.3909 0.9000; 3.4849 0.8658; 3.5789 0.8316; 3.4849 0.8658; 3.3909 0.9000; 3.2970 0.9342; 3.2030 0.9684; 3.1090 1.0026; 3.0150 1.0369; 2.9211 1.0711; 2.9711 0.9845; 3.0650 0.9502; 3.1590 0.9160; 3.2530 0.8818; 3.3470 0.8476; 3.4409 0.8134; 3.5349 0.7792; 3.4409 0.8134; 3.3470 0.8476; 3.2530 0.8818; 3.1590 0.9160; 3.0650 0.9502; 2.9711 0.9845; 2.8771 1.0187; 2.7831 1.0529; 2.8331 0.9663; 2.9271 0.9320; 3.0211 0.8978; 3.1150 0.8636; 3.2090 0.8294; 3.3030 0.7952; 3.3970 0.7610; 3.3030 0.7952; 3.2090 0.8294; 3.1150 0.8636; 3.0211 0.8978; 2.9271 0.9320; 2.8331 0.9663; 2.8831 0.8796; 2.9771 0.8454; 3.0711 0.8112; 3.1650 0.7770; 3.2590 0.7428; 3.1650 0.7770; 3.0711 0.8112; 2.9771 0.8454; 2.8831 0.8796; 2.7892 0.9139; 2.6952 0.9481; 2.7452 0.8615; 2.8392 0.8272; 2.9331 0.7930; 3.0271 0.7588; 3.1211 0.7246; 3.0271 0.7588; 3.0771 0.6722; 2.9831 0.7064; 3.0331 0.6198; 2.9392 0.6540; 2.9892 0.5674; 2.8952 0.6016; 2.9452 0.5150; 2.8512 0.5492; 2.9012 0.4626; 2.8073 0.4968; 2.8573 0.4102; 2.7633 0.4444; 2.8133 0.3578; 2.7193 0.3920; 2.7693 0.3054; 2.6754 0.3396; 2.7254 0.2530; 2.6314 0.2872; 2.5374 0.3214; 2.4434 0.3556; 2.3495 0.3898; 2.2555 0.4240; 2.1615 0.4583; 2.0676 0.4925; 1.9736 0.5267; 1.8796 0.5609; 1.7857 0.5951; 1.6917 0.6293; 1.7857 0.5951; 1.8796 0.5609; 1.9736 0.5267; 2.0676 0.4925; 2.1615 0.4583; 2.2555 0.4240; 2.3495 0.3898; 2.4434 0.3556; 2.5374 0.3214; 2.6314 0.2872; 2.5374 0.3214; 2.4434 0.3556; 2.3495 0.3898; 2.2555 0.4240; 2.1615 0.4583; 2.0676 0.4925; 1.9736 0.5267; 1.8796 0.5609; 1.7857 0.5951; 1.6917 0.6293; 1.5977 0.6635; 1.6917 0.6293; 1.7857 0.5951; 1.8796 0.5609; 1.9736 0.5267; 2.0676 0.4925; 2.1615 0.4583; 2.2555 0.4240; 2.3495 0.3898; 2.4434 0.3556; 2.3495 0.3898; 2.2555 0.4240; 2.1615 0.4583; 2.0676 0.4925; 1.9736 0.5267; 1.8796 0.5609; 1.7857 0.5951; 1.6917 0.6293; 1.5977 0.6635; 1.5038 0.6977; 1.5977 0.6635; 1.6917 0.6293; 1.7857 0.5951; 1.8796 0.5609; 1.9736 0.5267; 2.0676 0.4925; 2.1615 0.4583; 2.2555 0.4240; 2.3495 0.3898; 2.4434 0.3556; 2.3495 0.3898; 2.2555 0.4240; 2.1615 0.4583; 2.0676 0.4925; 1.9736 0.5267; 1.8796 0.5609; 1.7857 0.5951; 1.6917 0.6293; 1.5977 0.6635
