# agents=10, pattern=S
1, -3.0000 1.1554; -3.0217 1.0323; -3.0842 1.1405; -3.1467 1.2488; -3.1684 1.1257; -3.1901 1.0026; -3.2118 0.8795; -3.2335 0.7564; -3.2552 0.6333; -3.2769 0.5102; -3.2986 0.3871; -3.3204 0.2640; -3.3421 0.1409; -3.3638 0.0178; -3.4263 0.1260; -3.4888 0.2343; -3.5105 0.1112; -3.5322 -0.0119; -3.5539 -0.1350; -3.5756 -0.2581; -3.5973 -0.3812; -3.6190 -0.5043; -3.6407 -0.6274; -3.6624 -0.7505; -3.6841 -0.8736; -3.7466 -0.7654; -3.8091 -0.6571; -3.8308 -0.7802; -3.8525 -0.9033; -3.8742 -1.0264; -3.8959 -1.1495; -3.9177 -1.2726; -3.9394 -1.3957; -3.9611 -1.5188; -3.9828 -1.6419; -4.0453 -1.5337; -4.1078 -1.4254; -4.1295 -1.5485; -4.1512 -1.6716; -4.1729 -1.7947; -4.1946 -1.9178; -4.0771 -1.9606; -3.9597 -2.0033; -3.8422 -2.0461; -3.9047 -1.9378; -3.9672 -1.8296; -4.0297 -1.7213; -3.9122 -1.7641; -3.9340 -1.8872; -3.8165 -1.9299; -3.6990 -1.9727; -3.5816 -2.0154; -3.6441 -1.9072; -3.7066 -1.7989; -3.7691 -1.6907; -3.8316 -1.5824; -3.8533 -1.7055; -3.8750 -1.8286; -3.8967 -1.9517; -3.7792 -1.9945; -3.6618 -2.0372; -3.5443 -2.0800; -3.6068 -1.9717; -3.6693 -1.8635; -3.7318 -1.7552; -3.6143 -1.7980; -3.6360 -1.9211; -3.6985 -1.8128; -3.7610 -1.7046; -3.6436 -1.7473; -3.6653 -1.8704; -3.5478 -1.9132; -3.6103 -1.8049; -3.6728 -1.6967; -3.7353 -1.5884; -3.6179 -1.6312; -3.6396 -1.7543; -3.5221 -1.7970; -3.4046 -1.8398; -3.4671 -1.7315; -3.5296 -1.6233; -3.5921 -1.5150; -3.6546 -1.4068; -3.6764 -1.5299; -3.6981 -1.6530; -3.7198 -1.7761; -3.6023 -1.8188; -3.4848 -1.8616; -3.5473 -1.7533; -3.6098 -1.6451; -3.6723 -1.5368; -3.6941 -1.6599; -3.7158 -1.7830; -3.7375 -1.9061; -3.6200 -1.9489; -3.5025 -1.9916; -3.5650 -1.8834; -3.6275 -1.7751; -3.5101 -1.8179; -3.3926 -1.8606; -3.4551 -1.7524; -3.5176 -1.6441; -3.5801 -1.5359; -3.4627 -1.5786; -3.4844 -1.7017; -3.3669 -1.7445; -3.4294 -1.6362; -3.4919 -1.5280; -3.5544 -1.4197; -3.5761 -1.5428; -3.5978 -1.6659; -3.6195 -1.7890; -3.5021 -1.8318; -3.3846 -1.8745; -3.4471 -1.7663; -3.5096 -1.6580; -3.5721 -1.5498; -3.4546 -1.5925; -3.4763 -1.7156; -3.3589 -1.7584; -3.4214 -1.6501; -3.4839 -1.5419; -3.3664 -1.5846; -3.3881 -1.7077; -3.2707 -1.7505; -3.3332 -1.6422; -3.3957 -1.5340; -3.2782 -1.5767; -3.2999 -1.6998; -3.3624 -1.5916; -3.2449 -1.6343; -3.2666 -1.7574; -3.3291 -1.6492; -3.3916 -1.5409; -3.2742 -1.5837; -3.2959 -1.7068; -3.1784 -1.7495; -3.2409 -1.6413; -3.3034 -1.5330; -3.3659 -1.4248; -3.2485 -1.4675; -3.2702 -1.5906; -3.1527 -1.6334; -3.2152 -1.5251; -3.2777 -1.4169; -3.1603 -1.4596; -3.1820 -1.5827; -3.0645 -1.6255; -3.1270 -1.5172; -3.1895 -1.4090; -3.0720 -1.4517; -3.0937 -1.5748; -3.1562 -1.4666; -3.2187 -1.3583; -3.1013 -1.4011; -3.1230 -1.5242; -3.0055 -1.5669; -3.0680 -1.4587; -3.1305 -1.3504; -3.0131 -1.3932; -3.0348 -1.5163; -3.0973 -1.4080; -3.1598 -1.2998; -3.0423 -1.3425; -3.0640 -1.4656; -3.0857 -1.5887; -2.9683 -1.6315; -2.8508 -1.6742; -2.9133 -1.5660; -2.9758 -1.4577; -3.0383 -1.3495; -2.9208 -1.3922; -2.9425 -1.5153; -2.8251 -1.5581; -2.8876 -1.6663; -2.7701 -1.7091; -2.8326 -1.6008; -2.7152 -1.6436; -2.7777 -1.7518; -2.6602 -1.7946; -2.7227 -1.6863; -2.7852 -1.5781; -2.6677 -1.6208; -2.7302 -1.7291; -2.6128 -1.7718; -2.6753 -1.6636; -2.7378 -1.5553; -2.6203 -1.5981; -2.6828 -1.7063; -2.5653 -1.7491; -2.6278 -1.6408; -2.6903 -1.5326; -2.5729 -1.5753; -2.6354 -1.6836; -2.5179 -1.7263; -2.5804 -1.8346; -2.4630 -1.8773; -2.5255 -1.7691; -2.5880 -1.6608; -2.4705 -1.7036; -2.5330 -1.8118; -2.4155 -1.8546; -2.2981 -1.8973; -2.3606 -1.7891; -2.4231 -1.6808; -2.3056 -1.7236; -2.3681 -1.8318; -2.2507 -1.8746; -2.3132 -1.7663; -2.3757 -1.6581; -2.2582 -1.7008; -2.3207 -1.8091; -2.2032 -1.8518; -2.2657 -1.9601; -2.1718 -1.9943; -2.2218 -1.9077; -2.2718 -1.8211; -2.3343 -1.7128; -2.2168 -1.7556; -2.2793 -1.8638; -2.1618 -1.9066; -2.0679 -1.9408; -2.1179 -1.8542; -2.1679 -1.7676; -2.0504 -1.8103; -2.1129 -1.9186; -2.0189 -1.9528; -2.0689 -2.0394; -1.9750 -2.0736; -1.8810 -2.1078; -1.9310 -2.0212; -1.9810 -1.9346; -2.0310 -1.8480; -1.9370 -1.8822; -1.9870 -1.9688; -2.0370 -1.8822; -2.0870 -1.7956; -1.9931 -1.8298; -2.0431 -1.9164; -1.9491 -1.9506; -1.9991 -2.0372; -2.0491 -1.9506; -2.0991 -1.8640; -2.0051 -1.8982; -2.0551 -1.9848; -2.1051 -1.8982; -2.0112 -1.9324; -1.9172 -1.9666; -1.9672 -1.8800; -2.0172 -1.7934; -2.0672 -1.7068; -1.9497 -1.7496; -2.0122 -1.8578; -2.0622 -1.7712; -2.1122 -1.6846; -2.1747 -1.5763; -2.0573 -1.6191; -2.1198 -1.7274; -2.0023 -1.7701; -2.0648 -1.8784; -1.9708 -1.9126; -2.0208 -1.8260; -2.0708 -1.7394; -1.9534 -1.7821; -2.0159 -1.8904; -1.9219 -1.9246; -1.9719 -1.8380; -2.0219 -1.7514; -2.0719 -1.6648; -1.9544 -1.7075; -2.0169 -1.8158; -1.9230 -1.8500; -1.9730 -1.7634; -2.0230 -1.6768; -2.0855 -1.5685; -1.9680 -1.6113; -2.0305 -1.7195; -1.9130 -1.7623; -1.9755 -1.8705; -2.0255 -1.7839; -2.0755 -1.6973; -1.9581 -1.7401; -2.0206 -1.8483; -1.9266 -1.8825; -1.9766 -1.7959; -2.0266 -1.7093; -2.0891 -1.6011; -1.9717 -1.6438; -2.0342 -1.7521; -1.9167 -1.7948; -1.9667 -1.8814; -2.0167 -1.7948; -2.0667 -1.7082; -1.9492 -1.7510; -2.0117 -1.8592; -1.9178 -1.8934; -1.8238 -1.9276; -1.8738 -1.8410; -1.9238 -1.7544; -1.9738 -1.6678; -1.8798 -1.7020; -1.9423 -1.8103; -1.8484 -1.8445; -1.7544 -1.8787; -1.8044 -1.9653; -1.7104 -1.9995; -1.7604 -1.9129; -1.8104 -1.8263; -1.7164 -1.8605; -1.7664 -1.9471; -1.6725 -1.9813; -1.7225 -1.8947; -1.7725 -1.8081; -1.6785 -1.8423; -1.7285 -1.9289; -1.6345 -1.9631; -1.6845 -1.8765; -1.7345 -1.7899; -1.6406 -1.8241; -1.6906 -1.9107; -1.5966 -1.9449; -1.6466 -1.8583; -1.6966 -1.7717; -1.6026 -1.8059; -1.6526 -1.8925; -1.5587 -1.9267; -1.6087 -1.8401; -1.6587 -1.7535; -1.5647 -1.7877; -1.6147 -1.8743; -1.5207 -1.9085; -1.5707 -1.8219; -1.6207 -1.7353; -1.5268 -1.7695; -1.5768 -1.8561; -1.4828 -1.8903; -1.3888 -1.9245; -1.4388 -1.8379; -1.4888 -1.7513; -1.3948 -1.7855; -1.4448 -1.8721; -1.3509 -1.9063; -1.2569 -1.9405; -1.3069 -2.0271; -1.2129 -2.0613; -1.1190 -2.0955; -1.0250 -2.1297; -1.0750 -2.0431; -1.1250 -1.9565; -1.0310 -1.9907
2, -3.0000 1.1554; -3.0217 1.0323; -3.0842 1.1405; -3.1467 1.2488; -3.2092 1.3570; -3.2717 1.4653; -3.2934 1.3422; -3.3151 1.2191; -3.3368 1.0960; -3.3585 0.9729; -3.3802 0.8498; -3.4019 0.7267; -3.4236 0.6036; -3.4454 0.4805; -3.4671 0.3574; -3.4888 0.2343; -3.5105 0.1112; -3.3855 0.1112; -3.2605 0.1112; -3.3230 0.2194; -3.1980 0.2194; -3.0730 0.2194; -3.1355 0.3277; -3.0105 0.3277; -3.0730 0.4359; -2.9480 0.4359; -2.8230 0.4359; -2.8855 0.5442; -2.7605 0.5442; -2.8230 0.6524; -2.6980 0.6524; -2.7605 0.7607; -2.7822 0.6376; -2.8039 0.5145; -2.8256 0.3914; -2.8473 0.2683; -2.7223 0.2683; -2.7848 0.3765; -2.6598 0.3765; -2.7223 0.4848; -2.5973 0.4848; -2.6598 0.5930; -2.5348 0.5930; -2.5973 0.7013; -2.6190 0.5782; -2.6407 0.4551; -2.6624 0.3320; -2.6841 0.2089; -2.5591 0.2089; -2.4341 0.2089; -2.4966 0.3171; -2.3716 0.3171; -2.4341 0.4254; -2.3091 0.4254; -2.3716 0.5337; -2.2466 0.5337; -2.3091 0.6419; -2.1841 0.6419; -2.2466 0.7502; -2.2683 0.6271; -2.2900 0.5040; -2.3117 0.3809; -2.3334 0.2578; -2.2084 0.2578; -2.2709 0.3660; -2.1459 0.3660; -2.2084 0.4743; -2.0834 0.4743; -2.1459 0.5825; -2.0209 0.5825; -2.0834 0.6908; -2.1052 0.5677; -2.1269 0.4446; -2.1486 0.3215; -2.0236 0.3215; -2.0861 0.4297; -1.9611 0.4297; -2.0236 0.5380; -1.8986 0.5380; -1.9611 0.6462; -2.0236 0.7545; -2.0453 0.6314; -2.0670 0.5083; -2.0887 0.3852; -1.9637 0.3852; -2.0262 0.4934; -2.0887 0.6017; -1.9637 0.6017; -2.0262 0.7099; -1.9012 0.7099; -1.9637 0.8182; -1.8387 0.8182; -1.9012 0.9264; -1.9229 0.8033; -1.9446 0.6802; -1.9663 0.5571; -1.8413 0.5571; -1.9038 0.6654; -1.9663 0.7736; -1.8413 0.7736; -1.9038 0.8819; -1.7788 0.8819; -1.8413 0.9901; -1.8630 0.8670; -1.8847 0.7439; -1.9064 0.6208; -1.7814 0.6208; -1.8439 0.7291; -1.7189 0.7291; -1.7814 0.8374; -1.8439 0.9456; -1.8656 0.8225; -1.8873 0.6994; -1.9090 0.5763; -1.9307 0.4532; -1.8057 0.4532; -1.8682 0.5615; -1.7432 0.5615; -1.8057 0.6697; -1.6807 0.6697; -1.7432 0.7780; -1.6182 0.7780; -1.6807 0.8862; -1.5557 0.8862; -1.6182 0.9945; -1.6399 0.8714; -1.6617 0.7483; -1.6834 0.6252; -1.7051 0.5021; -1.5801 0.5021; -1.6426 0.6103; -1.5176 0.6103; -1.5801 0.7186; -1.4551 0.7186; -1.5176 0.8268; -1.3926 0.8268; -1.4551 0.9351; -1.5176 1.0433; -1.5393 0.9202; -1.5610 0.7971; -1.5827 0.6740; -1.4577 0.6740; -1.5202 0.7823; -1.3952 0.7823; -1.4577 0.8905; -1.3327 0.8905; -1.3952 0.9988; -1.2702 0.9988; -1.3327 1.1070; -1.3544 0.9839; -1.3761 0.8608; -1.3978 0.7377; -1.2728 0.7377; -1.3353 0.8460; -1.3978 0.9542; -1.2728 0.9542; -1.3353 1.0625; -1.2103 1.0625; -1.2728 1.1707; -1.2945 1.0476; -1.3162 0.9245; -1.3379 0.8014; -1.2129 0.8014; -1.2754 0.9097; -1.1504 0.9097; -1.2129 1.0180; -1.0879 1.0180; -1.1504 1.1262; -1.0254 1.1262; -1.0879 1.2345; -1.1096 1.1114; -1.1313 0.9883; -1.1530 0.8652; -1.0280 0.8652; -1.0905 0.9734; -0.9655 0.9734; -1.0280 1.0817; -0.9030 1.0817; -0.9655 1.1899; -0.9872 1.0668; -1.0089 0.9437; -1.0307 0.8206; -0.9057 0.8206; -0.9682 0.9289; -0.8432 0.9289; -0.9057 1.0371; -0.7807 1.0371; -0.8432 1.1454; -0.7182 1.1454; -0.7807 1.2536; -0.8024 1.1305; -0.8241 1.0074; -0.8458 0.8843; -0.7208 0.8843; -0.7833 0.9926; -0.6583 0.9926; -0.5333 0.9926; -0.5958 1.1008; -0.4708 1.1008; -0.5333 1.2091; -0.4083 1.2091; -0.4708 1.3173; -0.4925 1.1942; -0.5142 1.0711; -0.5359 0.9480; -0.4109 0.9480; -0.4734 1.0563; -0.3484 1.0563; -0.4109 1.1645; -0.2859 1.1645; -0.3484 1.2728; -0.3701 1.1497; -0.3918 1.0266; -0.4135 0.9035; -0.2885 0.9035; -0.3510 1.0117; -0.2260 1.0117; -0.2885 1.1200; -0.1635 1.1200; -0.2260 1.2282; -0.1010 1.2282; -0.1635 1.3365; -0.1852 1.2134; -0.2069 1.0903; -0.2286 0.9672; -0.1036 0.9672; -0.1661 1.0755; -0.2286 1.1837; -0.2911 1.2920; -0.3128 1.1689; -0.3345 1.0458; -0.2095 1.0458; -0.2720 1.1540; -0.1470 1.1540; -0.2095 1.2623; -0.2720 1.3705; -0.2937 1.2474; -0.3155 1.1243; -0.3372 1.0012; -0.2122 1.0012; -0.2747 1.1095; -0.3372 1.2177; -0.3997 1.3260; -0.2747 1.3260; -0.3372 1.4342; -0.3997 1.5425; -0.4214 1.4194; -0.4431 1.2963; -0.4648 1.1732; -0.3398 1.1732; -0.4023 1.2814; -0.4648 1.3897; -0.3398 1.3897; -0.4023 1.4979; -0.4648 1.6062; -0.4865 1.4831; -0.5082 1.3600; -0.3832 1.3600; -0.4457 1.4682; -0.5082 1.5765; -0.5707 1.6847; -0.5924 1.5616; -0.6141 1.4385; -0.4891 1.4385; -0.5516 1.5468; -0.6141 1.6551; -0.6766 1.7633; -0.6983 1.6402; -0.7200 1.5171; -0.7417 1.3940; -0.6167 1.3940; -0.6792 1.5023; -0.7417 1.6105; -0.8042 1.7188; -0.8259 1.5957; -0.8476 1.4726; -0.8693 1.3495; -0.7443 1.3495; -0.8068 1.4577; -0.8693 1.5660; -0.7443 1.5660; -0.8068 1.6742; -0.8693 1.7825; -0.8910 1.6594; -0.9127 1.5363; -0.7877 1.5363; -0.8502 1.6445; -0.9127 1.7528; -0.9752 1.8610; -0.9970 1.7379; -1.0187 1.6148; -0.8937 1.6148; -0.9562 1.7231; -1.0187 1.8313; -1.0812 1.9396; -1.1029 1.8165; -1.1246 1.6934; -1.1463 1.5703; -1.0213 1.5703; -1.0838 1.6785; -1.1463 1.7868; -1.0213 1.7868; -1.0838 1.8950; -1.1055 1.7719; -1.1272 1.6488; -1.1489 1.5257; -1.0239 1.5257; -1.0864 1.6340; -1.1489 1.7422; -1.0239 1.7422; -1.0864 1.8505; -0.9614 1.8505; -1.0239 1.9588; -1.0864 2.0670; -1.1081 1.9439; -1.1298 1.8208; -1.1515 1.6977; -1.0265 1.6977; -1.0890 1.8060; -0.9640 1.8060; -1.0265 1.9142; -0.9015 1.9142; -0.9640 2.0225; -0.8390 2.0225; -0.9015 2.1307; -0.9232 2.0076; -0.9449 1.8845; -0.8199 1.8845; -0.8824 1.9928; -0.9449 2.1010; -0.9666 1.9779; -0.9883 1.8548; -0.8633 1.8548; -0.9258 1.9631; -0.8008 1.9631; -0.8633 2.0713; -0.8850 1.9482; -0.9068 1.8251; -0.7818 1.8251; -0.8443 1.9334; -0.7193 1.9334; -0.7818 2.0416; -0.6568 2.0416; -0.7193 2.1499; -0.7410 2.0268; -0.7627 1.9037; -0.7844 1.7806; -0.6594 1.7806; -0.5344 1.7806; -0.5969 1.8888
3, -3.0000 1.1554; -3.0217 1.0323; -3.0842 1.1405; -3.1467 1.2488; -3.2092 1.3570; -3.2717 1.4653; -3.1467 1.4653; -3.2092 1.5735; -3.0842 1.5735; -3.1467 1.6818; -3.0217 1.6818; -2.8967 1.6818; -2.9592 1.7900; -2.8342 1.7900; -2.7092 1.7900; -2.7717 1.8983; -2.6467 1.8983; -2.5217 1.8983; -2.3967 1.8983; -2.4592 2.0065; -2.3342 2.0065; -2.2092 2.0065; -2.2717 2.1148; -2.1467 2.1148; -2.0217 2.1148; -2.0842 2.2231; -1.9592 2.2231; -1.8342 2.2231; -1.8967 2.3313; -1.7717 2.3313; -1.6467 2.3313; -1.7092 2.4396; -1.5842 2.4396; -1.6467 2.5478; -1.6684 2.4247; -1.6901 2.3016; -1.7118 2.1785; -1.5868 2.1785; -1.4618 2.1785; -1.3368 2.1785; -1.3993 2.2868; -1.2743 2.2868; -1.3368 2.3950; -1.2118 2.3950; -1.0868 2.3950; -0.9618 2.3950; -1.0243 2.5033; -0.8993 2.5033; -0.7743 2.5033; -0.8368 2.6115; -0.7118 2.6115; -0.7743 2.7198; -0.7960 2.5967; -0.8177 2.4736; -0.8394 2.3505; -0.8611 2.2274; -0.7361 2.2274; -0.6111 2.2274; -0.6736 2.3356; -0.5486 2.3356; -0.6111 2.4439; -0.4861 2.4439; -0.3611 2.4439; -0.4236 2.5521; -0.2986 2.5521; -0.3611 2.6604; -0.3829 2.5373; -0.4046 2.4142; -0.4263 2.2911; -0.3013 2.2911; -0.3638 2.3993; -0.2388 2.3993; -0.3013 2.5076; -0.1763 2.5076; -0.2388 2.6158; -0.1138 2.6158; 0.0112 2.6158; -0.0513 2.7241; -0.0730 2.6010; -0.0947 2.4779; -0.1164 2.3548; 0.0086 2.3548; -0.0539 2.4630; 0.0711 2.4630; 0.0086 2.5713; 0.1336 2.5713; 0.0711 2.6795; 0.0494 2.5564; 0.0277 2.4333; 0.0060 2.3102; -0.0157 2.1871; 0.1093 2.1871; 0.2343 2.1871; 0.3593 2.1871; 0.2968 2.2954; 0.4218 2.2954; 0.3593 2.4037; 0.4843 2.4037; 0.4218 2.5119; 0.5468 2.5119; 0.6718 2.5119; 0.6093 2.6202; 0.5876 2.4971; 0.5659 2.3740; 0.5442 2.2509; 0.6692 2.2509; 0.6067 2.3591; 0.7317 2.3591; 0.6692 2.4674; 0.7942 2.4674; 0.7317 2.5756; 0.8567 2.5756; 0.7942 2.6839; 0.7317 2.7921; 0.7100 2.6690; 0.6883 2.5459; 0.6666 2.4228; 0.6448 2.2997; 0.7698 2.2997; 0.8948 2.2997; 0.8323 2.4080; 0.9573 2.4080; 0.8948 2.5162; 1.0198 2.5162; 0.9573 2.6245; 1.0823 2.6245; 1.0198 2.7327; 0.9981 2.6096; 0.9764 2.4865; 0.9547 2.3634; 1.0797 2.3634; 1.0172 2.4717; 1.1422 2.4717; 1.2672 2.4717; 1.2047 2.5799; 1.3297 2.5799; 1.2672 2.6882; 1.2455 2.5651; 1.2238 2.4420; 1.3488 2.4420; 1.2863 2.5502; 1.4113 2.5502; 1.3488 2.6585; 1.2863 2.7667; 1.2646 2.6436; 1.2429 2.5205; 1.2212 2.3974; 1.3462 2.3974; 1.2837 2.5057; 1.4087 2.5057; 1.3462 2.6139; 1.4712 2.6139; 1.4087 2.7222; 1.5337 2.7222; 1.4712 2.8305; 1.4495 2.7074; 1.4278 2.5843; 1.4061 2.4612; 1.5311 2.4612; 1.4686 2.5694; 1.4061 2.6777; 1.3436 2.7859; 1.3219 2.6628; 1.3002 2.5397; 1.4252 2.5397; 1.3627 2.6480; 1.4877 2.6480; 1.4252 2.7562; 1.5502 2.7562; 1.4877 2.8645; 1.4660 2.7414; 1.4443 2.6183; 1.4226 2.4952; 1.5476 2.4952; 1.4851 2.6034; 1.6101 2.6034; 1.5476 2.7117; 1.4851 2.8199; 1.4633 2.6968; 1.4416 2.5737; 1.4199 2.4506; 1.5449 2.4506; 1.4824 2.5589; 1.6074 2.5589; 1.7324 2.5589; 1.6699 2.6671; 1.7949 2.6671; 1.7324 2.7754; 1.8574 2.7754; 1.7949 2.8836; 1.7732 2.7605; 1.7515 2.6374; 1.7298 2.5143; 1.8548 2.5143; 1.7923 2.6226; 1.9173 2.6226; 1.8548 2.7308; 1.9798 2.7308; 1.9173 2.8391; 2.0423 2.8391; 1.9798 2.9473; 1.9581 2.8242; 1.9364 2.7011; 1.9147 2.5780; 1.8930 2.4549; 2.0180 2.4549; 2.1430 2.4549; 2.2680 2.4549; 2.2055 2.5632; 2.3305 2.5632; 2.2680 2.6714; 2.3930 2.6714; 2.3305 2.7797; 2.2680 2.8880; 2.2463 2.7649; 2.2246 2.6418; 2.2029 2.5186; 2.3279 2.5186; 2.2654 2.6269; 2.2029 2.7352; 2.1404 2.8434; 2.1187 2.7203; 2.0970 2.5972; 2.0753 2.4741; 2.2003 2.4741; 2.1378 2.5824; 2.2628 2.5824; 2.2003 2.6906; 2.3253 2.6906; 2.2628 2.7989; 2.2003 2.9071; 2.3253 2.9071; 2.2628 3.0154; 2.2411 2.8923; 2.2193 2.7692; 2.1976 2.6461; 2.3226 2.6461; 2.2601 2.7543; 2.1976 2.8626; 2.1351 2.9708; 2.1134 2.8477; 2.0917 2.7246; 2.0700 2.6015; 2.0075 2.7098; 1.9450 2.8180; 2.0700 2.8180; 2.0075 2.9263; 1.9450 3.0345; 1.9233 2.9114; 1.9016 2.7883; 1.8799 2.6652; 2.0049 2.6652; 1.9424 2.7735; 2.0674 2.7735; 2.0049 2.8817; 1.9424 2.9900; 2.0674 2.9900; 2.0049 3.0982; 1.9424 3.2065; 1.9207 3.0834; 1.8990 2.9603; 1.8773 2.8372; 1.8148 2.9455; 1.7523 3.0537; 1.6898 3.1620; 1.6681 3.0389; 1.6464 2.9158; 1.7714 2.9158; 1.7089 3.0240; 1.6464 3.1323; 1.5839 3.2405; 1.5214 3.3488; 1.4997 3.2257; 1.4780 3.1026; 1.4563 2.9795; 1.5813 2.9795; 1.5188 3.0877; 1.4563 3.1960; 1.5813 3.1960; 1.5188 3.3042; 1.4970 3.1811; 1.4753 3.0580; 1.4536 2.9349; 1.5786 2.9349; 1.5161 3.0432; 1.6411 3.0432; 1.5786 3.1514; 1.5161 3.2597; 1.6411 3.2597; 1.5786 3.3679; 1.5569 3.2448; 1.5352 3.1217; 1.5135 2.9986; 1.6385 2.9986; 1.5760 3.1069; 1.7010 3.1069; 1.8260 3.1069; 1.7635 3.2151; 1.8885 3.2151; 1.8260 3.3234; 1.9510 3.3234; 2.0760 3.3234; 2.0135 3.4316; 1.9918 3.3085; 1.9701 3.1854; 1.9484 3.0623; 2.0734 3.0623; 2.0109 3.1706; 1.9484 3.2788; 1.8859 3.3871; 1.8234 3.4954; 1.8017 3.3723; 1.7800 3.2492; 1.7583 3.1261; 1.8833 3.1261; 1.8208 3.2343; 1.9458 3.2343; 1.8833 3.3426; 2.0083 3.3426; 1.9458 3.4508; 2.0708 3.4508; 2.0083 3.5591; 2.1333 3.5591; 2.0708 3.6673; 2.0491 3.5442; 2.0274 3.4211; 2.0057 3.2980; 1.9432 3.4063; 1.8807 3.5145; 2.0057 3.5145; 1.9432 3.6228; 2.0682 3.6228; 2.0057 3.7310; 1.9840 3.6079; 1.9623 3.4848; 1.9405 3.3617; 1.9188 3.2386; 2.0438 3.2386; 2.1688 3.2386; 2.1063 3.3469; 2.2313 3.3469; 2.3563 3.3469; 2.2938 3.4551; 2.2313 3.5634; 2.3563 3.5634; 2.2938 3.6716; 2.4188 3.6716; 2.3563 3.7799; 2.3346 3.6568; 2.3129 3.5337
