# agents=10, pattern=U
1, -6.6180 -0.0202; -6.5180 -0.0202; -6.5354 0.0783; -6.5528 0.1768; -6.5701 0.2752; -6.5875 0.3737; -6.6049 0.4722; -6.6222 0.5707; -6.6396 0.6692; -6.6570 0.7676; -6.6743 0.8661; -6.6917 0.9646; -6.7090 1.0631; -6.7264 1.1616; -6.7438 1.2600; -6.7611 1.3585; -6.7785 1.4570; -6.7959 1.5555; -6.8132 1.6540; -6.8306 1.7525; -6.8480 1.8509; -6.8653 1.9494; -6.8827 2.0479; -6.9001 2.1464; -6.9174 2.2449; -6.9348 2.3433; -6.9522 2.4418; -6.9695 2.5403; -6.9869 2.6388; -7.0042 2.7373; -7.0216 2.8357; -7.0390 2.9342; -7.0563 3.0327; -7.0737 3.1312; -7.0911 3.2297; -7.1084 3.3281; -7.1258 3.4266; -7.1432 3.5251; -7.1605 3.6236; -7.1779 3.7221; -7.1953 3.8205; -7.2126 3.9190; -7.2300 4.0175; -7.2474 4.1160; -7.2647 4.2145; -7.2821 4.3130; -7.2995 4.4114; -7.3168 4.5099; -7.3342 4.6084; -7.3515 4.7069; -7.3689 4.8054; -7.3863 4.9038; -7.4036 5.0023; -7.4210 5.1008; -7.4384 5.1993; -7.4557 5.2978; -7.4731 5.3962; -7.4905 5.4947; -7.5078 5.5932; -7.5252 5.6917; -7.5426 5.7902; -7.5599 5.8886; -7.5773 5.9871; -7.5947 6.0856; -7.6120 6.1841; -7.6294 6.2826; -7.6467 6.3810; -7.6641 6.4795; -7.6815 6.5780; -7.6988 6.6765; -7.7162 6.7750; -7.7336 6.8735; -7.7509 6.9719; -7.7683 7.0704; -7.7857 7.1689; -7.8030 7.2674; -7.8204 7.3659; -7.8378 7.4643; -7.8551 7.5628; -7.8725 7.6613; -7.8899 7.7598; -7.9072 7.8583; -7.9246 7.9567; -7.9419 8.0552; -7.9593 8.1537; -7.9767 8.2522; -7.9940 8.3507; -8.0114 8.4491; -8.0288 8.5476; -8.0461 8.6461; -8.0635 8.7446; -8.0809 8.8431; -8.0982 8.9415; -8.1156 9.0400; -8.1330 9.1385; -8.1503 9.2370; -8.1677 9.3355; -8.1851 9.4340; -8.2024 9.5324; -8.2198 9.6309; -8.2372 9.7294; -8.2545 9.8279; -8.2719 9.9264; -8.2892 10.0248; -8.3066 10.1233; -8.3240 10.2218; -8.3457 10.3449; -8.3674 10.4680; -8.3891 10.5911; -8.4108 10.7142; -8.4325 10.8373; -8.4542 10.9604; -8.4759 11.0835; -8.4976 11.2066; -8.5193 11.3297; -8.5410 11.4528; -8.5627 11.5759; -8.5844 11.6990; -8.6062 11.8221; -8.6279 11.9452; -8.6496 12.0683; -8.6713 12.1914; -8.6930 12.3145; -8.7147 12.4376; -8.7364 12.5607; -8.7581 12.6838; -8.7798 12.8069; -8.8015 12.9300; -8.8232 13.0531; -8.8449 13.1762; -8.8666 13.2993; -8.8883 13.4224; -8.9100 13.5455; -8.9317 13.6686; -8.9534 13.7917; -8.9752 13.9148; -8.9969 14.0379; -9.0186 14.1610; -9.0403 14.2841; -9.0620 14.4072; -9.0837 14.5303; -9.1054 14.6534; -9.1271 14.7765; -9.1488 14.8996; -9.1705 15.0227; -9.1922 15.1458; -9.2139 15.2689; -9.2356 15.3920; -9.2573 15.5151; -9.2790 15.6382; -9.3007 15.7613; -9.3225 15.8844; -9.3442 16.0075; -9.3659 16.1306; -9.3876 16.2537; -9.4093 16.3768; -9.4310 16.4999; -9.4527 16.6230; -9.4744 16.7461; -9.4961 16.8692; -9.5178 16.9923; -9.5395 17.1155; -9.5612 17.2386; -9.5829 17.3617; -9.6046 17.4848; -9.6263 17.6079; -9.6480 17.7310; -9.6697 17.8541; -9.6915 17.9772; -9.7132 18.1003; -9.7349 18.2234; -9.7566 18.3465; -9.7783 18.4696; -9.8000 18.5927; -9.8217 18.7158; -9.8434 18.8389; -9.8651 18.9620; -9.8868 19.0851; -9.9085 19.2082; -9.9302 19.3313; -9.9519 19.4544; -9.9736 19.5775; -9.9953 19.7006; -10.0170 19.8237; -10.0388 19.9468; -10.0605 20.0699; -10.0822 20.1930; -10.1039 20.3161; -10.1256 20.4392; -10.1473 20.5623; -10.1690 20.6854; -10.1907 20.8085; -10.2124 20.9316; -10.2341 21.0547; -10.2558 21.1778; -10.2775 21.3009; -10.2992 21.4240; -10.3209 21.5471; -10.3426 21.6702; -10.3643 21.7933; -10.3860 21.9164; -10.4078 22.0395; -10.4295 22.1626; -10.4512 22.2857; -10.4729 22.4088; -10.4946 22.5319; -10.5163 22.6550; -10.5380 22.7781; -10.5597 22.9012; -10.5814 23.0243; -10.6031 23.1474; -10.6248 23.2705; -10.6465 23.3936; -10.6682 23.5167; -10.6899 23.6398; -10.5725 23.5970; -10.4550 23.5543; -10.3375 23.5115; -10.2201 23.4688; -10.1026 23.4260; -9.9852 23.3833; -9.8677 23.3405; -9.7502 23.2978; -9.6328 23.2550; -9.5153 23.2123; -9.3979 23.1695; -9.2804 23.1268; -9.1629 23.0840; -9.0455 23.0413; -8.9280 22.9985; -8.8105 22.9558; -8.6931 22.9130; -8.5756 22.8703; -8.4582 22.8275; -8.3407 22.7848; -8.2232 22.7420; -8.1058 22.6992; -7.9883 22.6565; -7.8709 22.6137; -7.7534 22.5710; -7.6359 22.5282; -7.5185 22.4855; -7.4010 22.4427; -7.2835 22.4000; -7.1661 22.3572; -7.0486 22.3145; -6.9312 22.2717; -6.8137 22.2290; -6.6962 22.1862; -6.5788 22.1435; -6.4613 22.1007; -6.3439 22.0580; -6.2264 22.0152; -6.1089 21.9725; -5.9915 21.9297; -5.8740 21.8869; -5.7565 21.8442; -5.6391 21.8014; -5.5216 21.7587; -5.4042 21.7159; -5.2867 21.6732; -5.1692 21.6304; -5.0518 21.5877; -4.9343 21.5449; -4.8169 21.5022; -4.6994 21.4594; -4.5819 21.4167; -4.4645 21.3739; -4.3470 21.3312; -4.2295 21.2884; -4.1121 21.2457; -3.9946 21.2029; -3.8772 21.1602; -3.7597 21.1174; -3.6422 21.0747; -3.5248 21.0319; -3.4073 20.9891; -3.2899 20.9464; -3.1724 20.9036; -3.0549 20.8609; -2.9375 20.8181; -2.8200 20.7754; -2.7025 20.7326; -2.5851 20.6899; -2.4676 20.6471; -2.3502 20.6044; -2.2327 20.5616; -2.1152 20.5189; -1.9978 20.4761; -1.8803 20.4334; -1.7629 20.3906; -1.6454 20.3479; -1.5279 20.3051; -1.4105 20.2624; -1.2930 20.2196; -1.1755 20.1768; -1.0581 20.1341; -0.9406 20.0913; -0.8232 20.0486; -0.7057 20.0058; -0.5882 19.9631; -0.4708 19.9203; -0.3533 19.8776; -0.2359 19.8348; -0.1184 19.7921; -0.0009 19.7493; 0.1165 19.7066; 0.2340 19.6638; 0.3515 19.6211; 0.4689 19.5783; 0.5864 19.5356; 0.7038 19.4928; 0.8213 19.4501; 0.9388 19.4073; 1.0562 19.3646; 1.1737 19.3218; 1.2911 19.2790; 1.4086 19.2363; 1.5261 19.1935; 1.6435 19.1508; 1.7610 19.1080; 1.8785 19.0653; 1.9959 19.0225; 2.1134 18.9798; 2.2308 18.9370; 2.3483 18.8943; 2.4658 18.8515; 2.5832 18.8088; 2.7007 18.7660; 2.8182 18.7233; 2.9356 18.6805; 3.0531 18.6378; 3.1705 18.5950; 3.2880 18.5523; 3.4055 18.5095; 3.5229 18.4667; 3.6404 18.4240; 3.7578 18.3812; 3.8753 18.3385; 3.9928 18.2957; 4.1102 18.2530; 4.2277 18.2102; 4.3452 18.1675; 4.4626 18.1247; 4.5801 18.0820; 4.6975 18.0392; 4.8150 17.9965; 4.9325 17.9537; 5.0499 17.9110; 5.1674 17.8682
2, -6.6180 -0.0202; -6.5180 -0.0202; -6.4241 -0.0544; -6.4414 0.0441; -6.3475 0.0099; -6.3648 0.1084; -6.2709 0.0742; -6.2882 0.1726; -6.1943 0.1384; -6.2116 0.2369; -6.1176 0.2027; -6.1350 0.3012; -6.1524 0.3997; -6.1697 0.4982; -6.1871 0.5966; -6.2045 0.6951; -6.2218 0.7936; -6.2392 0.8921; -6.2566 0.9906; -6.2739 1.0890; -6.2913 1.1875; -6.3087 1.2860; -6.3260 1.3845; -6.3434 1.4830; -6.3608 1.5814; -6.3781 1.6799; -6.3955 1.7784; -6.4128 1.8769; -6.4302 1.9754; -6.4476 2.0738; -6.4649 2.1723; -6.4823 2.2708; -6.4997 2.3693; -6.5170 2.4678; -6.5344 2.5662; -6.5518 2.6647; -6.5691 2.7632; -6.5865 2.8617; -6.6039 2.9602; -6.6212 3.0587; -6.6386 3.1571; -6.6560 3.2556; -6.6733 3.3541; -6.6907 3.4526; -6.7081 3.5511; -6.7254 3.6495; -6.7428 3.7480; -6.7601 3.8465; -6.7775 3.9450; -6.7949 4.0435; -6.8122 4.1419; -6.8296 4.2404; -6.8470 4.3389; -6.8643 4.4374; -6.8817 4.5359; -6.8991 4.6343; -6.9164 4.7328; -6.9338 4.8313; -6.9512 4.9298; -6.9685 5.0283; -6.9859 5.1267; -7.0033 5.2252; -7.0206 5.3237; -7.0380 5.4222; -7.0553 5.5207; -7.0727 5.6192; -7.0901 5.7176; -7.1074 5.8161; -7.1248 5.9146; -7.1422 6.0131; -7.1595 6.1116; -7.1769 6.2100; -7.1943 6.3085; -7.2116 6.4070; -7.2290 6.5055; -7.2464 6.6040; -7.2637 6.7024; -7.2811 6.8009; -7.2985 6.8994; -7.3158 6.9979; -7.3332 7.0964; -7.3505 7.1948; -7.2566 7.1606; -7.2739 7.2591; -7.1800 7.2249; -7.2017 7.3480; -7.0842 7.3053; -7.1059 7.4284; -6.9885 7.3856; -7.0102 7.5087; -6.8927 7.4660; -6.9144 7.5891; -6.7970 7.5463; -6.8187 7.6694; -6.7012 7.6267; -6.7229 7.7498; -6.6054 7.7070; -6.6271 7.8301; -6.5097 7.7874; -6.5314 7.9105; -6.4139 7.8677; -6.4356 7.9908; -6.4573 8.1139; -6.4790 8.2370; -6.5008 8.3601; -6.5225 8.4832; -6.5442 8.6063; -6.4267 8.5636; -6.4484 8.6867; -6.4701 8.8098; -6.4918 8.9329; -6.5135 9.0560; -6.5352 9.1791; -6.5569 9.3022; -6.5786 9.4253; -6.6004 9.5484; -6.6221 9.6715; -6.6438 9.7946; -6.6655 9.9177; -6.6872 10.0408; -6.7089 10.1639; -6.7306 10.2870; -6.6131 10.2442; -6.6348 10.3673; -6.6565 10.4904; -6.5391 10.4477; -6.5608 10.5708; -6.4433 10.5280; -6.3259 10.4853; -6.2084 10.4425; -6.0909 10.3998; -5.9735 10.3570; -5.8560 10.3143; -5.7386 10.2715; -5.6211 10.2288; -5.5036 10.1860; -5.3862 10.1432; -5.2687 10.1005; -5.1512 10.0577; -5.0338 10.0150; -4.9163 9.9722; -4.7989 9.9295; -4.6814 9.8867; -4.5639 9.8440; -4.4465 9.8012; -4.3290 9.7585; -4.2116 9.7157; -4.0941 9.6730; -3.9766 9.6302; -3.8592 9.5875; -3.7417 9.5447; -3.6242 9.5020; -3.5068 9.4592; -3.3893 9.4165; -3.2719 9.3737; -3.1544 9.3310; -3.0369 9.2882; -2.9195 9.2454; -2.8020 9.2027; -2.6846 9.1599; -2.5671 9.1172; -2.4496 9.0744; -2.3322 9.0317; -2.2147 8.9889; -2.0972 8.9462; -1.9798 8.9034; -1.8623 8.8607; -1.7449 8.8179; -1.6274 8.7752; -1.5099 8.7324; -1.3925 8.6897; -1.2750 8.6469; -1.1576 8.6042; -1.0401 8.5614; -0.9226 8.5187; -0.8052 8.4759; -0.6877 8.4331; -0.5702 8.3904; -0.4528 8.3476; -0.3353 8.3049; -0.2179 8.2621; -0.1004 8.2194; 0.0171 8.1766; 0.1345 8.1339; 0.2520 8.0911; 0.3694 8.0484; 0.4869 8.0056; 0.6044 7.9629; 0.7218 7.9201; 0.8393 7.8774; 0.9568 7.8346; 1.0742 7.7919; 1.1917 7.7491; 1.3091 7.7064; 1.4266 7.6636; 1.5441 7.6209; 1.6615 7.5781; 1.7790 7.5353; 1.8964 7.4926; 2.0139 7.4498; 2.1314 7.4071; 2.2488 7.3643; 2.3663 7.3216; 2.4838 7.2788; 2.6012 7.2361; 2.7187 7.1933; 2.8361 7.1506; 2.9536 7.1078; 3.0711 7.0651; 3.1885 7.0223; 3.3060 6.9796; 3.4234 6.9368; 3.5409 6.8941; 3.6584 6.8513; 3.7523 6.8171; 3.8463 6.7829; 3.9403 6.7487; 3.8637 6.6844; 3.7871 6.6201; 3.8810 6.5859; 3.8044 6.5217; 3.7278 6.4574; 3.8218 6.4232; 3.9158 6.3890; 3.8392 6.3247; 3.7626 6.2604; 3.6860 6.1961; 3.6094 6.1319; 3.7033 6.0977; 3.7973 6.0635; 3.7207 5.9992; 3.8207 5.9992; 3.7441 5.9349; 3.8441 5.9349; 3.7675 5.8706; 3.8675 5.8706; 3.9675 5.8706; 4.0675 5.8706; 4.1675 5.8706; 4.2675 5.8706; 4.3675 5.8706; 4.4675 5.8706; 4.5675 5.8706; 4.6675 5.8706; 4.7675 5.8706; 4.8675 5.8706; 4.9675 5.8706; 5.0675 5.8706; 5.1675 5.8706; 5.2675 5.8706; 5.3675 5.8706; 5.4675 5.8706; 5.5675 5.8706; 5.6675 5.8706; 5.7675 5.8706; 5.8675 5.8706; 5.9675 5.8706; 6.0675 5.8706; 6.1675 5.8706; 6.2675 5.8706; 6.3675 5.8706; 6.4675 5.8706; 6.5675 5.8706; 6.6675 5.8706; 6.7675 5.8706; 6.8675 5.8706; 6.9675 5.8706; 7.0675 5.8706; 7.1675 5.8706; 7.2675 5.8706; 7.3675 5.8706; 7.4675 5.8706; 7.4925 5.8706; 7.5175 5.8706; 7.5425 5.8706; 7.5675 5.8706; 7.5925 5.8706; 7.6175 5.8706; 7.6425 5.8706; 7.6675 5.8706; 7.6925 5.8706; 7.7175 5.8706; 7.7425 5.8706; 7.7675 5.8706; 7.7925 5.8706; 7.8175 5.8706; 7.8425 5.8706; 7.8675 5.8706; 7.8925 5.8706; 7.9175 5.8706; 7.9425 5.8706; 7.9675 5.8706; 7.9925 5.8706; 8.0175 5.8706; 8.0425 5.8706; 8.0675 5.8706; 8.0925 5.8706; 8.1175 5.8706; 8.1425 5.8706; 8.1675 5.8706; 8.1925 5.8706; 8.2175 5.8706; 8.2425 5.8706; 8.2675 5.8706; 8.2925 5.8706; 8.3175 5.8706; 8.3425 5.8706; 8.3675 5.8706; 8.3925 5.8706; 8.4175 5.8706; 8.4425 5.8706; 8.4675 5.8706; 8.4925 5.8706; 8.5175 5.8706; 8.5425 5.8706; 8.5675 5.8706; 8.5925 5.8706; 8.6175 5.8706; 8.6425 5.8706; 8.6675 5.8706; 8.6925 5.8706; 8.7175 5.8706; 8.7425 5.8706; 8.7675 5.8706; 8.7925 5.8706; 8.8175 5.8706; 8.8425 5.8706; 8.8675 5.8706; 8.8925 5.8706; 8.9175 5.8706; 8.9425 5.8706; 8.9675 5.8706; 8.9925 5.8706; 9.0175 5.8706; 9.0425 5.8706; 9.0675 5.8706; 9.0925 5.8706; 9.1175 5.8706; 9.1425 5.8706; 9.1675 5.8706; 9.1925 5.8706; 9.2175 5.8706; 9.2425 5.8706; 9.2675 5.8706; 9.2925 5.8706; 9.3175 5.8706; 9.3425 5.8706; 9.3675 5.8706; 9.3925 5.8706; 9.4175 5.8706
3, -6.6180 -0.0202; -6.5680 -0.0202; -6.4741 -0.0544; -6.3801 -0.0886; -6.2861 -0.1228; -6.1922 -0.1570; -6.0982 -0.1912; -6.0042 -0.2254; -5.9102 -0.2596; -5.8163 -0.2938; -5.7223 -0.3280; -5.6283 -0.3622; -5.5344 -0.3964; -5.4404 -0.4306; -5.3464 -0.4648; -5.2525 -0.4990; -5.1585 -0.5332; -5.0645 -0.5674; -4.9706 -0.6016; -4.8766 -0.6358; -4.7826 -0.6700; -4.6886 -0.7042; -4.5947 -0.7384; -4.5007 -0.7726; -4.3832 -0.8154; -4.2658 -0.8582; -4.1483 -0.9009; -4.0309 -0.9437; -3.9134 -0.9864; -3.7959 -1.0292; -3.6785 -1.0719; -3.5610 -1.1147; -3.4436 -1.1574; -3.3261 -1.2002; -3.2086 -1.2429; -3.0912 -1.2857; -2.9737 -1.3284; -2.8562 -1.3712; -2.7388 -1.4139; -2.6213 -1.4567; -2.5039 -1.4994; -2.3864 -1.5422; -2.2689 -1.5849; -2.1515 -1.6277; -2.0340 -1.6705; -1.9166 -1.7132; -1.7916 -1.7132; -1.7698 -1.5901; -1.7481 -1.4670; -1.7264 -1.3439; -1.7481 -1.2208; -1.7698 -1.0977; -1.7916 -0.9746; -1.8133 -0.8515; -1.8350 -0.7284; -1.8567 -0.6053; -1.8784 -0.4822; -1.9001 -0.3591; -1.9218 -0.2360; -1.9435 -0.1129; -1.9652 0.0102; -1.9869 0.1333; -1.8694 0.0906; -1.7520 0.0478; -1.6345 0.0051; -1.5171 -0.0377; -1.3996 -0.0805; -1.4213 0.0426; -1.3038 -0.0001; -1.1864 -0.0429; -1.0689 -0.0856; -0.9515 -0.1284; -0.8340 -0.1711; -0.7165 -0.2139; -0.5991 -0.2566; -0.5774 -0.1335; -0.5557 -0.0104; -0.4382 -0.0532; -0.3442 -0.0874; -0.3269 0.0111; -0.3052 0.1342; -0.1877 0.0915; -0.0937 0.0573; 0.0002 0.0231; 0.0176 0.1215; 0.0350 0.2200; 0.1289 0.1858; 0.2229 0.1516; 0.3169 0.1174; 0.4108 0.0832; 0.5048 0.0490; 0.5988 0.0148; 0.6928 -0.0194; 0.7867 -0.0536; 0.8807 -0.0878; 0.9747 -0.1220; 1.0686 -0.1562; 1.1626 -0.1904; 1.2566 -0.2246; 1.3505 -0.2588; 1.4445 -0.2930; 1.5385 -0.3272; 1.6324 -0.3614; 1.5385 -0.3272; 1.4445 -0.2930; 1.3505 -0.2588; 1.2566 -0.2246; 1.1626 -0.1904; 1.1800 -0.0919; 1.1973 0.0066; 1.2147 0.1050; 1.2321 0.2035; 1.2494 0.3020; 1.2668 0.4005; 1.3168 0.3139; 1.4108 0.2797; 1.5047 0.2455; 1.5987 0.2113; 1.6927 0.1771; 1.7866 0.1429; 1.8806 0.1087; 1.9746 0.0745; 2.0685 0.0403; 2.1625 0.0061; 2.2565 -0.0281; 2.3504 -0.0623; 2.2565 -0.0281; 2.1625 0.0061; 2.0685 0.0403; 1.9746 0.0745; 1.8806 0.1087; 1.7866 0.1429; 1.6927 0.1771; 1.5987 0.2113; 1.5047 0.2455; 1.4108 0.2797; 1.3168 0.3139; 1.3342 0.4124; 1.2402 0.4466; 1.2575 0.5450; 1.2749 0.6435; 1.3689 0.6093; 1.4629 0.5751; 1.5568 0.5409; 1.6508 0.5067; 1.7448 0.4725; 1.8387 0.4383; 1.9327 0.4041; 2.0267 0.3699; 2.1206 0.3357; 2.2146 0.3015; 2.3086 0.2673; 2.4025 0.2331; 2.4965 0.1989; 2.4025 0.2331; 2.3086 0.2673; 2.2146 0.3015; 2.1206 0.3357; 2.0267 0.3699; 1.9327 0.4041; 1.8387 0.4383; 1.7448 0.4725; 1.6508 0.5067; 1.5568 0.5409; 1.4629 0.5751; 1.3689 0.6093; 1.4629 0.5751; 1.5568 0.5409; 1.6508 0.5067; 1.7448 0.4725; 1.8387 0.4383; 1.9327 0.4041; 2.0267 0.3699; 2.1206 0.3357; 2.2146 0.3015; 2.3086 0.2673; 2.4025 0.2331; 2.3086 0.2673; 2.2146 0.3015; 2.1206 0.3357; 2.0267 0.3699; 1.9327 0.4041; 1.8387 0.4383; 1.7448 0.4725; 1.6508 0.5067; 1.5568 0.5409; 1.4629 0.5751; 1.3689 0.6093; 1.4629 0.5751; 1.5568 0.5409; 1.6508 0.5067; 1.7448 0.4725; 1.8387 0.4383; 1.9327 0.4041; 2.0267 0.3699; 2.1206 0.3357; 2.2146 0.3015; 2.3086 0.2673; 2.4025 0.2331; 2.4965 0.1989; 2.4025 0.2331; 2.3086 0.2673; 2.2146 0.3015; 2.1206 0.3357; 2.0267 0.3699; 1.9327 0.4041; 1.8387 0.4383; 1.7448 0.4725; 1.6508 0.5067; 1.5568 0.5409; 1.4629 0.5751; 1.4802 0.6736; 1.3862 0.7078; 1.4036 0.8063; 1.4210 0.9048; 1.4383 1.0032; 1.4557 1.1017; 1.5497 1.0675; 1.6436 1.0333; 1.7376 0.9991; 1.8316 0.9649; 1.9256 0.9307; 2.0195 0.8965; 2.1135 0.8623; 2.2075 0.8281; 2.3014 0.7939; 2.3954 0.7597; 2.4894 0.7255; 2.5833 0.6913; 2.6773 0.6571; 2.7713 0.6229; 2.6773 0.6571; 2.5833 0.6913; 2.4894 0.7255; 2.3954 0.7597; 2.3014 0.7939; 2.2075 0.8281; 2.1135 0.8623; 2.0195 0.8965; 1.9256 0.9307; 1.8316 0.9649; 1.7376 0.9991; 1.7550 1.0976; 1.7376 1.1961; 1.7202 1.2946; 1.7029 1.3930; 1.6855 1.4915; 1.6682 1.5900; 1.6508 1.6885; 1.6334 1.7870; 1.6161 1.8854; 1.5987 1.9839; 1.6927 1.9497; 1.7866 1.9155; 1.8806 1.8813; 1.9746 1.8471; 2.0685 1.8129; 2.1625 1.7787; 2.2565 1.7445; 2.3504 1.7103; 2.4444 1.6761; 2.5384 1.6419; 2.6324 1.6077; 2.7263 1.5735; 2.8203 1.5393; 2.9143 1.5051; 3.0082 1.4709; 3.1022 1.4367; 3.1962 1.4025; 3.1022 1.4367; 3.0082 1.4709; 2.9143 1.5051; 2.8203 1.5393; 2.7263 1.5735; 2.6324 1.6077; 2.5384 1.6419; 2.4444 1.6761; 2.3504 1.7103; 2.3331 1.8088; 2.3157 1.9073; 2.2984 2.0057; 2.2810 2.1042; 2.2636 2.2027; 2.2463 2.3012; 2.2289 2.3997; 2.2115 2.4982; 2.1942 2.5966; 2.1768 2.6951; 2.2708 2.6609; 2.3647 2.6267; 2.4587 2.5925; 2.5527 2.5583; 2.6466 2.5241; 2.7406 2.4899; 2.8346 2.4557; 2.9286 2.4215; 3.0225 2.3873; 3.1165 2.3531; 3.2105 2.3189; 3.3044 2.2847; 3.3984 2.2505; 3.4924 2.2163; 3.5863 2.1821; 3.6803 2.1479; 3.7743 2.1137; 3.8682 2.0795; 3.7743 2.1137; 3.6803 2.1479; 3.5863 2.1821; 3.4924 2.2163; 3.3984 2.2505; 3.3044 2.2847; 3.2105 2.3189; 3.1165 2.3531; 3.0225 2.3873; 2.9286 2.4215; 2.8346 2.4557; 2.8172 2.5542; 2.7999 2.6527; 2.7825 2.7511; 2.7651 2.8496; 2.7478 2.9481; 2.7304 3.0466; 2.7130 3.1451; 2.6957 3.2435; 2.6783 3.3420; 2.6609 3.4405; 2.6436 3.5390; 2.7375 3.5048; 2.8550 3.4620; 2.9725 3.4193; 3.0899 3.3765; 3.2074 3.3338; 3.3014 3.2996; 3.3953 3.2654; 3.4893 3.2312; 3.5833 3.1970; 3.6772 3.1628; 3.7712 3.1286; 3.8652 3.0944; 3.9591 3.0602; 4.0531 3.0260; 4.1471 2.9918; 4.2410 2.9576; 4.3350 2.9234; 4.4290 2.8891; 4.5230 2.8549; 4.4290 2.8891; 4.3350 2.9234; 4.2410 2.9576
