# agents=10, pattern=U
1, -1.3820 -3.8244; -1.4524 -3.8501; -1.4399 -3.8284; -1.4274 -3.8068; -1.4149 -3.7851; -1.4024 -3.7635; -1.3899 -3.7418; -1.3774 -3.7202; -1.3649 -3.6985; -1.3524 -3.6769; -1.3399 -3.6552; -1.3274 -3.6336; -1.3149 -3.6119; -1.3024 -3.5903; -1.2899 -3.5686; -1.2774 -3.5470; -1.2649 -3.5253; -1.2524 -3.5037; -1.2399 -3.4820; -1.2274 -3.4604; -1.2149 -3.4387; -1.2024 -3.4171; -1.1899 -3.3954; -1.1774 -3.3738; -1.1649 -3.3521; -1.1524 -3.3305; -1.1399 -3.3088; -1.1274 -3.2872; -1.1149 -3.2655; -1.1024 -3.2439; -1.0899 -3.2222; -1.0774 -3.2006; -1.0649 -3.1789; -1.0524 -3.1573; -1.0399 -3.1356; -1.0274 -3.1140; -1.0149 -3.0923; -1.0024 -3.0707; -0.9899 -3.0490; -0.9774 -3.0274; -0.9649 -3.0057; -0.9524 -2.9841; -0.9399 -2.9624; -0.9274 -2.9408; -0.9149 -2.9191; -0.9024 -2.8975; -0.8899 -2.8758; -0.8774 -2.8542; -0.8649 -2.8325; -0.8524 -2.8109; -0.8399 -2.7892; -0.8274 -2.7675; -0.8149 -2.7459; -0.8024 -2.7242; -0.7899 -2.7026; -0.7774 -2.6809; -0.7649 -2.6593; -0.7524 -2.6376; -0.7399 -2.6160; -0.7274 -2.5943; -0.7149 -2.5727; -0.7024 -2.5510; -0.6899 -2.5294; -0.6774 -2.5077; -0.6649 -2.4861; -0.6524 -2.4644; -0.6399 -2.4428; -0.6274 -2.4211; -0.6149 -2.3995; -0.6024 -2.3778; -0.5899 -2.3562; -0.5774 -2.3345; -0.5649 -2.3129; -0.5524 -2.2912; -0.5399 -2.2696; -0.5274 -2.2479; -0.5149 -2.2263; -0.5024 -2.2046; -0.4899 -2.1830; -0.4774 -2.1613; -0.4649 -2.1397; -0.4524 -2.1180; -0.4399 -2.0964; -0.4274 -2.0747; -0.4149 -2.0531; -0.4024 -2.0314; -0.3899 -2.0098; -0.3774 -1.9881; -0.3649 -1.9665; -0.3524 -1.9448; -0.3399 -1.9232; -0.3274 -1.9015; -0.3149 -1.8799; -0.3024 -1.8582; -0.2899 -1.8366; -0.2774 -1.8149; -0.2649 -1.7933; -0.2524 -1.7716; -0.2399 -1.7500; -0.2274 -1.7283; -0.2149 -1.7067; -0.2024 -1.6850; -0.1899 -1.6634; -0.1774 -1.6417; -0.1649 -1.6201; -0.1524 -1.5984; -0.1399 -1.5768; -0.1274 -1.5551; -0.1149 -1.5335; -0.1024 -1.5118; -0.0899 -1.4902; -0.0774 -1.4685; -0.0649 -1.4469; -0.0524 -1.4252; -0.0399 -1.4036; -0.0274 -1.3819; -0.0149 -1.3603; -0.0024 -1.3386; 0.0101 -1.3170; 0.0226 -1.2953; 0.0351 -1.2737; 0.0476 -1.2520; 0.0601 -1.2304; 0.0726 -1.2087; 0.0851 -1.1871; 0.0976 -1.1654; 0.1101 -1.1438; 0.1226 -1.1221; 0.1351 -1.1005; 0.1476 -1.0788; 0.1601 -1.0571; 0.1726 -1.0355; 0.1851 -1.0138; 0.1976 -0.9922; 0.2101 -0.9705; 0.2726 -0.8623; 0.3351 -0.7540; 0.3976 -0.6458; 0.4601 -0.5375; 0.5226 -0.4293; 0.5851 -0.3210; 0.6476 -0.2128; 0.7101 -0.1045; 0.7726 0.0037; 0.8351 0.1120; 0.9525 0.0692; 1.0150 0.1775; 1.1325 0.1347; 1.1950 0.2430; 1.3124 0.2002; 1.4299 0.1575; 1.5474 0.1147; 1.6648 0.0720; 1.7823 0.0292; 1.8997 -0.0135; 2.0172 -0.0563; 2.1347 -0.0990; 2.2521 -0.1418; 2.3696 -0.1845; 2.4871 -0.2273; 2.6045 -0.2700; 2.7220 -0.3128; 2.8394 -0.3555; 2.9569 -0.3983; 3.0744 -0.4411; 3.1918 -0.4838; 3.3093 -0.5266; 3.4268 -0.5693; 3.5442 -0.6121; 3.6617 -0.6548; 3.7791 -0.6976; 3.8966 -0.7403; 4.0141 -0.7831; 4.1315 -0.8258; 4.2490 -0.8686; 4.3664 -0.9113; 4.4839 -0.9541; 4.6014 -0.9968; 4.7188 -1.0396; 4.8363 -1.0823; 4.9538 -1.1251; 5.0712 -1.1678; 5.1887 -1.2106; 5.3061 -1.2534; 5.4236 -1.2961; 5.5411 -1.3389; 5.6585 -1.3816; 5.7760 -1.4244; 5.8934 -1.4671; 6.0109 -1.5099; 6.1284 -1.5526; 6.2458 -1.5954; 6.3633 -1.6381; 6.4808 -1.6809; 6.5982 -1.7236; 6.7157 -1.7664; 6.8331 -1.7236; 6.9506 -1.6809; 7.0681 -1.6381; 7.1855 -1.5954; 7.3030 -1.5526; 7.4204 -1.5099; 7.5379 -1.4671; 7.6554 -1.4244; 7.7728 -1.3816; 7.8903 -1.3389; 8.0078 -1.2961; 8.1252 -1.2534; 8.2427 -1.2106; 8.3601 -1.1678; 8.4776 -1.1251; 8.5951 -1.0823; 8.7125 -1.0396; 8.8300 -0.9968; 8.9474 -0.9541; 9.0649 -0.9113; 9.1824 -0.8686; 9.2998 -0.8258; 9.4173 -0.7831; 9.5348 -0.7403; 9.6522 -0.6976; 9.7697 -0.6548; 9.8871 -0.6121; 10.0046 -0.5693; 10.1221 -0.5266; 10.2395 -0.4838; 10.3570 -0.4411; 10.4744 -0.3983; 10.5919 -0.3555; 10.6389 -0.3384; 10.6859 -0.3213; 10.7329 -0.3042; 10.7798 -0.2871; 10.8268 -0.2700; 10.8738 -0.2529; 10.9208 -0.2358; 10.9678 -0.2187; 11.0148 -0.2016; 11.0618 -0.1845; 11.1087 -0.1674; 11.1557 -0.1503; 11.2027 -0.1332; 11.2497 -0.1161; 11.2967 -0.0990; 11.3437 -0.0819; 11.3906 -0.0648; 11.4376 -0.0477; 11.4846 -0.0306; 11.5316 -0.0135; 11.5786 0.0036; 11.6256 0.0207; 11.6726 0.0378; 11.7195 0.0549; 11.7665 0.0720; 11.8135 0.0891; 11.8605 0.1062; 11.9075 0.1233; 11.9545 0.1404; 12.0014 0.1575; 12.0484 0.1746; 12.0954 0.1917; 12.1424 0.2088; 12.1894 0.2259; 12.2364 0.2430; 12.2834 0.2601; 12.3303 0.2772; 12.3773 0.2943; 12.4243 0.3114; 12.4713 0.3285; 12.5183 0.3456; 12.5653 0.3627; 12.6122 0.3798; 12.6592 0.3969; 12.7062 0.4140; 12.7532 0.4311; 12.8002 0.4482; 12.8472 0.4653; 12.8942 0.4824; 12.9411 0.4995; 12.9881 0.5166; 13.0351 0.5337; 13.0821 0.5508; 13.1291 0.5679; 13.1761 0.5850; 13.2230 0.6021; 13.2700 0.6192; 13.3170 0.6363; 13.3640 0.6534; 13.4110 0.6705; 13.4580 0.6876; 13.5050 0.7047; 13.5519 0.7218; 13.5989 0.7389; 13.6459 0.7560; 13.6929 0.7731; 13.7399 0.7902; 13.7869 0.8073; 13.8338 0.8244; 13.8808 0.8415; 13.9278 0.8586; 13.9748 0.8757; 14.0218 0.8928; 14.0688 0.9099; 14.1158 0.9270; 14.1627 0.9441; 14.2097 0.9612; 14.2567 0.9783; 14.3037 0.9954; 14.3507 1.0125; 14.3977 1.0296; 14.4446 1.0467; 14.4916 1.0638; 14.5386 1.0809; 14.5856 1.0980; 14.6326 1.1151; 14.6796 1.1322; 14.7266 1.1493; 14.7735 1.1664; 14.8205 1.1835; 14.8675 1.2006; 14.9145 1.2177; 14.9615 1.2348; 15.0085 1.2519; 15.0554 1.2690; 15.1024 1.2861; 15.1494 1.3032; 15.1964 1.3203; 15.2434 1.3375; 15.2904 1.3546; 15.3374 1.3717; 15.3843 1.3888; 15.4313 1.4059; 15.4783 1.4230; 15.5253 1.4401; 15.5723 1.4572; 15.6193 1.4743; 15.6662 1.4914; 15.7132 1.5085; 15.7602 1.5256; 15.8072 1.5427; 15.8542 1.5598; 15.9012 1.5769; 15.9482 1.5940; 15.9951 1.6111; 16.0421 1.6282; 16.0891 1.6453; 16.1361 1.6624; 16.1831 1.6795; 16.2301 1.6966; 16.2770 1.7137
2, -1.3820 -3.8244; -1.4290 -3.8415; -1.4165 -3.8199; -1.4040 -3.7982; -1.3915 -3.7766; -1.3790 -3.7549; -1.3665 -3.7333; -1.3540 -3.7116; -1.3415 -3.6900; -1.3290 -3.6683; -1.3165 -3.6467; -1.3040 -3.6250; -1.2915 -3.6034; -1.2790 -3.5817; -1.2665 -3.5601; -1.2540 -3.5384; -1.2415 -3.5168; -1.2290 -3.4951; -1.2165 -3.4735; -1.2040 -3.4518; -1.1915 -3.4302; -1.1790 -3.4085; -1.1665 -3.3869; -1.1540 -3.3652; -1.1415 -3.3436; -1.1290 -3.3219; -1.1165 -3.3003; -1.1040 -3.2786; -1.0915 -3.2570; -1.0790 -3.2353; -1.0665 -3.2137; -1.0540 -3.1920; -1.0415 -3.1704; -1.0290 -3.1487; -1.0165 -3.1271; -1.0040 -3.1054; -0.9915 -3.0838; -0.9790 -3.0621; -0.9665 -3.0405; -0.9540 -3.0188; -0.9415 -2.9972; -0.9290 -2.9755; -0.9165 -2.9539; -0.9040 -2.9322; -0.8915 -2.9106; -0.8790 -2.8889; -0.8665 -2.8673; -0.8540 -2.8456; -0.8415 -2.8240; -0.8290 -2.8023; -0.8165 -2.7806; -0.8040 -2.7590; -0.7915 -2.7373; -0.7790 -2.7157; -0.7665 -2.6940; -0.7540 -2.6724; -0.7415 -2.6507; -0.7290 -2.6291; -0.7165 -2.6074; -0.7040 -2.5858; -0.6915 -2.5641; -0.6790 -2.5425; -0.6665 -2.5208; -0.6540 -2.4992; -0.6415 -2.4775; -0.6290 -2.4559; -0.6165 -2.4342; -0.6040 -2.4126; -0.5915 -2.3909; -0.5790 -2.3693; -0.5665 -2.3476; -0.5540 -2.3260; -0.5415 -2.3043; -0.5290 -2.2827; -0.5165 -2.2610; -0.5040 -2.2394; -0.4915 -2.2177; -0.4790 -2.1961; -0.4665 -2.1744; -0.4540 -2.1528; -0.4415 -2.1311; -0.4290 -2.1095; -0.4165 -2.0878; -0.4040 -2.0662; -0.3915 -2.0445; -0.3790 -2.0229; -0.3665 -2.0012; -0.3540 -1.9796; -0.3415 -1.9579; -0.3290 -1.9363; -0.3165 -1.9146; -0.3040 -1.8930; -0.2915 -1.8713; -0.2790 -1.8497; -0.2665 -1.8280; -0.2540 -1.8064; -0.2415 -1.7847; -0.2290 -1.7631; -0.2165 -1.7414; -0.2040 -1.7198; -0.1915 -1.6981; -0.1790 -1.6765; -0.1665 -1.6548; -0.1540 -1.6332; -0.1415 -1.6115; -0.1290 -1.5899; -0.1165 -1.5682; -0.1040 -1.5466; -0.0915 -1.5249; -0.0790 -1.5033; -0.0665 -1.4816; -0.0540 -1.4600; -0.0415 -1.4383; -0.0290 -1.4167; -0.0165 -1.3950; -0.0040 -1.3734; 0.0085 -1.3517; 0.0210 -1.3301; 0.0335 -1.3084; 0.0460 -1.2868; 0.0585 -1.2651; 0.0710 -1.2435; 0.0835 -1.2218; 0.0960 -1.2002; 0.1085 -1.1785; 0.1210 -1.1569; 0.1335 -1.1352; 0.1460 -1.1136; 0.2085 -1.0053; 0.2710 -0.8970; 0.3335 -0.7888; 0.3960 -0.6805; 0.4585 -0.5723; 0.5210 -0.4640; 0.5835 -0.3558; 0.6460 -0.2475; 0.7085 -0.1393; 0.7710 -0.0310; 0.8335 0.0772; 0.9585 0.0772; 1.0760 0.0345; 1.1385 0.1427; 1.2560 0.1000; 1.3734 0.0572; 1.4909 0.0145; 1.6084 -0.0283; 1.7258 -0.0710; 1.8433 -0.1138; 1.9607 -0.1565; 2.0782 -0.1993; 2.1957 -0.2420; 2.3131 -0.2848; 2.4306 -0.3275; 2.5480 -0.3703; 2.6655 -0.4130; 2.7830 -0.4558; 2.9004 -0.4986; 3.0179 -0.5413; 3.1354 -0.5841; 3.2528 -0.6268; 3.3703 -0.6696; 3.4877 -0.7123; 3.6052 -0.7551; 3.7227 -0.7978; 3.8401 -0.8406; 3.9576 -0.8833; 4.0751 -0.9261; 4.1925 -0.9688; 4.3100 -1.0116; 4.4274 -1.0543; 4.5449 -1.0971; 4.6624 -1.1398; 4.7798 -1.1826; 4.8973 -1.2253; 5.0147 -1.2681; 5.1322 -1.3109; 5.2497 -1.3536; 5.3671 -1.3964; 5.4846 -1.4391; 5.6021 -1.4819; 5.7195 -1.5246; 5.8370 -1.5674; 5.9544 -1.6101; 6.0719 -1.6529; 6.1894 -1.6956; 6.3068 -1.7384; 6.4243 -1.7811; 6.5417 -1.7384; 6.6592 -1.6956; 6.7767 -1.6529; 6.8941 -1.6101; 7.0116 -1.5674; 7.1291 -1.5246; 7.2465 -1.4819; 7.3640 -1.4391; 7.4814 -1.3964; 7.5989 -1.3536; 7.7164 -1.3109; 7.8338 -1.2681; 7.9513 -1.2253; 8.0687 -1.1826; 8.1862 -1.1398; 8.3037 -1.0971; 8.4211 -1.0543; 8.5386 -1.0116; 8.6561 -0.9688; 8.7735 -0.9261; 8.8910 -0.8833; 8.9380 -0.8662; 8.9849 -0.8491; 9.0319 -0.8320; 9.0789 -0.8149; 9.1259 -0.7978; 9.1729 -0.7807; 9.2199 -0.7636; 9.2669 -0.7465; 9.3138 -0.7294; 9.3608 -0.7123; 9.4078 -0.6952; 9.4548 -0.6781; 9.5018 -0.6610; 9.5488 -0.6439; 9.5957 -0.6268; 9.6427 -0.6097; 9.6897 -0.5926; 9.7367 -0.5755; 9.7837 -0.5584; 9.8307 -0.5413; 9.8777 -0.5242; 9.9246 -0.5071; 9.9716 -0.4900; 10.0186 -0.4729; 10.0656 -0.4558; 10.1126 -0.4387; 10.1596 -0.4216; 10.2065 -0.4045; 10.2535 -0.3874; 10.3005 -0.3703; 10.3475 -0.3532; 10.3945 -0.3361; 10.4415 -0.3190; 10.4885 -0.3019; 10.5354 -0.2848; 10.5824 -0.2677; 10.6294 -0.2506; 10.6764 -0.2335; 10.7234 -0.2164; 10.7704 -0.1993; 10.8173 -0.1822; 10.8643 -0.1651; 10.9113 -0.1480; 10.9583 -0.1309; 11.0053 -0.1138; 11.0523 -0.0967; 11.0993 -0.0796; 11.1462 -0.0625; 11.1932 -0.0454; 11.2402 -0.0283; 11.2872 -0.0112; 11.3342 0.0059; 11.3812 0.0230; 11.4281 0.0401; 11.4751 0.0572; 11.5221 0.0743; 11.5691 0.0914; 11.6161 0.1085; 11.6631 0.1256; 11.7101 0.1427; 11.7570 0.1598; 11.8040 0.1769; 11.8510 0.1940; 11.8980 0.2111; 11.9450 0.2282; 11.9920 0.2453; 12.0389 0.2624; 12.0859 0.2795; 12.1329 0.2966; 12.1799 0.3137; 12.2269 0.3308; 12.2739 0.3479; 12.3209 0.3650; 12.3678 0.3821; 12.4148 0.3993; 12.4618 0.4164; 12.5088 0.4335; 12.5558 0.4506; 12.6028 0.4677; 12.6497 0.4848; 12.6967 0.5019; 12.7437 0.5190; 12.7907 0.5361; 12.8377 0.5532; 12.8847 0.5703; 12.9317 0.5874; 12.9786 0.6045; 13.0256 0.6216; 13.0726 0.6387; 13.1196 0.6558; 13.1666 0.6729; 13.1579 0.7221; 13.1492 0.7713; 13.1405 0.8206; 13.1318 0.8698; 13.1232 0.9191; 13.1145 0.9683; 13.1058 1.0175; 13.0971 1.0668; 13.0884 1.1160; 13.0798 1.1653; 13.0711 1.2145; 13.0624 1.2638; 13.0537 1.3130; 13.0450 1.3622; 13.0363 1.4115; 13.0277 1.4607; 13.0190 1.5100; 13.0103 1.5592; 13.0016 1.6084; 12.9929 1.6577; 12.9842 1.7069; 12.9756 1.7562; 12.9669 1.8054; 12.9582 1.8546; 12.9495 1.9039; 12.9408 1.9531; 12.9322 2.0024; 12.9235 2.0516; 12.9148 2.1008; 12.9061 2.1501; 12.8974 2.1993; 12.8887 2.2486; 12.8801 2.2978; 12.8714 2.3470; 12.8627 2.3963; 12.8540 2.4455; 12.8453 2.4948; 12.8366 2.5440; 12.8280 2.5932; 12.8193 2.6425; 12.8106 2.6917; 12.8019 2.7410; 12.7932 2.7902; 12.7846 2.8394; 12.7759 2.8887; 12.7672 2.9379; 12.7585 2.9872; 12.7498 3.0364; 12.7411 3.0856; 12.7325 3.1349; 12.7238 3.1841
3, -1.3820 -3.8244; -1.3350 -3.8073; -1.3225 -3.7857; -1.3100 -3.7640; -1.2975 -3.7424; -1.2850 -3.7207; -1.2725 -3.6991; -1.2600 -3.6774; -1.2475 -3.6558; -1.2350 -3.6341; -1.2225 -3.6125; -1.2100 -3.5908; -1.1975 -3.5692; -1.1850 -3.5475; -1.1725 -3.5259; -1.1600 -3.5042; -1.1475 -3.4826; -1.1350 -3.4609; -1.1225 -3.4393; -1.1100 -3.4176; -1.0975 -3.3960; -1.0850 -3.3743; -1.0725 -3.3527; -1.0600 -3.3310; -1.0475 -3.3094; -1.0350 -3.2877; -1.0225 -3.2661; -1.0100 -3.2444; -0.9975 -3.2228; -0.9850 -3.2011; -0.9725 -3.1795; -0.9600 -3.1578; -0.9475 -3.1362; -0.9350 -3.1145; -0.9225 -3.0929; -0.9100 -3.0712; -0.8975 -3.0496; -0.8850 -3.0279; -0.8725 -3.0063; -0.8600 -2.9846; -0.8475 -2.9630; -0.8350 -2.9413; -0.8225 -2.9197; -0.8100 -2.8980; -0.7975 -2.8764; -0.7850 -2.8547; -0.7725 -2.8331; -0.7600 -2.8114; -0.7475 -2.7897; -0.7350 -2.7681; -0.7225 -2.7464; -0.7100 -2.7248; -0.6975 -2.7031; -0.6850 -2.6815; -0.6725 -2.6598; -0.6600 -2.6382; -0.6475 -2.6165; -0.6350 -2.5949; -0.6225 -2.5732; -0.6100 -2.5516; -0.5975 -2.5299; -0.5850 -2.5083; -0.5725 -2.4866; -0.5600 -2.4650; -0.5475 -2.4433; -0.5350 -2.4217; -0.5225 -2.4000; -0.5100 -2.3784; -0.4975 -2.3567; -0.4850 -2.3351; -0.4725 -2.3134; -0.4600 -2.2918; -0.4475 -2.2701; -0.4350 -2.2485; -0.4225 -2.2268; -0.4100 -2.2052; -0.3975 -2.1835; -0.3850 -2.1619; -0.3725 -2.1402; -0.3600 -2.1186; -0.3475 -2.0969; -0.3350 -2.0753; -0.3225 -2.0536; -0.3100 -2.0320; -0.2975 -2.0103; -0.2850 -1.9887; -0.2725 -1.9670; -0.2600 -1.9454; -0.2475 -1.9237; -0.2350 -1.9021; -0.2225 -1.8804; -0.2100 -1.8588; -0.1975 -1.8371; -0.1850 -1.8155; -0.1725 -1.7938; -0.1600 -1.7722; -0.1475 -1.7505; -0.1350 -1.7289; -0.1225 -1.7072; -0.1100 -1.6856; -0.0975 -1.6639; -0.0850 -1.6423; -0.0725 -1.6206; -0.0600 -1.5990; -0.0475 -1.5773; -0.0350 -1.5557; -0.0225 -1.5340; -0.0100 -1.5124; 0.0025 -1.4907; 0.0150 -1.4691; 0.0275 -1.4474; 0.0400 -1.4258; 0.0525 -1.4041; 0.0650 -1.3825; 0.0775 -1.3608; 0.0900 -1.3392; 0.1025 -1.3175; 0.1150 -1.2959; 0.1275 -1.2742; 0.1400 -1.2526; 0.1525 -1.2309; 0.1650 -1.2093; 0.1775 -1.1876; 0.1900 -1.1660; 0.2025 -1.1443; 0.2150 -1.1226; 0.2275 -1.1010; 0.2400 -1.0793; 0.2525 -1.0577; 0.2650 -1.0360; 0.2775 -1.0144; 0.2900 -0.9927; 0.3025 -0.9711; 0.3150 -0.9494; 0.3275 -0.9278; 0.3400 -0.9061; 0.3525 -0.8845; 0.3650 -0.8628; 0.3775 -0.8412; 0.3900 -0.8195; 0.4025 -0.7979; 0.4150 -0.7762; 0.4275 -0.7546; 0.4400 -0.7329; 0.4525 -0.7113; 0.4650 -0.6896; 0.4775 -0.6680; 0.4900 -0.6463; 0.5025 -0.6247; 0.5150 -0.6030; 0.5275 -0.5814; 0.5400 -0.5597; 0.5525 -0.5381; 0.5650 -0.5164; 0.5775 -0.4948; 0.5900 -0.4731; 0.6025 -0.4515; 0.6150 -0.4298; 0.6275 -0.4082; 0.6400 -0.3865; 0.6525 -0.3649; 0.6650 -0.3432; 0.6775 -0.3216; 0.6900 -0.2999; 0.7025 -0.2783; 0.7150 -0.2566; 0.7275 -0.2350; 0.7400 -0.2133; 0.7525 -0.1917; 0.7650 -0.1700; 0.7775 -0.1484; 0.7900 -0.1267; 0.8025 -0.1051; 0.8150 -0.0834; 0.8275 -0.0618; 0.8400 -0.0401; 0.8525 -0.0185; 0.8650 0.0032; 0.8775 0.0248; 0.9400 0.1331; 1.0025 0.2413; 1.0650 0.3496; 1.1275 0.4578; 1.1900 0.5661; 1.2525 0.6744; 1.3150 0.7826; 1.3775 0.8909; 1.5025 0.8909; 1.6200 0.8481; 1.7450 0.8481; 1.8624 0.8054; 1.9799 0.7626; 2.0974 0.7198; 2.2148 0.6771; 2.3323 0.6343; 2.4497 0.5916; 2.5672 0.5488; 2.6847 0.5061; 2.8021 0.4633; 2.9196 0.4206; 3.0371 0.3778; 3.1545 0.3351; 3.2720 0.2923; 3.3894 0.2496; 3.5069 0.2068; 3.6244 0.1641; 3.7418 0.1213; 3.8593 0.0786; 3.9768 0.0358; 4.0942 -0.0069; 4.2117 -0.0497; 4.3291 -0.0924; 4.4466 -0.1352; 4.5641 -0.1780; 4.6815 -0.2207; 4.7990 -0.2635; 4.9164 -0.3062; 5.0339 -0.3490; 5.1514 -0.3917; 5.2688 -0.4345; 5.3863 -0.4772; 5.5038 -0.5200; 5.6212 -0.5627; 5.7387 -0.6055; 5.8561 -0.6482; 5.9736 -0.6910; 6.0911 -0.7337; 6.2085 -0.7765; 6.3260 -0.8192; 6.4434 -0.8620; 6.5609 -0.9047; 6.6784 -0.9475; 6.7958 -0.9903; 6.9133 -1.0330; 7.0308 -1.0758; 7.1482 -1.1185; 7.2657 -1.1613; 7.3831 -1.2040; 7.5006 -1.2468; 7.6181 -1.2895; 7.7355 -1.3323; 7.8530 -1.3750; 7.9704 -1.3323; 8.0879 -1.2895; 8.2054 -1.2468; 8.3228 -1.2040; 8.4403 -1.1613; 8.5578 -1.1185; 8.6752 -1.0758; 8.7927 -1.0330; 8.9101 -0.9903; 9.0276 -0.9475; 9.1451 -0.9047; 9.2625 -0.8620; 9.3800 -0.8192; 9.4974 -0.7765; 9.6149 -0.7337; 9.6619 -0.7166; 9.7089 -0.6995; 9.7559 -0.6824; 9.8028 -0.6653; 9.8498 -0.6482; 9.8968 -0.6311; 9.9438 -0.6140; 9.9908 -0.5969; 10.0378 -0.5798; 10.0848 -0.5627; 10.1317 -0.5456; 10.1787 -0.5285; 10.2257 -0.5114; 10.2727 -0.4943; 10.3197 -0.4772; 10.3667 -0.4601; 10.4136 -0.4430; 10.4606 -0.4259; 10.5076 -0.4088; 10.5546 -0.3917; 10.6016 -0.3746; 10.6486 -0.3575; 10.6956 -0.3404; 10.7425 -0.3233; 10.7895 -0.3062; 10.8365 -0.2891; 10.8835 -0.2720; 10.9305 -0.2549; 10.9775 -0.2378; 11.0244 -0.2207; 11.0714 -0.2036; 11.1184 -0.1865; 11.1654 -0.1694; 11.2124 -0.1523; 11.2594 -0.1352; 11.3064 -0.1181; 11.3533 -0.1010; 11.4003 -0.0839; 11.4473 -0.0668; 11.4943 -0.0497; 11.5413 -0.0326; 11.5883 -0.0155; 11.6352 0.0016; 11.6822 0.0187; 11.7292 0.0358; 11.7762 0.0529; 11.8232 0.0700; 11.8702 0.0871; 11.9172 0.1042; 11.9641 0.1213; 12.0111 0.1384; 12.0581 0.1555; 12.1051 0.1726; 12.1521 0.1897; 12.1991 0.2068; 12.2460 0.2239; 12.2930 0.2410; 12.3400 0.2581; 12.3870 0.2752; 12.4340 0.2923; 12.4810 0.3094; 12.5280 0.3265; 12.5749 0.3436; 12.6219 0.3607; 12.6689 0.3778; 12.7159 0.3949; 12.7629 0.4120; 12.8099 0.4291; 12.8568 0.4462; 12.9038 0.4633; 12.9508 0.4804; 12.9978 0.4975; 13.0448 0.5146; 13.0918 0.5317; 13.1388 0.5488; 13.1857 0.5659; 13.2327 0.5830; 13.2797 0.6001; 13.3267 0.6172; 13.3737 0.6343; 13.4207 0.6514; 13.4676 0.6685; 13.5146 0.6856; 13.5616 0.7027; 13.6086 0.7198; 13.6556 0.7370; 13.7026 0.7541; 13.7496 0.7712; 13.7965 0.7883; 13.8435 0.8054; 13.8905 0.8225; 13.9375 0.8396; 13.9845 0.8567
