# agents=10, pattern=U
1, -7.2361 -1.9223; -7.1111 -1.9223; -7.0153 -1.8420; -6.9196 -1.7616; -6.8238 -1.6813; -6.7280 -1.6009; -6.6323 -1.5206; -6.5365 -1.4402; -6.4408 -1.3599; -6.3450 -1.2795; -6.2493 -1.1992; -6.1535 -1.1188; -6.0578 -1.0385; -5.9620 -0.9581; -5.8662 -0.8778; -5.7705 -0.7974; -5.6747 -0.7171; -5.6122 -0.8253; -5.5497 -0.9336; -5.4872 -1.0418; -5.4247 -1.1501; -5.3622 -1.2584; -5.2997 -1.3666; -5.2372 -1.4749; -5.1747 -1.5831; -5.1122 -1.6914; -5.0497 -1.7996; -4.9872 -1.9079; -4.9247 -2.0161; -4.8622 -2.1244; -4.7997 -2.2326; -4.7372 -2.3409; -4.6747 -2.4491; -4.6122 -2.5574; -4.5497 -2.6656; -4.4872 -2.7739; -4.4247 -2.8822; -4.3622 -2.9904; -4.2997 -3.0987; -4.2372 -3.2069; -4.1747 -3.3152; -4.1122 -3.4234; -4.0497 -3.5317; -3.9872 -3.6399; -3.9247 -3.7482; -3.8622 -3.8564; -3.7997 -3.9647; -3.7372 -4.0729; -3.7247 -4.0946; -3.7122 -4.1162; -3.6997 -4.1379; -3.6872 -4.1595; -3.6747 -4.1812; -3.6622 -4.2028; -3.6497 -4.2245; -3.6372 -4.2461; -3.6247 -4.2678; -3.6122 -4.2894; -3.5997 -4.3111; -3.5872 -4.3327; -3.5747 -4.3544; -3.5622 -4.3760; -3.5497 -4.3977; -3.5372 -4.4193; -3.5247 -4.4410; -3.5122 -4.4626; -3.4997 -4.4843; -3.4872 -4.5060; -3.4747 -4.5276; -3.4622 -4.5493; -3.4497 -4.5709; -3.4372 -4.5926; -3.4247 -4.6142; -3.4122 -4.6359; -3.3997 -4.6575; -3.3872 -4.6792; -3.3747 -4.7008; -3.3622 -4.7225; -3.3497 -4.7441; -3.3122 -4.8091; -3.2747 -4.8740; -3.2372 -4.9390; -3.1997 -5.0039; -3.1622 -5.0689; -3.1247 -5.1338; -3.0872 -5.1988; -3.0497 -5.2637; -3.0122 -5.3287; -2.9747 -5.3936; -2.9372 -5.4586; -2.8997 -5.5235; -2.8622 -5.5885; -2.8247 -5.6534; -2.7872 -5.7184; -2.7497 -5.7833; -2.7122 -5.8483; -2.6747 -5.9132; -2.6372 -5.9782; -2.5997 -6.0431; -2.5622 -6.1081; -2.5247 -6.1730; -2.4872 -6.2380; -2.4497 -6.3030; -2.4122 -6.3679; -2.3747 -6.4329; -2.3372 -6.4978; -2.2997 -6.5628; -2.2622 -6.6277; -2.2247 -6.6927; -2.1872 -6.7576; -2.1497 -6.8226; -2.1122 -6.8875; -2.0747 -6.9525; -2.0372 -7.0174; -1.9997 -7.0824; -1.9622 -7.1473; -1.9247 -7.2123; -1.8872 -7.2772; -1.8497 -7.3422; -1.8122 -7.4071; -1.7747 -7.4721; -1.7372 -7.5370; -1.6997 -7.6020; -1.6622 -7.6669; -1.6247 -7.7319; -1.5872 -7.7968; -1.5497 -7.8618; -1.5122 -7.9268; -1.4747 -7.9917; -1.4372 -8.0567; -1.3997 -8.1216; -1.3622 -8.1866; -1.3247 -8.2515; -1.2872 -8.3165; -1.2497 -8.3814; -1.2122 -8.4464; -1.1747 -8.5113; -1.1372 -8.5763; -1.0997 -8.6412; -1.0622 -8.7062; -1.0247 -8.7711; -0.9872 -8.8361; -0.9497 -8.9010; -0.9122 -8.9660; -0.8747 -9.0309; -0.8372 -9.0959; -0.7997 -9.1608; -0.7622 -9.2258; -0.7247 -9.2907; -0.6872 -9.3557; -0.6497 -9.4206; -0.6122 -9.4856; -0.5747 -9.5505; -0.5372 -9.6155; -0.4997 -9.6805; -0.4622 -9.7454; -0.4247 -9.8104; -0.3872 -9.8753; -0.3497 -9.9403; -0.3122 -10.0052; -0.2747 -10.0702; -0.2372 -10.1351; -0.1997 -10.2001; -0.1622 -10.2650; -0.1247 -10.3300; -0.0872 -10.3949; -0.0497 -10.4599; -0.0122 -10.5248; 0.0253 -10.5898; 0.0628 -10.6547; 0.1003 -10.7197; 0.1378 -10.7846; 0.1753 -10.8496; 0.2128 -10.9145; 0.2503 -10.9795; 0.2878 -11.0444; 0.3253 -11.1094; 0.3628 -11.1743; 0.4003 -11.2393; 0.4378 -11.3043; 0.4753 -11.3692; 0.5128 -11.4342; 0.5503 -11.4991; 0.5878 -11.5641; 0.6253 -11.6290; 0.6628 -11.6940; 0.7003 -11.7589; 0.7378 -11.8239; 0.7753 -11.8888; 0.8128 -11.9538; 0.8503 -12.0187; 0.8633 -11.9449; 0.9008 -12.0098; 0.9138 -11.9360; 0.9513 -12.0009; 0.9888 -12.0659; 1.0263 -12.1308; 1.0393 -12.0569; 1.0768 -12.1219; 1.1143 -12.1869; 1.1274 -12.1130; 1.1404 -12.0391; 1.1779 -12.1041; 1.1909 -12.0302; 1.2039 -11.9564; 1.2414 -12.0213; 1.2789 -12.0863; 1.2920 -12.0124; 1.3050 -11.9385; 1.3425 -12.0035; 1.3555 -11.9296; 1.3930 -11.9946; 1.4060 -11.9207; 1.4435 -11.9857; 1.4565 -11.9118; 1.4696 -11.8380; 1.5071 -11.9029; 1.5446 -11.9679; 1.5821 -12.0328; 1.6196 -12.0978; 1.6326 -12.0239; 1.6701 -12.0889; 1.7076 -12.1538; 1.7206 -12.0799; 1.7336 -12.0061; 1.7711 -12.0710; 1.8086 -12.1360; 1.8461 -12.2009; 1.8836 -12.2659; 1.9211 -12.3308; 1.9586 -12.3958; 1.9717 -12.3219; 1.9847 -12.2481; 2.0222 -12.3130; 2.0597 -12.3780; 2.0972 -12.4429; 2.1347 -12.5079; 2.1722 -12.5728; 2.2097 -12.6378; 2.2472 -12.7027; 2.2602 -12.6289; 2.2732 -12.5550; 2.2863 -12.4812; 2.2993 -12.4073; 2.3368 -12.4722; 2.3743 -12.5372; 2.4118 -12.6022; 2.4493 -12.6671; 2.4868 -12.7321; 2.4998 -12.6582; 2.5128 -12.5843; 2.5259 -12.5105; 2.5389 -12.4366; 2.5764 -12.5016; 2.5894 -12.4277; 2.6269 -12.4927; 2.6399 -12.4188; 2.6774 -12.4837; 2.6905 -12.4099; 2.7280 -12.4748; 2.7410 -12.4010; 2.7785 -12.4659; 2.7915 -12.3921; 2.8290 -12.4570; 2.8420 -12.3832; 2.8795 -12.4481; 2.8925 -12.3743; 2.9300 -12.4392; 2.9431 -12.3653; 2.9806 -12.4303; 2.9936 -12.3564; 3.0311 -12.4214; 2.9606 -12.3957; 2.8901 -12.3701; 2.9276 -12.4350; 2.9407 -12.3612; 2.9782 -12.4261; 2.9912 -12.3523; 3.0287 -12.4172; 3.0417 -12.3434; 3.0792 -12.4083; 3.0922 -12.3345; 3.1297 -12.3994; 3.1428 -12.3255; 3.1803 -12.3905; 3.1098 -12.3648; 3.0393 -12.3392; 3.0768 -12.4041; 3.0898 -12.3303; 3.1273 -12.3952; 3.0568 -12.3696; 3.0943 -12.4345; 3.0239 -12.4089; 3.0614 -12.4738; 2.9909 -12.4482; 3.0284 -12.5131; 3.0659 -12.5781; 2.9954 -12.5524; 3.0329 -12.6174; 3.0704 -12.6823; 3.1079 -12.7473; 3.1209 -12.6734; 3.1584 -12.7384; 3.0880 -12.7127; 3.1255 -12.7777; 3.0550 -12.7520; 3.0925 -12.8170; 3.1055 -12.7431; 3.1430 -12.8081; 3.0725 -12.7824; 3.1100 -12.8474; 3.1475 -12.9123; 3.1606 -12.8385; 3.1981 -12.9034; 3.1276 -12.8778; 3.1651 -12.9427; 3.1781 -12.8689; 3.2156 -12.9338; 3.1451 -12.9082; 3.1826 -12.9731; 3.2201 -13.0381; 3.2332 -12.9642; 3.2707 -13.0292; 3.2002 -13.0035; 3.2377 -13.0685; 3.2507 -12.9946; 3.2882 -13.0595; 3.2177 -13.0339; 3.2552 -13.0988; 3.2682 -13.0250; 3.3057 -13.0899; 3.2353 -13.0643; 3.2728 -13.1292; 3.2858 -13.0554; 3.3233 -13.1203; 3.2528 -13.0947; 3.2903 -13.1596; 3.3278 -13.2246; 3.3408 -13.1507; 3.3783 -13.2157; 3.3079 -13.1900; 3.3454 -13.2550; 3.3829 -13.3199; 3.3959 -13.2461; 3.4334 -13.3110; 3.3629 -13.2854; 3.4004 -13.3503; 3.4134 -13.2765; 3.4509 -13.3414; 3.3805 -13.3158
2, -7.2361 -1.9223; -7.1111 -1.9223; -7.0153 -1.8420; -6.9196 -1.7616; -6.8238 -1.6813; -6.7280 -1.6009; -6.6323 -1.5206; -6.5365 -1.4402; -6.4408 -1.3599; -6.3450 -1.2795; -6.2493 -1.1992; -6.1535 -1.1188; -6.0578 -1.0385; -5.9953 -1.1467; -5.9328 -1.2550; -5.8703 -1.3632; -5.8078 -1.4715; -5.7453 -1.5797; -5.6828 -1.6880; -5.6203 -1.7963; -5.5578 -1.9045; -5.4953 -2.0128; -5.4328 -2.1210; -5.3703 -2.2293; -5.3078 -2.3375; -5.2453 -2.4458; -5.1828 -2.5540; -5.1203 -2.6623; -5.0578 -2.7705; -4.9953 -2.8788; -4.9328 -2.9870; -4.8703 -3.0953; -4.8078 -3.2035; -4.7453 -3.3118; -4.6828 -3.4201; -4.6203 -3.5283; -4.5578 -3.6366; -4.4953 -3.7448; -4.4328 -3.8531; -4.3703 -3.9613; -4.3078 -4.0696; -4.2453 -4.1778; -4.1828 -4.2861; -4.1203 -4.3943; -4.0578 -4.5026; -3.9953 -4.6108; -3.9328 -4.7191; -3.8703 -4.8273; -3.8078 -4.9356; -3.7953 -4.9572; -3.7828 -4.9789; -3.7703 -5.0005; -3.7578 -5.0222; -3.7453 -5.0439; -3.7328 -5.0655; -3.7203 -5.0872; -3.7078 -5.1088; -3.6953 -5.1305; -3.6828 -5.1521; -3.6703 -5.1738; -3.6578 -5.1954; -3.6453 -5.2171; -3.6328 -5.2387; -3.6203 -5.2604; -3.6078 -5.2820; -3.5703 -5.3470; -3.5328 -5.4119; -3.4953 -5.4769; -3.4578 -5.5418; -3.4203 -5.6068; -3.3828 -5.6717; -3.3453 -5.7367; -3.3078 -5.8016; -3.2703 -5.8666; -3.2328 -5.9315; -3.1953 -5.9965; -3.1578 -6.0614; -3.1203 -6.1264; -3.0828 -6.1913; -3.0453 -6.2563; -3.0078 -6.3212; -2.9703 -6.3862; -2.9328 -6.4511; -2.8953 -6.5161; -2.8578 -6.5810; -2.8203 -6.6460; -2.7828 -6.7109; -2.7453 -6.7759; -2.7078 -6.8409; -2.6703 -6.9058; -2.6328 -6.9708; -2.5953 -7.0357; -2.5578 -7.1007; -2.5203 -7.1656; -2.4828 -7.2306; -2.4453 -7.2955; -2.4078 -7.3605; -2.3703 -7.4254; -2.3328 -7.4904; -2.2953 -7.5553; -2.2578 -7.6203; -2.2203 -7.6852; -2.1828 -7.7502; -2.1453 -7.8151; -2.1078 -7.8801; -2.0703 -7.9450; -2.0328 -8.0100; -1.9953 -8.0749; -1.9578 -8.1399; -1.9203 -8.2048; -1.8828 -8.2698; -1.8453 -8.3347; -1.8078 -8.3997; -1.7703 -8.4647; -1.7328 -8.5296; -1.6953 -8.5946; -1.6578 -8.6595; -1.6447 -8.5856; -1.7022 -8.5374; -1.7596 -8.4892; -1.8171 -8.4410; -1.8745 -8.3928; -1.9320 -8.3446; -1.9895 -8.2964; -2.0469 -8.2482; -2.1044 -8.2000; -2.1618 -8.1518; -2.2193 -8.1036; -2.2767 -8.0553; -2.3342 -8.0071; -2.3916 -7.9589; -2.4491 -7.9107; -2.5065 -7.8625; -2.5640 -7.8143; -2.6214 -7.7661; -2.6789 -7.7179; -2.7363 -7.6697; -2.7938 -7.6215; -2.8513 -7.5733; -2.9087 -7.5250; -2.9662 -7.4768; -3.0236 -7.4286; -3.0811 -7.3804; -3.1385 -7.3322; -3.1960 -7.2840; -3.2534 -7.2358; -3.3109 -7.1876; -3.3683 -7.1394; -3.4258 -7.0912; -3.3883 -7.1561; -3.3508 -7.2211; -3.3133 -7.2860; -3.2758 -7.3510; -3.2383 -7.4159; -3.2008 -7.4809; -3.1633 -7.5458; -3.1258 -7.6108; -3.0883 -7.6757; -3.0508 -7.7407; -3.0133 -7.8056; -2.9758 -7.8706; -2.9383 -7.9355; -2.9008 -8.0005; -2.8633 -8.0654; -2.8258 -8.1304; -2.7883 -8.1953; -2.7508 -8.2603; -2.7133 -8.3253; -2.6758 -8.3902; -2.6383 -8.4552; -2.6008 -8.5201; -2.5633 -8.5851; -2.5258 -8.6500; -2.4883 -8.7150; -2.4508 -8.7799; -2.4133 -8.8449; -2.3758 -8.9098; -2.3383 -8.9748; -2.3008 -9.0397; -2.2633 -9.1047; -2.2258 -9.1696; -2.1883 -9.2346; -2.1508 -9.2995; -2.1133 -9.3645; -2.0758 -9.4294; -2.0383 -9.4944; -2.0008 -9.5593; -1.9633 -9.6243; -1.9258 -9.6892; -1.8883 -9.7542; -1.8508 -9.8191; -1.8133 -9.8841; -1.7758 -9.9490; -1.7383 -10.0140; -1.7008 -10.0790; -1.6633 -10.1439; -1.6258 -10.2089; -1.5883 -10.2738; -1.5508 -10.3388; -1.5133 -10.4037; -1.4758 -10.4687; -1.4383 -10.5336; -1.4008 -10.5986; -1.3633 -10.6635; -1.3258 -10.7285; -1.2883 -10.7934; -1.2508 -10.8584; -1.2133 -10.9233; -1.1758 -10.9883; -1.1383 -11.0532; -1.1008 -11.1182; -1.0633 -11.1831; -1.0258 -11.2481; -0.9883 -11.3130; -0.9508 -11.3780; -0.9133 -11.4429; -0.8758 -11.5079; -0.8383 -11.5728; -0.8008 -11.6378; -0.7633 -11.7028; -0.7258 -11.7677; -0.6883 -11.8327; -0.6508 -11.8976; -0.6133 -11.9626; -0.5758 -12.0275; -0.5383 -12.0925; -0.5008 -12.1574; -0.4633 -12.2224; -0.4258 -12.2873; -0.3883 -12.3523; -0.3508 -12.4172; -0.3133 -12.4822; -0.2758 -12.5471; -0.2383 -12.6121; -0.2008 -12.6770; -0.1633 -12.7420; -0.1258 -12.8069; -0.1128 -12.7331; -0.0753 -12.7980; -0.0378 -12.8630; -0.0003 -12.9279; 0.0372 -12.9929; 0.0747 -13.0578; 0.1122 -13.1228; 0.1253 -13.0489; 0.1628 -13.1139; 0.2003 -13.1788; 0.2133 -13.1050; 0.2508 -13.1699; 0.2883 -13.2349; 0.3258 -13.2998; 0.3633 -13.3648; 0.4008 -13.4297; 0.4383 -13.4947; 0.4513 -13.4208; 0.4888 -13.4858; 0.5263 -13.5507; 0.5638 -13.6157; 0.6013 -13.6806; 0.6388 -13.7456; 0.6763 -13.8105; 0.7138 -13.8755; 0.7513 -13.9404; 0.7888 -14.0054; 0.8263 -14.0703; 0.8638 -14.1353; 0.9013 -14.2002; 0.9143 -14.1264; 0.9518 -14.1913; 0.9893 -14.2563; 1.0268 -14.3212; 1.0643 -14.3862; 1.1018 -14.4511; 1.1393 -14.5161; 1.1768 -14.5810; 1.2143 -14.6460; 1.2518 -14.7109; 1.2893 -14.7759; 1.3268 -14.8409; 1.3643 -14.9058; 1.4018 -14.9708; 1.4393 -15.0357; 1.4768 -15.1007; 1.5143 -15.1656; 1.5518 -15.2306; 1.5893 -15.2955; 1.6268 -15.3605; 1.6643 -15.4254; 1.7018 -15.4904; 1.7393 -15.5553; 1.7768 -15.6203; 1.8143 -15.6852; 1.8518 -15.7502; 1.8649 -15.6763; 1.9024 -15.7413; 1.9399 -15.8062; 1.9774 -15.8712; 2.0149 -15.9361; 2.0524 -16.0011; 2.0899 -16.0660; 2.1274 -16.1310; 2.1649 -16.1959; 2.2024 -16.2609; 2.2399 -16.3258; 2.2529 -16.2520; 2.2659 -16.1781; 2.3034 -16.2431; 2.3409 -16.3080; 2.3784 -16.3730; 2.4159 -16.4379; 2.4534 -16.5029; 2.4909 -16.5678; 2.5039 -16.4940; 2.5169 -16.4201; 2.5300 -16.3462; 2.5430 -16.2724; 2.5805 -16.3373; 2.6180 -16.4023; 2.6555 -16.4672; 2.6930 -16.5322; 2.7060 -16.4583; 2.7435 -16.5233; 2.7810 -16.5882; 2.7940 -16.5144; 2.8071 -16.4405; 2.8446 -16.5055; 2.8821 -16.5704; 2.9196 -16.6354; 2.9326 -16.5615; 2.9701 -16.6265; 3.0076 -16.6914; 3.0206 -16.6176; 3.0336 -16.5437; 3.0711 -16.6086; 3.1086 -16.6736; 3.1461 -16.7385; 3.1592 -16.6647; 3.1722 -16.5908; 3.2097 -16.6558; 3.2472 -16.7207; 3.2847 -16.7857; 3.3222 -16.8506; 3.3597 -16.9156; 3.3972 -16.9805; 3.4347 -17.0455; 3.4722 -17.1104; 3.5097 -17.1754; 3.5472 -17.2403; 3.5847 -17.3053; 3.6222 -17.3702
3, -7.2361 -1.9223; -7.1111 -1.9223; -6.9936 -1.9651; -6.8686 -1.9651; -6.7511 -2.0078; -6.6261 -2.0078; -6.5087 -2.0506; -6.3912 -2.0933; -6.2738 -2.1361; -6.1563 -2.1788; -6.0388 -2.2216; -5.9214 -2.2643; -5.8039 -2.3071; -5.6865 -2.3498; -5.5690 -2.3926; -5.4515 -2.4353; -5.3341 -2.4781; -5.2166 -2.5209; -5.0991 -2.5636; -4.9817 -2.6064; -4.8642 -2.6491; -4.7468 -2.6919; -4.6293 -2.7346; -4.5118 -2.7774; -4.3944 -2.8201; -4.2769 -2.8629; -4.1595 -2.9056; -4.0420 -2.9484; -3.9245 -2.9911; -3.8071 -3.0339; -3.6896 -3.0766; -3.5721 -3.1194; -3.4547 -3.1621; -3.3372 -3.2049; -3.2198 -3.2476; -3.1023 -3.2904; -2.9848 -3.3331; -2.8674 -3.3759; -2.7499 -3.4187; -2.6325 -3.4614; -2.5150 -3.5042; -2.3975 -3.5469; -2.2801 -3.5897; -2.1626 -3.6324; -2.0451 -3.6752; -2.1409 -3.5948; -2.0234 -3.5521; -1.9060 -3.5093; -1.7885 -3.4666; -1.6711 -3.4238; -1.5536 -3.3811; -1.4361 -3.3383; -1.3891 -3.3212; -1.3422 -3.3041; -1.2952 -3.2870; -1.2482 -3.2699; -1.2012 -3.2528; -1.1542 -3.2357; -1.1072 -3.2186; -1.0603 -3.2015; -1.0133 -3.1844; -0.9663 -3.1673; -0.9193 -3.1502; -0.8723 -3.1331; -0.8253 -3.1160; -0.7783 -3.0989; -0.7314 -3.0818; -0.6844 -3.0647; -0.6374 -3.0476; -0.5904 -3.0305; -0.5654 -3.0738; -0.5184 -3.0567; -0.4934 -3.1000; -0.4684 -3.1433; -0.4434 -3.1866; -0.4184 -3.2299; -0.3934 -3.2732; -0.3684 -3.3165; -0.3434 -3.3598; -0.3184 -3.4031; -0.2934 -3.4464; -0.2684 -3.4897; -0.2434 -3.5330; -0.2184 -3.5763; -0.1934 -3.6196; -0.1684 -3.6629; -0.1434 -3.7062; -0.1184 -3.7495; -0.0934 -3.7928; -0.0684 -3.8361; -0.0434 -3.8794; -0.0184 -3.9227; 0.0066 -3.9660; 0.0316 -4.0093; 0.0566 -4.0526; 0.0816 -4.0959; 0.1066 -4.1392; 0.1316 -4.1825; 0.1566 -4.2258; 0.1816 -4.2691; 0.2066 -4.3124; 0.2316 -4.3557; 0.2566 -4.3990; 0.2816 -4.4423; 0.3066 -4.4856; 0.3191 -4.5073; 0.3441 -4.5506; 0.3566 -4.5722; 0.3816 -4.6155; 0.4066 -4.6588; 0.4316 -4.7021; 0.4441 -4.7238; 0.4691 -4.7671; 0.4816 -4.7887; 0.4941 -4.8104; 0.5066 -4.8320; 0.5191 -4.8537; 0.5316 -4.8753; 0.5566 -4.9186; 0.5691 -4.9403; 0.5816 -4.9619; 0.5941 -4.9836; 0.6066 -5.0052; 0.6191 -5.0269; 0.6316 -5.0485; 0.6441 -5.0702; 0.6566 -5.0918; 0.6691 -5.1135; 0.6816 -5.1351; 0.6941 -5.1568; 0.7191 -5.2001; 0.7316 -5.2218; 0.7566 -5.2651; 0.7691 -5.2867; 0.7941 -5.3300; 0.8066 -5.3517; 0.8316 -5.3950; 0.8441 -5.4166; 0.8691 -5.4599; 0.8941 -5.5032; 0.9191 -5.5465; 0.9441 -5.5898; 0.9691 -5.6331; 0.9941 -5.6764; 1.0191 -5.7197; 1.0441 -5.7630; 1.0566 -5.7847; 1.0816 -5.8280; 1.1066 -5.8713; 1.1316 -5.9146; 1.1441 -5.9362; 1.1691 -5.9795; 1.1816 -6.0012; 1.1941 -6.0228; 1.2066 -6.0445; 1.2191 -6.0661; 1.2441 -6.1094; 1.2566 -6.1311; 1.2691 -6.1527; 1.2941 -6.1960; 1.3066 -6.2177; 1.3191 -6.2393; 1.3316 -6.2610; 1.3441 -6.2826; 1.3566 -6.3043; 1.3691 -6.3259; 1.3816 -6.3476; 1.3941 -6.3692; 1.4066 -6.3909; 1.4191 -6.4125; 1.4316 -6.4342; 1.4441 -6.4558; 1.4566 -6.4775; 1.4691 -6.4991; 1.4816 -6.5208; 1.4941 -6.5424; 1.5066 -6.5641; 1.5191 -6.5857; 1.5316 -6.6074; 1.5441 -6.6290; 1.5566 -6.6507; 1.5691 -6.6723; 1.5816 -6.6940; 1.5941 -6.7156; 1.6066 -6.7373; 1.6191 -6.7589; 1.6316 -6.7806; 1.6441 -6.8022; 1.6566 -6.8239; 1.6691 -6.8455; 1.6816 -6.8672; 1.6941 -6.8889; 1.7066 -6.9105; 1.7191 -6.9322; 1.7316 -6.9538; 1.7441 -6.9755; 1.7566 -6.9971; 1.7691 -7.0188; 1.7816 -7.0404; 1.7941 -7.0621; 1.8066 -7.0837; 1.8191 -7.1054; 1.8316 -7.1270; 1.8441 -7.1487; 1.8566 -7.1703; 1.8691 -7.1920; 1.8816 -7.2136; 1.8941 -7.2353; 1.9066 -7.2569; 1.9191 -7.2786; 1.9316 -7.3002; 1.9441 -7.3219; 1.9566 -7.3435; 1.9691 -7.3652; 1.9816 -7.3868; 1.9941 -7.4085; 2.0066 -7.4301; 2.0191 -7.4518; 2.0316 -7.4734; 2.0441 -7.4951; 2.0566 -7.5167; 2.0691 -7.5384; 2.0816 -7.5600; 2.0941 -7.5817; 2.1066 -7.6033; 2.1191 -7.6250; 2.1316 -7.6466; 2.1441 -7.6683; 2.1566 -7.6899; 2.1691 -7.7116; 2.1816 -7.7332; 2.1941 -7.7549; 2.2066 -7.7765; 2.2191 -7.7982; 2.2316 -7.8198; 2.2441 -7.8415; 2.2566 -7.8631; 2.2691 -7.8848; 2.2816 -7.9064; 2.2941 -7.9281; 2.3066 -7.9497; 2.3191 -7.9714; 2.3316 -7.9930; 2.3441 -8.0147; 2.3566 -8.0363; 2.3691 -8.0580; 2.3816 -8.0796; 2.3941 -8.1013; 2.4066 -8.1229; 2.4191 -8.1446; 2.4316 -8.1662; 2.4441 -8.1879; 2.4566 -8.2095; 2.4691 -8.2312; 2.4816 -8.2528; 2.4941 -8.2745; 2.5066 -8.2961; 2.5191 -8.3178; 2.5316 -8.3394; 2.5441 -8.3611; 2.5566 -8.3827; 2.5691 -8.4044; 2.5816 -8.4260; 2.5941 -8.4477; 2.6066 -8.4693; 2.6191 -8.4910; 2.6316 -8.5126; 2.6441 -8.5343; 2.6566 -8.5559; 2.6691 -8.5776; 2.6816 -8.5993; 2.6941 -8.6209; 2.7066 -8.6426; 2.7191 -8.6642; 2.7316 -8.6859; 2.7441 -8.7075; 2.7566 -8.7292; 2.7691 -8.7508; 2.7816 -8.7725; 2.7941 -8.7941; 2.8066 -8.8158; 2.8191 -8.8374; 2.8316 -8.8591; 2.8441 -8.8807; 2.8566 -8.9024; 2.8691 -8.9240; 2.8816 -8.9457; 2.8941 -8.9673; 2.9066 -8.9890; 2.9191 -9.0106; 2.9316 -9.0323; 2.9441 -9.0539; 2.9566 -9.0756; 2.9691 -9.0972; 2.9816 -9.1189; 2.9941 -9.1405; 3.0066 -9.1622; 3.0191 -9.1838; 3.0316 -9.2055; 3.0441 -9.2271; 3.0566 -9.2488; 3.0691 -9.2704; 3.0816 -9.2921; 3.0941 -9.3137; 3.1066 -9.3354; 3.1191 -9.3570; 3.1316 -9.3787; 3.1441 -9.4003; 3.1566 -9.4220; 3.1691 -9.4436; 3.1816 -9.4653; 3.1941 -9.4869; 3.2066 -9.5086; 3.2191 -9.5302; 3.2316 -9.5519; 3.2441 -9.5735; 3.2566 -9.5952; 3.2691 -9.6168; 3.2816 -9.6385; 3.2941 -9.6601; 3.3066 -9.6818; 3.3191 -9.7034; 3.3316 -9.7251; 3.3441 -9.7467; 3.3566 -9.7684; 3.3691 -9.7900; 3.3816 -9.8117; 3.3941 -9.8333; 3.4066 -9.8550; 3.4191 -9.8766; 3.4316 -9.8983; 3.4441 -9.9199; 3.4566 -9.9416; 3.4691 -9.9632; 3.4816 -9.9849; 3.4941 -10.0065; 3.5066 -10.0282; 3.5191 -10.0498; 3.5316 -10.0715; 3.5441 -10.0931; 3.5566 -10.1148; 3.5691 -10.1364; 3.5816 -10.1581; 3.5941 -10.1797; 3.6066 -10.2014; 3.6191 -10.2230; 3.6316 -10.2447; 3.6441 -10.2663; 3.6566 -10.2880; 3.6691 -10.3097
